t,pos_err_mm,yaw_err_deg
1.401000,1.099726,0.017708
1.402000,1.101832,0.017741
1.403000,1.103937,0.017773
1.404000,1.106043,0.017806
1.405000,1.108149,0.017839
1.406000,1.110255,0.017871
1.407000,1.112361,0.017904
1.408000,1.114467,0.017937
1.409000,1.116574,0.017969
1.410000,1.118680,0.018002
1.411000,1.120787,0.018034
1.412000,1.122894,0.018067
1.413000,1.125001,0.018099
1.414000,1.127108,0.018131
1.415000,1.129215,0.018164
1.416000,1.131322,0.018196
1.417000,1.133430,0.018228
1.418000,1.135537,0.018261
1.419000,1.137645,0.018293
1.420000,1.139753,0.018325
1.421000,1.141861,0.018357
1.422000,1.143969,0.018389
1.423000,1.146078,0.018421
1.424000,1.148186,0.018453
1.425000,1.150295,0.018484
1.426000,1.152403,0.018516
1.427000,1.154512,0.018548
1.428000,1.156622,0.018579
1.429000,1.158731,0.018611
1.430000,1.160840,0.018643
1.431000,1.162950,0.018674
1.432000,1.165059,0.018706
1.433000,1.167169,0.018738
1.434000,1.169279,0.018770
1.435000,1.171389,0.018801
1.436000,1.173499,0.018833
1.437000,1.175610,0.018865
1.438000,1.177720,0.018897
1.439000,1.179831,0.018930
1.440000,1.181942,0.018962
1.441000,1.184053,0.018994
1.442000,1.186164,0.019026
1.443000,1.188275,0.019058
1.444000,1.190387,0.019090
1.445000,1.192498,0.019122
1.446000,1.194610,0.019154
1.447000,1.196722,0.019186
1.448000,1.198834,0.019218
1.449000,1.200946,0.019250
1.450000,1.203058,0.019282
1.451000,1.205171,0.019314
1.452000,1.207283,0.019345
1.453000,1.209396,0.019377
1.454000,1.211509,0.019409
1.455000,1.213622,0.019440
1.456000,1.215735,0.019472
1.457000,1.217848,0.019504
1.458000,1.219962,0.019536
1.459000,1.222076,0.019568
1.460000,1.224189,0.019599
1.461000,1.226303,0.019631
1.462000,1.228417,0.019663
1.463000,1.230531,0.019695
1.464000,1.232646,0.019727
1.465000,1.234760,0.019759
1.466000,1.236874,0.019790
1.467000,1.238989,0.019822
1.468000,1.241104,0.019854
1.469000,1.243219,0.019886
1.470000,1.245334,0.019917
1.471000,1.247449,0.019949
1.472000,1.249564,0.019981
