t,pos_err_mm,yaw_err_deg
0.665000,1.521781,0.009885
0.666000,1.524068,0.009894
0.667000,1.526354,0.009903
0.668000,1.528640,0.009913
0.669000,1.530926,0.009922
0.670000,1.533212,0.009931
0.671000,1.535499,0.009940
0.672000,1.537785,0.009949
0.673000,1.540071,0.009958
0.674000,1.542357,0.009967
0.675000,1.544643,0.009977
0.676000,1.546930,0.009986
0.677000,1.549216,0.009995
0.678000,1.551502,0.010004
0.679000,1.553789,0.010013
0.680000,1.556075,0.010022
0.681000,1.558361,0.010031
0.682000,1.560647,0.010040
0.682000,2.841112,0.023536
0.683000,2.845278,0.023564
0.684000,2.849443,0.023592
0.685000,2.853608,0.023621
0.686000,2.857774,0.023649
0.687000,2.861939,0.023677
0.688000,2.866104,0.023706
0.689000,2.870270,0.023734
0.690000,2.874436,0.023763
0.691000,2.878601,0.023792
0.692000,2.882767,0.023821
0.693000,2.886933,0.023850
0.694000,2.891099,0.023879
0.695000,2.895265,0.023908
0.696000,2.899431,0.023938
0.697000,2.903597,0.023967
0.698000,2.907763,0.023997
0.699000,2.911929,0.024027
0.700000,2.916095,0.024057
0.701000,2.920261,0.024087
0.702000,2.924428,0.024117
0.703000,2.928594,0.024147
0.704000,2.932760,0.024178
0.705000,2.936927,0.024208
0.706000,2.941093,0.024238
0.707000,2.945260,0.024269
0.708000,2.949426,0.024299
0.709000,2.953593,0.024329
0.709000,2.273031,0.028943
0.710000,2.276227,0.028979
0.711000,2.279422,0.029015
0.712000,2.282618,0.029052
0.713000,2.285814,0.029088
0.714000,2.289010,0.029124
0.715000,2.292205,0.029160
0.716000,2.295401,0.029196
0.717000,2.298597,0.029232
0.718000,2.301793,0.029268
0.719000,2.304988,0.029305
0.720000,2.308184,0.029341
0.721000,2.311380,0.029377
0.722000,2.314576,0.029413
0.723000,2.317771,0.029449
0.724000,2.320967,0.029485
0.725000,2.324163,0.029522
0.726000,2.327359,0.029558
0.727000,2.330555,0.029595
0.728000,2.333751,0.029631
0.729000,2.336946,0.029668
0.730000,2.340142,0.029705
0.731000,2.343338,0.029742
0.732000,2.346534,0.029779
0.733000,2.349730,0.029816
0.734000,2.352926,0.029853
0.734000,0.678990,0.079920
0.735000,0.679847,0.080023
0.736000,0.680705,0.080126
0.737000,0.681562,0.080229
0.738000,0.682419,0.080332
0.739000,0.683276,0.080435
0.740000,0.684133,0.080538
0.741000,0.684990,0.080641
0.742000,0.685847,0.080744
0.743000,0.686704,0.080847
0.744000,0.687560,0.080950
0.745000,0.688417,0.081053
0.746000,0.689273,0.081156
0.747000,0.690130,0.081259
0.748000,0.690986,0.081361
0.749000,0.691842,0.081464
0.750000,0.692698,0.081567
0.751000,0.693554,0.081670
0.752000,0.694410,0.081773
0.753000,0.695265,0.081875
0.754000,0.696121,0.081978
0.755000,0.696976,0.082081
0.756000,0.697832,0.082184
0.757000,0.698687,0.082287
0.758000,0.699542,0.082389
0.759000,0.700397,0.082492
0.760000,0.701252,0.082595
0.760000,0.663811,0.129142
0.761000,0.664783,0.129304
0.762000,0.665755,0.129466
0.763000,0.666727,0.129629
0.764000,0.667700,0.129791
0.765000,0.668672,0.129953
0.766000,0.669645,0.130115
0.767000,0.670619,0.130277
0.768000,0.671592,0.130439
0.769000,0.672566,0.130601
0.770000,0.673540,0.130763
0.771000,0.674514,0.130925
0.772000,0.675488,0.131087
0.773000,0.676463,0.131248
