t,pos_err_mm,yaw_err_deg
0.118000,0.181802,0.001449
0.119000,0.183353,0.001406
0.120000,0.184901,0.001374
0.121000,0.186448,0.001355
0.122000,0.187997,0.001347
0.123000,0.189547,0.001332
0.123000,2.110532,0.001537
0.123000,0.969808,0.001184
0.123000,0.805995,0.001568
0.124000,0.811948,0.001536
0.125000,0.817904,0.001497
0.126000,0.823862,0.001445
0.127000,0.829825,0.001392
0.128000,0.835790,0.001331
0.129000,0.841754,0.001265
0.130000,0.847719,0.001202
0.131000,0.853687,0.001134
0.132000,0.859657,0.001087
0.133000,0.865628,0.001056
0.134000,0.871595,0.001014
0.135000,0.877555,0.000969
0.136000,0.883510,0.000908
0.137000,0.889463,0.000839
0.138000,0.895417,0.000762
0.139000,0.901376,0.000695
0.139000,0.198507,0.000118
0.140000,0.198970,0.000077
0.141000,0.199443,0.000034
0.142000,0.199926,0.000001
0.143000,0.200416,0.000023
0.144000,0.200915,0.000036
0.145000,0.201425,0.000056
0.146000,0.201941,0.000072
0.147000,0.202459,0.000078
0.148000,0.202976,0.000090
0.149000,0.203485,0.000097
0.150000,0.203988,0.000098
0.151000,0.204487,0.000103
0.152000,0.204980,0.000095
0.153000,0.205472,0.000091
0.154000,0.205967,0.000088
0.155000,0.206465,0.000075
0.156000,0.206964,0.000096
0.157000,0.207465,0.000087
0.158000,0.207972,0.000083
0.159000,0.208488,0.000068
0.160000,0.209018,0.000052
0.161000,0.209562,0.000027
0.162000,0.210119,0.000011
0.163000,0.210685,0.000012
0.164000,0.211261,0.000023
0.165000,0.211843,0.000028
0.166000,0.212430,0.000013
0.167000,0.213023,0.000010
0.168000,0.213625,0.000021
0.169000,0.214234,0.000048
0.170000,0.214852,0.000086
0.171000,0.215482,0.000110
0.172000,0.216124,0.000145
0.173000,0.216769,0.000171
0.174000,0.217413,0.000206
0.175000,0.218055,0.000249
0.176000,0.218693,0.000294
0.177000,0.219330,0.000338
0.178000,0.219965,0.000381
0.179000,0.220598,0.000400
0.180000,0.221231,0.000416
0.181000,0.221864,0.000438
0.182000,0.222500,0.000453
0.183000,0.223136,0.000451
0.184000,0.223769,0.000484
0.185000,0.224396,0.000530
0.186000,0.225016,0.000573
0.187000,0.225625,0.000631
0.188000,0.226223,0.000669
0.189000,0.226809,0.000714
0.190000,0.227385,0.000767
0.191000,0.227958,0.000818
0.192000,0.228528,0.000865
0.193000,0.229098,0.000916
0.194000,0.229667,0.000969
0.195000,0.230235,0.001012
0.196000,0.230805,0.001047
0.197000,0.231377,0.001082
0.198000,0.231954,0.001100
0.199000,0.232535,0.001097
0.199000,0.209978,0.000899
0.200000,0.210750,0.000916
0.201000,0.211523,0.000926
0.202000,0.212300,0.000932
0.203000,0.213083,0.000944
0.204000,0.213872,0.000971
0.205000,0.214664,0.000987
0.206000,0.215462,0.001024
0.207000,0.216264,0.001052
0.208000,0.217067,0.001089
0.209000,0.217869,0.001151
0.210000,0.218668,0.001186
0.211000,0.219463,0.001251
0.211000,0.060042,0.001321
0.212000,0.059831,0.001366
0.213000,0.059626,0.001397
0.214000,0.059430,0.001417
0.215000,0.059240,0.001465
0.216000,0.059054,0.001519
0.217000,0.058873,0.001569
0.218000,0.058696,0.001608
0.219000,0.058524,0.001602
0.220000,0.058358,0.001631
0.221000,0.058198,0.001654
0.222000,0.058046,0.001681
0.223000,0.057905,0.001709
0.224000,0.057774,0.001722
0.225000,0.057652,0.001701
0.226000,0.057545,0.001669
0.226000,0.168214,0.001882
0.227000,0.169481,0.001829
0.228000,0.170752,0.001801
0.229000,0.172029,0.001767
0.230000,0.173317,0.001733
0.231000,0.174615,0.001713
0.231000,0.367005,0.001147
0.232000,0.369420,0.001129
0.233000,0.371838,0.001105
0.234000,0.374258,0.001082
0.235000,0.376677,0.001050
0.236000,0.379094,0.001050
0.237000,0.381510,0.001022
0.238000,0.383922,0.000991
0.239000,0.386331,0.000958
0.240000,0.388739,0.000901
0.241000,0.391151,0.000853
0.242000,0.393566,0.000791
0.243000,0.395984,0.000753
0.244000,0.398407,0.000741
0.245000,0.400836,0.000725
0.246000,0.403267,0.000702
0.247000,0.405697,0.000698
0.248000,0.408127,0.000716
0.249000,0.410554,0.000723
0.250000,0.412981,0.000726
0.251000,0.415408,0.000734
