[INFO] [1785240978.202689481] [backend_optimizer_node]: graph (re)initialized at X0=(-2.419, 1.354, 0.000) V0=(0.000, 0.000)
[INFO] [1785240978.203070975] [backend_optimizer_node]: backend_optimizer_node started (0 cylinders registered)
[WARN] [1785241024.260502775] [backend_optimizer_node]: slow smoother update: 26.3ms (index 6)
[WARN] [1785241025.653033339] [backend_optimizer_node]: slow smoother update: 27.8ms (index 20)
[WARN] [1785241025.742383280] [backend_optimizer_node]: slow smoother update: 27.4ms (index 21)
[WARN] [1785241026.829611512] [backend_optimizer_node]: slow smoother update: 50.1ms (index 32)
[WARN] [1785241028.446608724] [backend_optimizer_node]: slow smoother update: 26.0ms (index 46)
[WARN] [1785241033.443049912] [backend_optimizer_node]: slow smoother update: 20.0ms (index 109)
[WARN] [1785241035.419859915] [backend_optimizer_node]: slow smoother update: 21.0ms (index 134)
[WARN] [1785241036.850810298] [backend_optimizer_node]: slow smoother update: 21.5ms (index 148)
[WARN] [1785241037.605382213] [backend_optimizer_node]: slow smoother update: 28.1ms (index 151)
[WARN] [1785241043.268360695] [backend_optimizer_node]: slow smoother update: 27.7ms (index 212)
[WARN] [1785241043.607745038] [backend_optimizer_node]: slow smoother update: 28.4ms (index 216)
[WARN] [1785241045.147236734] [backend_optimizer_node]: slow smoother update: 30.4ms (index 231)
[WARN] [1785241047.298092292] [backend_optimizer_node]: slow smoother update: 34.6ms (index 256)
[WARN] [1785241048.041258086] [backend_optimizer_node]: slow smoother update: 34.3ms (index 266)
[WARN] [1785241051.455715412] [backend_optimizer_node]: slow smoother update: 24.6ms (index 308)
[WARN] [1785241056.734057262] [backend_optimizer_node]: slow smoother update: 23.3ms (index 354)
[WARN] [1785241058.585279829] [backend_optimizer_node]: slow smoother update: 30.5ms (index 378)
[WARN] [1785241058.694940411] [backend_optimizer_node]: slow smoother update: 25.0ms (index 379)
[WARN] [1785241058.780318734] [backend_optimizer_node]: slow smoother update: 21.3ms (index 381)
[WARN] [1785241058.919474471] [backend_optimizer_node]: slow smoother update: 22.7ms (index 382)
[WARN] [1785241063.431190929] [backend_optimizer_node]: slow smoother update: 23.0ms (index 427)
[WARN] [1785241063.691978721] [backend_optimizer_node]: slow smoother update: 32.5ms (index 430)
[WARN] [1785241065.455837809] [backend_optimizer_node]: slow smoother update: 34.7ms (index 449)
[WARN] [1785241067.640041597] [backend_optimizer_node]: wall correction downweighted by DCS: d_xy=0.101m (> 0.083m, dt=0.125s, scale=1.21x) — reduced confidence, not rejected
