t,pos_err_mm,yaw_err_deg
0.526000,0.623368,0.004460
0.527000,0.624287,0.004428
0.528000,0.625200,0.004393
0.529000,0.626107,0.004367
0.530000,0.627007,0.004338
0.531000,0.627899,0.004309
0.532000,0.628786,0.004265
0.533000,0.629667,0.004199
0.534000,0.630541,0.004156
0.535000,0.631406,0.004133
0.536000,0.632264,0.004120
0.537000,0.633120,0.004109
0.538000,0.633972,0.004095
0.551000,9.179024,0.003143
0.577000,4.235261,0.003108
0.602000,3.606090,0.002601
0.603000,3.611687,0.002577
0.627000,0.339798,0.003560
0.628000,0.339721,0.003501
0.652000,0.755864,0.004365
0.677000,0.244429,0.004395
0.678000,0.245293,0.004345
0.702000,0.791243,0.006077
0.703000,0.792735,0.006041
0.727000,1.812471,0.005545
0.728000,1.815471,0.005526
0.752000,2.504458,0.002091
0.753000,2.508023,0.002137
0.777000,1.555464,0.003650
0.778000,1.557660,0.003638
0.802000,1.316334,0.001729
0.803000,1.317973,0.001688
0.804000,1.319610,0.001628
0.827000,0.942247,0.001662
0.828000,0.943351,0.001603
0.852000,1.037705,0.002969
0.853000,1.038895,0.002916
0.877000,0.941330,0.003871
0.878000,0.942252,0.003832
1.077000,0.337658,0.008939
1.078000,0.337374,0.009013
1.102000,0.701124,0.018284
1.103000,0.701862,0.018352
1.127000,0.764373,0.013353
1.128000,0.765936,0.013413
1.152000,0.830115,0.012743
1.153000,0.832119,0.012809
1.177000,1.034750,0.007771
1.178000,1.037517,0.007832
1.197000,0.497325,0.009291
1.198000,0.499024,0.009356
1.198000,0.206446,0.015959
1.199000,0.207068,0.015999
1.199000,1.303351,0.001718
1.200000,1.306804,0.001747
1.200000,0.117134,0.013335
1.201000,0.117939,0.013384
1.201000,0.327527,0.011875
1.202000,0.328242,0.011936
1.202000,0.333377,0.011518
1.203000,0.334305,0.011576
1.203000,0.381964,0.011302
1.204000,0.382927,0.011372
1.204000,0.326451,0.008468
1.205000,0.327653,0.008499
1.205000,0.234839,0.009337
1.206000,0.235876,0.009364
1.206000,0.237961,0.009794
1.207000,0.238921,0.009830
1.207000,0.319196,0.009363
1.208000,0.320369,0.009405
1.208000,0.252525,0.008446
1.209000,0.253288,0.008465
1.226000,0.163164,0.008967
1.227000,0.163390,0.008985
1.228000,0.163613,0.009018
1.229000,0.163832,0.009044
1.230000,0.164045,0.009094
1.231000,0.164250,0.009163
1.232000,0.164447,0.009231
1.233000,0.164637,0.009256
1.234000,0.164820,0.009259
1.235000,0.164999,0.009267
1.236000,0.165181,0.009283
1.237000,0.165364,0.009302
1.238000,0.165543,0.009356
1.239000,0.165716,0.009399
1.240000,0.165881,0.009447
1.241000,0.166036,0.009483
1.242000,0.166181,0.009506
1.243000,0.166316,0.009516
1.244000,0.166448,0.009520
1.245000,0.166583,0.009524
1.246000,0.166719,0.009542
1.247000,0.166853,0.009555
1.248000,0.166989,0.009561
1.249000,0.167126,0.009576
1.250000,0.167266,0.009606
1.251000,0.167407,0.009645
1.252000,0.167552,0.009674
1.253000,0.167702,0.009690
1.254000,0.167858,0.009711
1.255000,0.168019,0.009708
1.256000,0.168187,0.009697
1.257000,0.168361,0.009695
1.258000,0.168542,0.009716
1.259000,0.168733,0.009709
1.260000,0.168933,0.009698
1.261000,0.169139,0.009709
1.262000,0.169351,0.009713
1.263000,0.169569,0.009736
1.264000,0.169796,0.009768
1.265000,0.170034,0.009806
1.266000,0.170284,0.009867
1.267000,0.170548,0.009927
1.268000,0.170827,0.009968
1.269000,0.171123,0.009998
1.270000,0.171434,0.010012
1.271000,0.171754,0.010021
1.272000,0.172078,0.010030
1.277000,0.173748,0.010057
1.278000,0.174084,0.010047
1.279000,0.174416,0.010057
1.280000,0.174743,0.010073
1.281000,0.175067,0.010111
1.282000,0.175393,0.010109
1.283000,0.175719,0.010105
1.284000,0.176045,0.010130
1.285000,0.176372,0.010156
1.286000,0.176698,0.010174
1.287000,0.177019,0.010211
1.288000,0.177338,0.010264
1.289000,0.177655,0.010289
1.290000,0.177969,0.010305
1.291000,0.178277,0.010328
1.292000,0.178575,0.010367
1.275000,0.318285,0.007227
1.276000,0.319282,0.007251
1.276000,0.214570,0.009165
1.277000,0.214929,0.009173
1.278000,0.215283,0.009175
1.279000,0.215637,0.009178
1.280000,0.215994,0.009176
1.281000,0.216355,0.009158
1.282000,0.216720,0.009142
1.283000,0.217088,0.009130
1.284000,0.217460,0.009122
1.285000,0.217834,0.009125
1.286000,0.218207,0.009100
1.287000,0.218578,0.009083
1.288000,0.218944,0.009087
1.289000,0.219308,0.009101
1.290000,0.219674,0.009114
1.291000,0.220046,0.009120
1.292000,0.220427,0.009113
1.293000,0.220815,0.009110
1.294000,0.221209,0.009096
1.295000,0.221609,0.009082
1.296000,0.222010,0.009059
1.297000,0.222410,0.009036
1.298000,0.222806,0.009031
1.299000,0.223198,0.009017
1.300000,0.223589,0.008999
1.301000,0.223978,0.009001
1.302000,0.224364,0.008990
1.303000,0.224747,0.008981
1.304000,0.225128,0.008976
1.305000,0.225509,0.008985
1.306000,0.225888,0.009009
1.307000,0.226264,0.009027
1.308000,0.226637,0.009050
1.309000,0.227008,0.009079
1.310000,0.227380,0.009109
1.311000,0.227755,0.009132
1.312000,0.228129,0.009130
1.313000,0.228501,0.009123
1.314000,0.228873,0.009128
1.315000,0.229249,0.009120
1.316000,0.229630,0.009106
1.317000,0.230018,0.009110
1.318000,0.230415,0.009144
1.319000,0.230821,0.009153
1.320000,0.231236,0.009132
1.321000,0.231656,0.009107
1.322000,0.232082,0.009086
1.323000,0.232515,0.009079
1.324000,0.232950,0.009055
1.325000,0.233389,0.009057
1.326000,0.233840,0.009069
