t,name,relative_speed_mps
16.401,Post_2,1.4855
16.401,Shelf_0,1.4855
19.822000000000003,baffle_left_2,1.3656
31.061000000000003,Post_2,1.3334
31.061000000000003,Shelf_0,1.3334
34.388000000000005,baffle_left_2,1.4454
46.023,Post_2,1.3205
46.023,Shelf_0,1.3205
46.546,Post_2,0.3275
46.546,Shelf_0,0.3275
49.322,baffle_left_2,1.4351
60.88100000000001,Post_2,0.5483
60.88100000000001,Shelf_0,0.5483
63.865,baffle_left_2,1.3513
75.49000000000001,Post_2,0.6018
75.49000000000001,Shelf_0,0.6018
78.503,baffle_left_2,1.4890
90.32100000000001,Shelf_0,0.6071
90.322,Post_2,0.6021
90.533,Post_2,0.1306
90.533,Shelf_0,0.1306
