t,pos_err_mm,yaw_err_deg
0.140000,0.216260,0.000405
0.141000,0.217864,0.000361
0.141000,2.390585,0.000577
0.142000,2.407357,0.000542
0.142000,1.113148,0.000185
0.143000,1.120674,0.000163
0.143000,0.927403,0.000556
0.144000,0.933448,0.000543
0.144000,0.206533,0.000037
0.145000,0.207133,0.000057
0.146000,0.207740,0.000073
0.147000,0.208349,0.000080
0.148000,0.208955,0.000091
0.149000,0.209554,0.000098
0.150000,0.210148,0.000100
0.151000,0.210736,0.000104
0.152000,0.211319,0.000096
0.153000,0.211901,0.000092
0.154000,0.212487,0.000089
0.155000,0.213075,0.000076
0.156000,0.213663,0.000097
0.157000,0.214255,0.000088
0.158000,0.214851,0.000085
0.159000,0.215457,0.000070
0.160000,0.216077,0.000054
0.161000,0.216711,0.000028
0.162000,0.217357,0.000013
0.163000,0.218013,0.000010
0.163000,0.189077,0.000213
0.164000,0.189835,0.000225
0.165000,0.190602,0.000229
0.166000,0.191377,0.000215
0.167000,0.192156,0.000191
0.168000,0.192936,0.000180
0.169000,0.193716,0.000153
0.170000,0.194493,0.000115
0.171000,0.195265,0.000090
0.172000,0.196032,0.000055
0.173000,0.196794,0.000029
0.174000,0.197552,0.000007
0.175000,0.198311,0.000049
0.176000,0.199068,0.000095
0.177000,0.199829,0.000138
0.178000,0.200596,0.000182
0.179000,0.201375,0.000201
0.180000,0.202172,0.000218
0.181000,0.202987,0.000239
0.182000,0.203816,0.000254
0.183000,0.204654,0.000252
0.184000,0.205495,0.000285
0.185000,0.206338,0.000332
0.186000,0.207183,0.000376
0.187000,0.208031,0.000433
0.245000,0.255996,0.001019
0.246000,0.256655,0.000996
0.247000,0.257302,0.000993
0.247000,0.063735,0.001044
0.248000,0.063976,0.001062
0.249000,0.064238,0.001069
0.250000,0.064517,0.001072
0.251000,0.064812,0.001080
0.252000,0.065122,0.001090
0.253000,0.065446,0.001069
0.254000,0.065780,0.001044
0.255000,0.066121,0.001035
0.256000,0.066468,0.001030
0.257000,0.066820,0.001024
0.258000,0.067178,0.001023
0.259000,0.067547,0.001028
0.260000,0.067926,0.001021
0.261000,0.068311,0.001028
0.262000,0.068697,0.001065
0.263000,0.069084,0.001099
0.264000,0.069468,0.001130
0.265000,0.069848,0.001160
0.266000,0.070228,0.001202
0.267000,0.070609,0.001228
0.268000,0.070985,0.001251
0.269000,0.071358,0.001265
0.270000,0.071727,0.001267
0.271000,0.072095,0.001277
0.272000,0.072462,0.001286
0.273000,0.072826,0.001314
0.274000,0.073188,0.001347
0.275000,0.073550,0.001362
0.276000,0.073910,0.001356
0.277000,0.074272,0.001355
0.278000,0.074635,0.001362
0.279000,0.075000,0.001361
0.280000,0.075370,0.001361
0.281000,0.075745,0.001370
0.282000,0.076126,0.001388
0.283000,0.076514,0.001396
0.284000,0.076913,0.001399
0.285000,0.077325,0.001401
0.286000,0.077752,0.001380
0.286000,0.244977,0.001677
0.287000,0.246398,0.001664
0.288000,0.247830,0.001666
0.289000,0.249275,0.001673
0.290000,0.250734,0.001692
0.291000,0.252202,0.001707
0.292000,0.253680,0.001717
0.293000,0.255169,0.001726
0.294000,0.256663,0.001729
0.295000,0.258165,0.001714
0.296000,0.259674,0.001717
0.297000,0.261192,0.001738
0.298000,0.262717,0.001743
0.299000,0.264247,0.001751
0.300000,0.265780,0.001757
0.301000,0.267321,0.001753
0.302000,0.268872,0.001747
0.303000,0.270432,0.001719
0.304000,0.272003,0.001710
0.305000,0.273588,0.001704
0.306000,0.275189,0.001699
0.307000,0.276807,0.001716
0.308000,0.278436,0.001731
0.309000,0.280075,0.001734
0.310000,0.281723,0.001735
0.311000,0.283374,0.001739
0.312000,0.285027,0.001737
0.313000,0.286679,0.001763
0.314000,0.288326,0.001764
0.315000,0.289965,0.001754
0.316000,0.291594,0.001741
0.317000,0.293209,0.001715
0.318000,0.294810,0.001698
0.319000,0.296399,0.001680
0.320000,0.297977,0.001649
0.321000,0.299545,0.001632
0.322000,0.301104,0.001618
