t,pos_err_mm,yaw_err_deg
0.197000,7.1140,0.0004
0.198000,7.1493,0.0003
0.209000,7.5378,0.0002
0.214000,7.7145,0.0001
0.219000,7.8911,0.0000
0.233000,8.3859,0.0001
0.239000,8.5980,0.0002
0.243000,8.7395,0.0003
0.247000,8.8809,0.0004
0.249000,8.9517,0.0004
0.250000,8.9871,0.0004
0.251000,9.0224,0.0004
0.252000,9.0578,0.0004
0.253000,9.0932,0.0004
0.336000,14.4959,0.0039
0.337000,14.5379,0.0039
0.338000,14.5799,0.0039
0.339000,14.6220,0.0040
0.347000,14.9582,0.0041
0.348000,15.0003,0.0041
0.351000,15.1265,0.0042
0.375000,16.1367,0.0042
0.382000,16.4312,0.0040
0.383000,16.4733,0.0040
0.384000,16.5154,0.0040
0.385000,16.5574,0.0040
0.386000,16.5995,0.0040
0.387000,16.6416,0.0040
0.388000,16.6836,0.0040
0.389000,16.7257,0.0040
0.390000,16.7678,0.0039
0.391000,16.8098,0.0039
0.392000,16.8519,0.0039
0.471000,7.8605,0.0357
0.472000,7.8758,0.0358
0.473000,7.8911,0.0359
0.474000,7.9064,0.0360
0.475000,7.9217,0.0360
0.476000,7.9370,0.0361
0.477000,7.9523,0.0362
0.478000,7.9676,0.0363
0.479000,7.9829,0.0364
0.480000,7.9982,0.0364
0.481000,8.0134,0.0365
0.482000,8.0287,0.0366
0.483000,8.0439,0.0367
0.484000,8.0592,0.0368
0.485000,8.0744,0.0368
0.486000,8.0896,0.0369
0.487000,8.1048,0.0369
0.488000,8.1200,0.0370
0.489000,8.1353,0.0371
0.490000,8.1505,0.0371
0.491000,8.1657,0.0372
0.492000,8.1809,0.0372
0.493000,8.1961,0.0373
0.494000,8.2113,0.0374
0.495000,8.2265,0.0374
0.496000,8.2417,0.0375
0.497000,8.2569,0.0375
0.498000,8.2721,0.0376
0.499000,8.2873,0.0376
0.500000,8.3024,0.0377
0.501000,8.3176,0.0377
0.502000,8.3328,0.0378
0.503000,8.3480,0.0379
0.504000,8.3632,0.0379
0.505000,8.3784,0.0380
0.506000,8.3935,0.0380
0.507000,8.4087,0.0381
0.508000,8.4239,0.0382
0.509000,8.4390,0.0382
0.510000,8.4542,0.0382
0.511000,8.4693,0.0383
0.512000,8.4844,0.0383
0.513000,8.4995,0.0383
0.514000,8.5147,0.0384
0.515000,8.5298,0.0384
0.516000,8.5449,0.0384
0.517000,8.5600,0.0385
0.518000,8.5751,0.0385
0.519000,8.5902,0.0385
0.520000,8.6053,0.0386
0.520000,5.8078,0.0383
0.520000,5.4763,0.0491
0.521000,5.4853,0.0492
0.522000,5.4942,0.0492
0.624000,7.0193,0.0960
0.635000,7.1309,0.0975
0.651000,7.2935,0.1000
0.652000,7.3036,0.1002
0.653000,7.3138,0.1003
0.654000,7.3240,0.1005
0.655000,7.3341,0.1007
0.679000,7.5782,0.1043
0.680000,7.5883,0.1045
0.681000,7.5985,0.1047
0.682000,7.6087,0.1048
0.683000,7.6188,0.1050
0.722000,8.0149,0.1103
0.768000,8.4827,0.1166
0.769000,8.4929,0.1167
0.770000,8.5030,0.1168
0.812000,8.9284,0.1227
0.813000,8.9385,0.1228
0.814000,8.9486,0.1230
0.815000,8.9586,0.1231
0.816000,8.9687,0.1232
0.817000,8.9788,0.1233
0.818000,8.9889,0.1235
0.819000,8.9990,0.1236
0.820000,9.0090,0.1237
0.821000,9.0191,0.1239
0.822000,9.0292,0.1240
0.823000,9.0392,0.1242
0.824000,9.0493,0.1244
0.825000,9.0594,0.1245
0.826000,9.0694,0.1247
0.827000,9.0795,0.1248
0.828000,9.0896,0.1250
0.829000,9.0996,0.1251
0.833000,7.4929,0.1066
0.834000,7.5000,0.1067
0.835000,7.5072,0.1069
0.836000,7.5144,0.1070
0.837000,7.5216,0.1071
0.852000,9.3314,0.1285
0.838000,7.5288,0.1072
0.839000,7.5360,0.1073
0.840000,7.5432,0.1075
0.841000,7.5504,0.1076
0.868000,7.7445,0.1101
0.869000,7.7517,0.1102
0.870000,7.7588,0.1103
0.871000,7.7660,0.1104
0.872000,7.7732,0.1105
0.873000,7.7803,0.1106
0.874000,7.7875,0.1107
0.875000,7.7946,0.1108
0.876000,7.8018,0.1109
0.877000,7.8089,0.1111
0.878000,7.8161,0.1112
0.879000,7.8232,0.1113
0.880000,7.8304,0.1114
0.881000,7.8375,0.1115
0.882000,7.8447,0.1116
0.882000,7.1394,0.1227
0.883000,7.1452,0.1228
0.884000,7.1509,0.1229
0.885000,7.1566,0.1231
0.886000,7.1623,0.1232
0.887000,7.1681,0.1233
0.888000,7.1738,0.1235
