t,ax,ay,az,gx,gy,gz
0.000000,0.055854,-0.024767,9.795612,-0.001425,0.002055,0.004202
0.001000,0.052926,-0.026308,0.014573,-0.002640,-0.000879,0.005416
0.002000,0.053561,-0.020614,0.022417,-0.001223,-0.000727,0.006107
0.003000,0.053762,-0.030836,-0.001728,0.002090,-0.000054,0.005576
0.004000,0.049613,-0.038848,0.046424,-0.000907,-0.000765,0.003666
0.005000,0.041696,-0.013277,0.047103,-0.001374,0.000850,0.006193
0.006000,0.055586,-0.023476,0.052594,-0.000100,-0.000568,0.006000
0.007000,0.055676,-0.024449,0.083909,-0.000120,0.001719,0.003428
0.008000,0.047159,-0.035138,0.082942,0.001955,-0.000034,0.003154
0.009000,0.056320,-0.033507,0.091595,-0.001176,0.000980,0.004538
0.010000,0.054372,-0.039098,0.095241,-0.000204,-0.000959,0.005535
0.011000,0.044052,-0.026238,0.107910,0.000427,-0.001422,0.005035
0.012000,0.059566,-0.049225,0.110374,0.001266,-0.000199,0.005135
0.013000,0.059611,-0.011160,0.110326,-0.001520,0.000475,0.005383
0.014000,0.050490,-0.057977,0.149086,0.000977,-0.001283,0.004210
0.015000,0.034643,-0.060837,0.147540,-0.000725,-0.001245,0.004552
0.016000,0.053715,-0.020938,0.156949,0.000529,0.001269,0.005358
0.017000,0.051290,-0.029942,0.169405,-0.000107,-0.000093,0.007312
0.018000,0.061127,-0.028514,0.151855,0.000070,0.000372,0.003841
0.019000,0.040832,-0.034875,0.203241,0.000213,-0.000436,0.002532
0.020000,0.052956,-0.047842,0.199205,0.000423,-0.001163,0.002779
0.021000,0.031128,-0.029840,0.202134,0.000893,-0.000581,0.006362
0.022000,0.054379,-0.038325,0.216365,-0.000436,-0.000164,0.005383
0.023000,0.041857,-0.016209,0.226855,-0.001597,-0.000076,0.004971
0.024000,0.046834,-0.027852,0.242048,-0.000788,0.001149,0.003964
0.025000,0.062551,-0.024931,0.243635,-0.000527,0.001195,0.004811
0.026000,0.042102,-0.043406,0.249170,-0.000553,-0.001276,0.006542
0.027000,0.056041,-0.023392,0.255861,-0.000794,-0.000443,0.005294
0.028000,0.060832,-0.032040,0.277248,0.000616,0.001529,0.005041
0.029000,0.055786,-0.021584,0.273428,-0.001375,-0.000895,0.002234
0.030000,0.060697,-0.028474,0.301759,-0.001013,-0.001000,0.003952
0.031000,0.030346,-0.011861,0.311203,0.001538,0.000116,0.003722
0.032000,0.060237,-0.034993,157.813274,0.000123,0.000897,0.006007
0.033000,0.045659,-0.041614,130.744579,-0.001136,0.000902,0.004938
0.034000,0.034947,-0.019345,33.979656,-0.001060,0.000286,0.004822
0.035000,0.056897,-0.023726,14.634719,0.001112,0.000093,0.004785
0.036000,0.052943,-0.011719,10.802635,-0.001674,-0.000333,0.005184
0.037000,0.052970,-0.025309,9.997317,0.000059,-0.000331,0.004777
0.038000,0.054132,-0.030232,9.850567,0.000038,0.001007,0.006098
0.039000,0.064954,-0.024722,9.822116,-0.001716,0.000141,0.005554
0.040000,0.058538,-0.026920,9.799238,-0.002534,0.000083,0.005115
0.041000,0.062754,-0.027986,9.817624,0.000308,0.001958,0.005035
0.042000,0.047797,-0.027107,9.806379,-0.000080,-0.000548,0.005011
0.043000,0.018317,-0.033493,9.802395,0.001858,-0.000812,0.005827
0.044000,0.051093,-0.016728,9.798422,-0.001052,0.000607,0.002623
0.045000,0.035587,-0.037782,9.805317,-0.002301,-0.001864,0.005318
0.046000,0.056500,-0.027906,9.812153,0.000129,0.000086,0.003076
0.047000,0.050922,-0.047466,9.807501,0.001062,-0.000521,0.005281
0.048000,0.051327,-0.033232,9.807570,0.000509,-0.000114,0.004164
0.049000,0.056382,-0.046252,9.808600,0.001248,0.000564,0.004651
0.050000,0.043236,-0.035588,9.814139,0.000175,-0.000723,0.004745
0.051000,0.051390,-0.028806,9.801211,0.000511,0.001220,0.004989
0.052000,0.051389,-0.027700,9.799914,-0.000289,0.000473,0.004191
0.053000,0.044030,-0.019482,9.798854,0.000396,0.001312,0.002730
0.054000,0.060585,-0.019397,9.818082,-0.000007,0.000460,0.003261
0.055000,0.035945,-0.037643,9.816618,-0.000231,0.000947,0.005003
0.056000,0.040610,-0.035152,9.784087,0.000850,0.000620,0.005512
0.057000,0.043292,-0.035786,9.800054,0.000584,0.003277,0.003851
0.058000,0.049853,-0.016767,9.804760,-0.001141,0.000268,0.005505
0.059000,0.053458,-0.028212,9.827123,-0.000595,-0.000077,0.003930
0.060000,0.041179,-0.037378,9.800503,-0.001146,0.000592,0.005647
0.061000,0.053962,-0.039648,9.805105,0.000544,-0.000609,0.004655
0.062000,0.052625,-0.040266,9.799808,-0.000986,0.001316,0.004352
0.063000,0.066071,-0.035285,9.789044,0.001095,0.001123,0.004681
0.064000,0.059128,-0.011359,9.826139,-0.001850,-0.001529,0.006528
0.065000,0.049789,-0.029520,9.791137,-0.001813,-0.001057,0.004221
0.066000,0.052722,-0.001941,9.792644,0.001440,-0.000248,0.004619
0.067000,0.038194,-0.053597,9.805444,0.000342,0.000424,0.005650
0.068000,0.061743,-0.012513,9.818731,-0.000296,-0.000221,0.005282
0.069000,0.042387,-0.036173,9.791725,-0.000703,0.001562,0.005558
0.070000,0.044835,-0.009141,9.807445,0.000763,-0.000925,0.004957
0.071000,0.061203,-0.036473,9.819529,-0.000120,0.001053,0.004634
0.072000,0.047824,-0.019017,9.802608,0.001411,0.000844,0.005290
0.073000,0.052970,-0.025714,9.815921,-0.000273,-0.000279,0.007073
0.074000,0.046918,-0.040658,9.793778,0.000903,0.000242,0.005986
0.075000,0.061114,-0.037304,9.834994,-0.001295,-0.000166,0.005210
0.076000,0.066810,-0.040669,9.805614,0.000853,0.002086,0.004693
0.077000,0.052448,-0.033121,9.820215,0.000039,0.000141,0.005072
0.078000,0.054473,-0.013300,9.793702,-0.000659,-0.000131,0.005452
0.079000,0.047935,-0.046346,9.794031,0.000370,0.000057,0.004200
0.080000,0.053836,-0.036246,9.807274,-0.001157,-0.000105,0.004466
0.081000,0.059451,-0.008088,9.784088,0.000286,-0.000345,0.002443
0.082000,0.033149,-0.040746,9.793227,0.000154,-0.001273,0.005305
0.083000,0.061450,-0.048045,9.823713,0.000121,-0.000963,0.005396
0.084000,0.061230,-0.038920,9.811573,0.001418,-0.000093,0.005265
0.085000,0.050666,-0.040350,9.797419,0.000429,-0.000018,0.005687
0.086000,0.056381,-0.028150,9.818577,0.000432,-0.001341,0.005262
0.087000,0.053766,-0.020999,9.796813,0.001121,0.001857,0.003366
0.088000,0.049680,-0.029673,9.799441,-0.001520,-0.000873,0.006219
0.089000,0.049925,-0.017285,9.808393,-0.001235,0.001787,0.005695
0.090000,0.046925,-0.032549,9.811522,0.000541,0.000435,0.006474
0.091000,0.038909,-0.052365,9.813693,-0.001397,0.000061,0.005141
0.092000,0.044005,-0.030254,9.806629,0.000367,0.000107,0.005435
0.093000,0.048628,-0.017669,9.791791,0.001192,-0.000385,0.004443
0.094000,0.061158,-0.033253,9.799572,0.000554,0.000676,0.005652
0.095000,0.061949,-0.039200,9.810006,-0.001183,-0.000152,0.005737
0.096000,0.047566,-0.023005,9.827589,-0.000542,-0.000250,0.004078
0.097000,0.057570,-0.005295,9.805424,-0.000120,-0.000205,0.004041
0.098000,0.056721,-0.037815,9.800062,-0.000788,-0.000459,0.003893
0.099000,0.038616,-0.037275,9.812172,-0.001956,-0.000490,0.006154
0.100000,0.050782,-0.044977,9.805715,0.001157,-0.000740,0.003797
0.101000,0.047589,-0.021017,9.810653,-0.000494,-0.000508,0.003862
0.102000,0.043173,-0.009834,9.811323,0.000870,0.000873,0.004464
0.103000,0.055422,-0.029169,9.804617,-0.001367,-0.001087,0.004821
0.104000,0.050767,-0.045114,9.813923,-0.000440,0.000634,0.002971
0.105000,0.029662,-0.030846,9.812487,0.000722,-0.000433,0.003909
0.106000,0.051820,-0.007438,9.805582,-0.000299,0.001122,0.005340
0.107000,0.057393,-0.019699,9.790015,0.001284,0.001552,0.007188
0.108000,0.074160,-0.031093,9.772491,0.000443,0.001127,0.005261
0.109000,0.025285,-0.052606,9.800921,-0.001374,-0.000299,0.002600
0.110000,0.044199,-0.009573,9.821918,-0.001023,0.002851,0.005627
0.111000,0.037787,-0.031387,9.794634,-0.001662,0.001472,0.004713
0.112000,0.062715,-0.012924,9.793845,0.000546,0.000271,0.005686
0.113000,0.044618,-0.030502,9.809091,-0.000238,-0.001022,0.005628
0.114000,0.032822,-0.017062,9.815675,0.001025,0.000352,0.004543
0.115000,0.036168,-0.039797,9.823564,0.000101,-0.000226,0.006318
0.116000,0.046503,-0.023677,9.795147,0.000015,0.001203,0.005862
0.117000,0.035576,-0.042128,9.804420,0.000637,0.000232,0.007081
0.118000,0.060017,-0.030620,9.797166,0.001190,-0.000325,0.004983
0.119000,0.041825,-0.017757,9.803252,0.000107,-0.000464,0.005428
0.120000,0.044866,-0.020345,9.809464,-0.002130,0.000088,0.004686
0.121000,0.043473,-0.014834,9.809466,0.000723,-0.001920,0.004554
0.122000,0.058075,-0.037902,9.801894,0.001268,0.001331,0.004429
0.123000,0.048926,-0.020106,9.811702,-0.000707,-0.000681,0.005541
0.124000,0.062172,-0.030587,9.809778,-0.000514,-0.000325,0.006379
0.125000,0.048624,-0.026834,9.805552,-0.000010,-0.001286,0.005841
0.126000,0.058259,-0.031849,9.797621,-0.000014,0.001143,0.006277
0.127000,0.054768,-0.027816,9.796504,0.001329,-0.000921,0.005659
0.128000,0.031989,-0.019473,9.813802,-0.000633,0.000026,0.006178
0.129000,0.049808,-0.043843,9.797848,0.000828,-0.000166,0.006012
0.130000,0.066374,-0.025020,9.815884,-0.000677,-0.000171,0.005521
0.131000,0.041495,-0.021304,9.808558,0.000666,0.001263,0.006061
0.132000,0.052004,-0.022695,9.789658,0.000318,-0.001070,0.004367
0.133000,0.040009,-0.039104,9.791632,-0.000991,-0.000955,0.004448
0.134000,0.039409,-0.037931,9.782876,-0.000330,0.001140,0.006065
0.135000,0.047120,-0.036002,9.800274,-0.001566,-0.002233,0.005707
0.136000,0.053603,-0.025632,9.811466,-0.002103,-0.000315,0.006549
0.137000,0.057631,-0.027878,9.801202,-0.000805,-0.000432,0.006276
0.138000,0.060469,-0.027425,9.816708,-0.000425,0.002100,0.006310
0.139000,0.059579,-0.035782,9.798247,-0.002076,0.001268,0.005221
0.140000,0.058226,-0.018968,9.820086,-0.001022,0.001449,0.003919
0.141000,0.057646,-0.031303,9.808936,0.000284,0.000053,0.005626
0.142000,0.049689,-0.034350,9.820010,0.000007,-0.000204,0.004925
0.143000,0.044870,-0.015842,9.799299,-0.000957,0.000142,0.004454
0.144000,0.063680,-0.025456,9.800900,0.001263,0.000557,0.004684
0.145000,0.052364,-0.037788,9.810543,0.000561,-0.001554,0.005563
0.146000,0.047084,-0.053394,9.813913,0.000991,-0.001105,0.004982
0.147000,0.042235,-0.023025,9.800174,0.001125,0.001461,0.004511
0.148000,0.035040,-0.041408,9.808914,-0.001608,0.000601,0.005406
0.149000,0.040611,-0.034340,9.822520,-0.000806,0.001277,0.004819
0.150000,0.063535,-0.042056,9.805726,-0.000881,0.000670,0.004689
0.151000,0.050695,-0.041858,9.803528,-0.000225,-0.000463,0.005206
0.152000,0.055070,-0.041364,9.812081,-0.000451,0.001069,0.004230
0.153000,0.068560,-0.036661,9.816009,0.000584,0.000039,0.005141
0.154000,0.064615,-0.023354,9.806140,0.000702,0.000583,0.005013
0.155000,0.025950,-0.030930,9.809193,0.000529,-0.001080,0.004295
0.156000,0.056078,-0.012094,9.804572,-0.001734,0.000739,0.007106
0.157000,0.050204,-0.026722,9.824176,-0.002324,0.000789,0.003234
0.158000,0.058292,-0.022448,9.782139,-0.000371,0.001383,0.005266
0.159000,0.070138,-0.028564,9.801887,0.001396,0.000716,0.004149
0.160000,0.068422,-0.036855,9.789153,0.000264,0.000444,0.004781
0.161000,0.048520,-0.017655,9.817090,0.000916,-0.001029,0.004147
0.162000,0.045148,-0.037498,9.822089,0.000348,-0.001464,0.005394
0.163000,0.061031,-0.031203,9.795172,-0.000099,-0.000319,0.004306
0.164000,0.046583,-0.029868,9.792037,-0.000597,0.000171,0.005507
0.165000,0.048260,-0.038711,9.824068,-0.000918,0.000389,0.005311
0.166000,0.046398,-0.023170,9.804869,0.001147,-0.001120,0.006272
0.167000,0.052462,-0.007340,9.803868,0.000802,0.000533,0.005721
0.168000,0.056872,-0.028969,9.809158,0.001058,-0.001243,0.004494
0.169000,0.040312,-0.022759,9.821785,-0.000333,-0.000687,0.006126
0.170000,0.055817,-0.003553,9.794300,0.000954,-0.000498,0.006065
0.171000,0.059429,-0.023587,9.802607,0.000530,-0.000130,0.004532
0.172000,0.039407,-0.029362,9.812394,-0.001280,-0.001095,0.005921
0.173000,0.031941,-0.044992,9.803107,0.000282,-0.001265,0.004838
0.174000,0.056374,-0.041633,9.800483,0.000426,-0.000656,0.005905
0.175000,0.046197,-0.034359,9.793201,-0.000835,-0.000821,0.005885
0.176000,0.044763,-0.032003,9.818662,-0.001177,-0.000905,0.005666
0.177000,0.063573,-0.038840,9.811626,-0.002112,-0.000541,0.005354
0.178000,0.053510,-0.042215,9.811924,0.000757,0.000992,0.005490
0.179000,0.060829,-0.049846,9.803139,-0.000846,0.001161,0.003823
0.180000,0.061379,-0.045735,9.803318,0.000948,-0.000192,0.005051
