t,pos_err_mm,yaw_err_deg
0.094000,3.4807,0.0015
0.095000,3.5160,0.0014
0.096000,3.5513,0.0014
0.097000,3.5865,0.0014
0.098000,3.6218,0.0014
0.099000,3.6571,0.0014
0.100000,3.6924,0.0015
0.101000,3.7277,0.0015
0.102000,3.7629,0.0015
0.103000,3.7982,0.0015
0.104000,3.8335,0.0016
0.105000,3.8688,0.0016
0.106000,3.9041,0.0016
0.107000,3.9393,0.0016
0.108000,3.9746,0.0016
0.109000,4.0099,0.0017
0.110000,4.0452,0.0017
0.111000,4.0804,0.0017
0.112000,4.1157,0.0017
0.113000,4.1510,0.0017
0.114000,4.1863,0.0017
0.115000,4.2215,0.0017
0.116000,4.2568,0.0017
0.117000,4.2920,0.0017
0.118000,4.3273,0.0016
0.119000,4.3625,0.0016
0.120000,4.3978,0.0016
0.121000,4.4330,0.0016
0.122000,4.4682,0.0016
0.123000,4.5035,0.0016
0.123000,13.4207,0.0028
0.124000,13.5267,0.0028
0.125000,13.6327,0.0028
0.126000,13.7387,0.0027
0.127000,13.8447,0.0027
0.128000,13.9507,0.0027
0.128000,11.0254,0.0031
0.129000,11.1082,0.0031
0.129000,8.9070,0.0049
0.130000,8.9725,0.0048
0.131000,9.0381,0.0048
0.132000,9.1036,0.0048
0.133000,9.1691,0.0048
0.134000,9.2346,0.0048
0.135000,9.3002,0.0047
0.136000,9.3657,0.0047
0.137000,9.4312,0.0047
0.137000,7.1157,0.0058
0.138000,7.1636,0.0058
0.139000,7.2115,0.0058
0.140000,7.2594,0.0058
0.141000,7.3074,0.0058
0.142000,7.3553,0.0058
0.143000,7.4033,0.0058
0.144000,7.4512,0.0058
0.145000,7.4991,0.0058
0.146000,7.5471,0.0058
0.147000,7.5950,0.0058
0.148000,7.6430,0.0058
0.149000,7.6909,0.0058
0.150000,7.7389,0.0059
0.151000,7.7868,0.0059
0.152000,7.8348,0.0059
0.156000,8.0266,0.0060
0.158000,8.1225,0.0060
0.159000,6.0780,0.0068
0.160000,6.1128,0.0069
0.161000,6.1475,0.0069
0.162000,6.1823,0.0069
0.163000,6.2171,0.0070
0.164000,6.2518,0.0070
0.165000,6.2866,0.0070
0.166000,6.3214,0.0070
0.167000,6.3562,0.0070
0.168000,6.3910,0.0071
0.169000,6.4258,0.0071
0.170000,6.4605,0.0071
0.171000,6.4953,0.0071
0.172000,6.5301,0.0071
0.173000,6.5649,0.0071
0.174000,6.5997,0.0071
0.175000,6.6345,0.0071
0.176000,6.6693,0.0070
0.177000,6.7041,0.0070
0.178000,6.7389,0.0070
0.179000,6.7736,0.0070
0.180000,6.8084,0.0071
0.181000,6.8432,0.0071
0.182000,6.8780,0.0071
0.183000,6.9128,0.0071
0.184000,6.9476,0.0071
0.185000,6.9824,0.0071
0.186000,7.0172,0.0071
0.187000,7.0520,0.0071
0.188000,7.0868,0.0071
0.189000,7.1216,0.0071
0.190000,7.1564,0.0070
0.191000,7.1911,0.0070
0.192000,7.2259,0.0070
0.193000,7.2607,0.0070
0.194000,7.2955,0.0070
0.195000,7.3302,0.0070
0.196000,7.3650,0.0070
0.197000,7.3998,0.0070
0.198000,7.4345,0.0070
0.199000,7.4693,0.0070
0.200000,7.5041,0.0070
0.201000,7.5389,0.0071
0.202000,7.5736,0.0071
0.203000,7.6084,0.0071
0.204000,7.6432,0.0071
0.204000,5.8173,0.0073
0.228000,6.4252,0.0075
0.237000,6.6531,0.0078
0.244000,6.8305,0.0081
0.249000,6.9572,0.0083
0.250000,6.9825,0.0083
0.260000,7.2360,0.0085
0.261000,7.2614,0.0085
0.262000,7.2868,0.0085
0.263000,7.3122,0.0085
0.264000,7.3375,0.0085
0.265000,7.3629,0.0085
0.266000,7.3883,0.0085
0.267000,7.4136,0.0085
0.268000,7.4390,0.0086
0.269000,7.4643,0.0086
0.270000,7.4897,0.0086
0.271000,7.5151,0.0086
0.272000,7.5404,0.0086
0.273000,7.5658,0.0086
0.274000,7.5911,0.0086
0.275000,7.6165,0.0086
0.276000,7.6418,0.0087
0.277000,7.6672,0.0087
0.278000,7.6926,0.0087
0.279000,7.7179,0.0087
0.280000,7.7433,0.0087
0.281000,7.7686,0.0088
0.282000,7.7940,0.0088
0.283000,7.8193,0.0088
0.284000,7.8447,0.0088
0.285000,7.8700,0.0088
0.286000,7.8954,0.0089
0.287000,7.9207,0.0089
0.288000,7.9461,0.0089
0.289000,7.9714,0.0089
0.290000,7.9968,0.0089
0.291000,8.0221,0.0090
0.292000,8.0474,0.0090
0.312000,6.8152,0.0100
0.313000,6.8347,0.0100
0.314000,6.8541,0.0101
0.315000,6.8736,0.0101
0.316000,6.8930,0.0101
0.317000,6.9125,0.0102
0.318000,6.9319,0.0102
0.319000,6.9514,0.0102
0.320000,6.9709,0.0103
0.321000,6.9903,0.0103
0.322000,7.0098,0.0103
0.323000,7.0293,0.0104
0.324000,7.0488,0.0104
0.325000,7.0682,0.0104
0.326000,7.0877,0.0105
0.327000,7.1072,0.0105
0.328000,7.1267,0.0105
0.328000,6.4580,0.0149
0.329000,6.4752,0.0149
0.330000,6.4925,0.0150
0.363000,5.9610,0.0202
0.364000,5.9750,0.0202
0.365000,5.9889,0.0202
0.376000,6.1420,0.0207
0.391000,6.3503,0.0210
0.392000,6.3642,0.0211
0.393000,6.3780,0.0211
0.394000,6.3919,0.0211
0.395000,6.4058,0.0212
0.396000,6.4196,0.0212
0.397000,6.4335,0.0212
0.398000,6.4473,0.0213
0.399000,6.4612,0.0213
0.491000,7.7257,0.0249
0.492000,7.7393,0.0250
0.493000,7.7530,0.0250
0.494000,7.7666,0.0251
0.580000,8.0331,0.0539
0.594000,8.1982,0.0551
0.595000,8.2100,0.0552
0.597000,8.2336,0.0554
0.603000,8.3043,0.0560
0.604000,8.3161,0.0561
0.605000,8.3278,0.0562
0.606000,8.3396,0.0563
0.607000,8.3514,0.0564
0.608000,8.3631,0.0565
0.609000,8.3749,0.0566
0.610000,8.3866,0.0567
0.611000,8.3984,0.0567
0.677000,7.7691,0.1284
0.678000,7.7781,0.1286
0.679000,7.7871,0.1288
0.680000,7.7960,0.1290
0.681000,7.8050,0.1292
0.682000,7.8139,0.1294
0.683000,7.8229,0.1296
0.728000,8.2224,0.1375
0.729000,8.2312,0.1376
0.871000,9.4574,0.1620
0.881000,9.5422,0.1637
0.885000,9.5761,0.1644
0.886000,9.5846,0.1646
0.888000,9.6015,0.1649
0.889000,9.6100,0.1651
0.892000,9.6354,0.1657
0.893000,9.6439,0.1659
0.894000,9.6524,0.1661
0.895000,9.6608,0.1663
0.896000,9.6693,0.1665
0.897000,9.6778,0.1667
0.898000,9.6862,0.1669
0.899000,9.6947,0.1671
0.900000,9.7031,0.1673
0.921000,9.8795,0.1712
0.934000,8.0309,0.1755
0.934000,7.0203,0.1739
0.935000,7.0228,0.1741
0.936000,7.0253,0.1742
0.937000,7.0277,0.1744
0.938000,7.0302,0.1746
0.939000,7.0327,0.1747
0.940000,7.0351,0.1749
0.941000,7.0375,0.1750
0.943000,7.0423,0.1754
0.944000,7.0447,0.1755
0.945000,7.0471,0.1757
0.946000,7.0495,0.1759
0.947000,7.0519,0.1760
0.948000,7.0543,0.1762
0.949000,7.0567,0.1764
0.950000,7.0590,0.1766
0.951000,7.0614,0.1767
0.952000,7.0638,0.1769
0.953000,7.0661,0.1771
0.954000,7.0684,0.1773
0.960000,7.0823,0.1785
0.994000,6.2943,0.1972
0.995000,6.2947,0.1974
0.996000,6.2950,0.1976
0.997000,6.2953,0.1978
0.998000,6.2956,0.1980
0.999000,6.2959,0.1982
1.000000,6.2962,0.1984
1.001000,6.2964,0.1985
1.002000,6.2967,0.1987
1.003000,6.2970,0.1989
1.013000,6.2994,0.2008
1.014000,6.2997,0.2010
1.015000,6.2999,0.2011
1.016000,6.3001,0.2013
1.017000,6.3003,0.2015
1.018000,6.3004,0.2017
1.019000,6.3006,0.2019
1.020000,6.3008,0.2021
1.045000,6.3023,0.2069
1.047000,6.3022,0.2073
1.048000,6.3021,0.2074
1.054000,6.3015,0.2087
1.089000,4.4900,0.1899
1.091000,4.4820,0.1902
1.092000,4.4780,0.1904
1.093000,4.4740,0.1905
1.094000,4.4699,0.1907
1.095000,4.4659,0.1908
1.096000,4.4619,0.1910
1.097000,4.4578,0.1911
1.098000,4.4537,0.1913
1.099000,4.4497,0.1914
1.100000,4.4456,0.1916
1.101000,4.4415,0.1918
1.102000,4.4375,0.1920
1.103000,4.4334,0.1921
1.104000,4.4293,0.1923
1.105000,4.4252,0.1924
1.106000,4.4211,0.1926
1.107000,4.4169,0.1927
1.108000,4.4128,0.1929
1.109000,4.4086,0.1930
1.110000,4.4045,0.1932
1.111000,4.4003,0.1933
1.112000,4.3962,0.1935
1.113000,4.3920,0.1936
1.114000,4.3878,0.1938
1.115000,4.3836,0.1940
1.120000,4.3625,0.1947
1.129000,4.3241,0.1961
1.131000,4.3154,0.1964
1.132000,4.3111,0.1965
1.133000,4.3067,0.1967
1.134000,4.3024,0.1969
1.135000,4.2980,0.1970
1.136000,4.2936,0.1972
1.137000,4.2892,0.1974
1.154000,4.1718,0.2029
1.156000,4.1619,0.2032
1.157000,4.1569,0.2034
1.160000,4.1418,0.2040
1.163000,3.8040,0.2144
1.164000,3.7982,0.2146
1.165000,3.7923,0.2148
1.166000,3.7864,0.2150
1.167000,3.7805,0.2152
1.168000,3.7746,0.2154
1.169000,3.7687,0.2156
1.170000,3.7628,0.2158
1.171000,3.7569,0.2160
1.172000,3.7509,0.2162
1.173000,3.7449,0.2164
1.174000,3.7389,0.2166
1.175000,3.7329,0.2169
1.176000,3.7269,0.2171
1.177000,3.7209,0.2173
1.178000,3.7148,0.2175
1.179000,3.7088,0.2177
1.180000,3.7027,0.2179
1.181000,3.6966,0.2181
1.182000,3.6905,0.2183
1.183000,3.6844,0.2185
1.184000,3.6783,0.2187
1.185000,3.6722,0.2189
1.186000,3.6660,0.2191
1.187000,3.6599,0.2193
1.188000,3.6537,0.2195
1.189000,3.6475,0.2197
1.190000,3.6414,0.2199
1.191000,3.6352,0.2202
1.192000,3.6290,0.2204
1.193000,3.6227,0.2206
1.200000,3.5789,0.2221
1.207000,3.5344,0.2235
1.207000,3.5540,0.2201
1.208000,3.5475,0.2203
1.209000,3.5410,0.2205
1.210000,3.5345,0.2207
1.211000,3.5280,0.2209
1.211000,3.8433,0.2258
1.212000,3.8376,0.2260
1.213000,3.8318,0.2262
1.214000,3.8261,0.2264
1.215000,3.8203,0.2266
1.216000,3.8145,0.2268
1.217000,3.8087,0.2270
1.218000,3.8029,0.2272
1.219000,3.7971,0.2274
1.220000,3.7913,0.2275
1.221000,3.7855,0.2278
1.222000,3.7797,0.2280
1.223000,3.7738,0.2282
1.224000,3.7680,0.2284
1.225000,3.7621,0.2286
1.226000,3.7563,0.2287
1.227000,3.7504,0.2289
1.228000,3.7445,0.2291
1.229000,3.7386,0.2293
1.230000,3.7327,0.2295
1.231000,3.7268,0.2297
1.232000,3.7209,0.2298
1.233000,3.7150,0.2300
1.234000,3.7090,0.2302
1.235000,3.7030,0.2304
1.236000,3.6971,0.2306
1.237000,3.6911,0.2308
1.238000,3.6851,0.2310
1.239000,3.6791,0.2312
1.240000,3.6730,0.2313
1.241000,3.6670,0.2315
1.242000,3.6609,0.2317
1.243000,3.6548,0.2319
1.244000,3.6488,0.2321
1.245000,3.6426,0.2322
1.246000,3.6365,0.2324
1.247000,3.6304,0.2326
1.248000,3.6242,0.2328
1.249000,3.6181,0.2330
1.257000,3.8513,0.2375
1.258000,3.8457,0.2376
1.259000,3.8401,0.2378
1.260000,3.8344,0.2380
1.261000,3.8288,0.2382
1.262000,3.8231,0.2384
1.263000,3.8174,0.2386
1.264000,3.8117,0.2388
1.265000,3.8060,0.2389
1.265000,3.2131,0.2128
1.266000,3.2059,0.2130
1.267000,3.1986,0.2131
1.268000,3.1914,0.2133
1.269000,3.1841,0.2135
1.270000,3.1768,0.2137
1.271000,3.1695,0.2139
1.272000,3.1622,0.2140
1.273000,3.1548,0.2142
1.274000,3.1475,0.2144
1.275000,3.1402,0.2146
1.276000,3.1328,0.2147
1.277000,3.1255,0.2149
1.278000,3.1181,0.2151
1.279000,3.1107,0.2152
1.280000,3.1033,0.2154
1.299000,2.9603,0.2183
1.300000,2.9526,0.2185
1.301000,2.9449,0.2186
1.302000,2.9373,0.2188
1.306000,3.4841,0.2195
1.307000,3.4778,0.2196
1.308000,3.4716,0.2198
1.309000,3.4653,0.2200
1.310000,3.4590,0.2202
1.311000,3.4527,0.2204
1.312000,3.4463,0.2205
1.313000,3.4400,0.2207
1.314000,3.4337,0.2208
1.315000,3.4273,0.2210
1.316000,3.4209,0.2211
1.317000,3.4146,0.2213
1.318000,3.4082,0.2215
1.319000,3.4017,0.2216
1.320000,3.3953,0.2218
1.321000,3.3889,0.2219
1.322000,3.3824,0.2221
1.323000,3.3759,0.2222
1.324000,3.3695,0.2224
1.325000,3.3630,0.2225
1.326000,3.3565,0.2227
1.327000,3.3499,0.2229
1.328000,3.3434,0.2230
1.329000,3.3369,0.2232
1.330000,3.3303,0.2234
1.331000,3.3237,0.2235
1.332000,3.3171,0.2236
1.333000,3.3106,0.2238
1.334000,3.3040,0.2239
1.335000,3.2973,0.2240
1.336000,3.2907,0.2241
1.337000,3.2841,0.2243
1.338000,3.2774,0.2244
1.339000,3.2708,0.2245
1.340000,3.2641,0.2247
1.341000,3.2574,0.2248
1.342000,3.2507,0.2249
1.343000,3.2440,0.2251
1.344000,3.2373,0.2252
1.345000,3.2305,0.2254
1.346000,3.2238,0.2255
1.346000,3.3507,0.2152
1.347000,3.3442,0.2153
1.348000,3.3378,0.2155
1.349000,3.3313,0.2156
1.350000,3.3248,0.2158
1.351000,3.3182,0.2159
1.352000,3.3117,0.2161
1.353000,3.3052,0.2162
1.354000,3.2986,0.2164
1.354000,3.0128,0.2191
1.355000,3.0056,0.2193
1.356000,2.9983,0.2195
1.357000,2.9910,0.2196
1.358000,2.9837,0.2198
1.359000,2.9764,0.2200
1.360000,2.9691,0.2201
1.361000,2.9618,0.2203
1.362000,2.9544,0.2205
1.363000,2.9471,0.2206
1.364000,2.9397,0.2208
1.365000,2.9324,0.2210
1.366000,2.9250,0.2212
1.367000,2.9176,0.2214
1.368000,2.9102,0.2216
1.369000,2.9028,0.2218
1.370000,2.8954,0.2220
1.371000,2.8879,0.2222
1.372000,2.8805,0.2223
1.373000,2.8730,0.2225
1.374000,2.8656,0.2227
1.375000,2.8581,0.2228
1.376000,2.8506,0.2230
1.377000,2.8431,0.2232
1.392000,2.7289,0.2257
1.393000,2.7212,0.2259
1.394000,2.7135,0.2260
1.395000,2.7058,0.2262
1.396000,2.6981,0.2263
1.397000,2.6903,0.2265
1.398000,2.6826,0.2267
1.399000,2.6748,0.2268
1.400000,2.6670,0.2270
1.401000,2.6593,0.2271
1.402000,2.6515,0.2273
1.403000,2.6437,0.2275
1.404000,2.6358,0.2276
1.405000,2.6280,0.2278
1.406000,2.6201,0.2279
1.407000,2.6123,0.2281
1.408000,2.6044,0.2282
1.408000,2.4736,0.2065
1.409000,2.4656,0.2067
1.410000,2.4575,0.2068
1.411000,2.4494,0.2069
1.412000,2.4413,0.2071
1.413000,2.4332,0.2072
1.414000,2.4250,0.2073
1.415000,2.4169,0.2075
1.416000,2.4088,0.2076
1.417000,2.4006,0.2077
1.418000,2.3925,0.2078
1.419000,2.3843,0.2080
1.420000,2.3762,0.2082
1.421000,2.3680,0.2083
1.422000,2.3599,0.2085
1.423000,2.3517,0.2087
1.424000,2.3435,0.2089
1.425000,2.3353,0.2090
1.426000,2.3271,0.2092
1.427000,2.3189,0.2094
1.428000,2.3107,0.2095
1.429000,2.3025,0.2096
1.430000,2.2942,0.2098
1.431000,2.2860,0.2099
1.432000,2.2778,0.2101
1.433000,2.2695,0.2102
1.434000,2.2613,0.2103
1.435000,2.2530,0.2105
1.436000,2.2447,0.2106
1.437000,2.2365,0.2107
1.438000,2.2282,0.2108
1.439000,2.2199,0.2110
1.440000,2.2116,0.2111
1.441000,2.2033,0.2113
1.442000,2.1950,0.2114
1.443000,2.1867,0.2115
1.444000,2.1784,0.2116
1.445000,2.1700,0.2118
1.446000,2.1617,0.2119
1.447000,2.1534,0.2120
1.448000,2.1450,0.2121
1.449000,2.1366,0.2123
1.450000,2.1283,0.2124
1.451000,2.1199,0.2126
1.452000,2.1115,0.2127
1.453000,2.1032,0.2129
1.454000,2.0948,0.2130
1.455000,2.0864,0.2132
1.455000,2.2157,0.2063
1.456000,2.2078,0.2065
1.457000,2.1999,0.2066
1.458000,2.1920,0.2067
1.459000,2.1840,0.2069
1.460000,2.1761,0.2070
1.461000,2.1682,0.2072
1.462000,2.1602,0.2073
1.463000,2.1523,0.2075
1.464000,2.1443,0.2076
1.465000,2.1364,0.2078
1.466000,2.1284,0.2079
1.466000,2.7169,0.1988
1.467000,2.7102,0.1989
1.468000,2.7035,0.1990
1.469000,2.6968,0.1992
1.470000,2.6901,0.1993
1.471000,2.6834,0.1994
1.472000,2.6766,0.1996
1.473000,2.6699,0.1997
1.474000,2.6632,0.1998
1.475000,2.6564,0.2000
1.476000,2.6496,0.2001
1.477000,2.6429,0.2002
1.478000,2.6361,0.2004
1.479000,2.6293,0.2005
1.480000,2.6225,0.2006
1.481000,2.6156,0.2008
1.482000,2.6088,0.2009
1.483000,2.6019,0.2010
1.484000,2.5951,0.2012
1.485000,2.5882,0.2013
1.486000,2.5813,0.2014
1.487000,2.5744,0.2016
1.488000,2.5675,0.2017
1.488000,3.2299,0.1931
1.489000,3.2247,0.1932
1.490000,3.2194,0.1933
1.491000,3.2142,0.1934
