t,pos_err_mm,yaw_err_deg
0.251000,1.241968,0.000409
0.252000,1.247572,0.000417
0.253000,1.253181,0.000394
0.254000,1.258792,0.000367
0.255000,1.264400,0.000356
0.256000,1.270001,0.000349
0.257000,1.275597,0.000341
0.258000,1.281189,0.000338
0.259000,1.286782,0.000340
0.260000,1.292375,0.000331
0.261000,1.297966,0.000336
0.262000,1.303555,0.000371
0.263000,1.309141,0.000403
0.264000,1.314724,0.000431
0.265000,1.320302,0.000459
0.266000,1.325878,0.000499
0.267000,1.331454,0.000523
0.268000,1.337027,0.000543
0.269000,1.342594,0.000555
0.270000,1.348155,0.000554
0.271000,1.353713,0.000562
0.272000,1.359267,0.000569
0.273000,1.364815,0.000595
0.274000,1.370359,0.000625
0.275000,1.375896,0.000638
0.276000,1.381428,0.000630
0.277000,1.386956,0.000626
0.278000,1.392483,0.000631
0.279000,1.398013,0.000628
0.280000,1.403546,0.000625
0.281000,1.409084,0.000632
0.282000,1.414626,0.000648
0.283000,1.420175,0.000653
0.284000,1.425735,0.000654
0.285000,1.431306,0.000654
0.286000,1.436892,0.000630
0.287000,1.442489,0.000613
0.288000,1.448100,0.000612
0.289000,1.453727,0.000615
0.290000,1.459370,0.000631
0.291000,1.465025,0.000642
0.292000,1.470691,0.000648
0.293000,1.476365,0.000653
0.293000,0.483652,0.001352
0.294000,0.485340,0.001358
0.295000,0.487036,0.001381
0.296000,0.488740,0.001388
0.297000,0.490453,0.001375
0.298000,0.492173,0.001380
0.299000,0.493898,0.001381
0.300000,0.495625,0.001384
0.301000,0.497357,0.001397
0.302000,0.499098,0.001412
0.303000,0.500846,0.001449
0.304000,0.502605,0.001466
0.305000,0.504376,0.001482
0.306000,0.506163,0.001496
0.307000,0.507967,0.001488
0.308000,0.509784,0.001482
0.309000,0.511612,0.001488
0.310000,0.513448,0.001495
0.311000,0.515289,0.001500
0.312000,0.517132,0.001511
0.313000,0.518974,0.001495
0.314000,0.520813,0.001502
0.315000,0.522645,0.001522
0.316000,0.524468,0.001543
0.317000,0.526279,0.001579
0.317000,0.469035,0.003758
0.318000,0.470791,0.003789
0.319000,0.472534,0.003822
0.320000,0.474265,0.003869
0.321000,0.475984,0.003901
0.322000,0.477694,0.003930
0.323000,0.479395,0.003960
0.324000,0.481085,0.003986
0.325000,0.482760,0.004006
0.326000,0.484419,0.004037
0.327000,0.486067,0.004062
0.328000,0.487703,0.004093
0.328000,0.268237,0.003091
0.329000,0.268697,0.003112
0.330000,0.269146,0.003136
0.331000,0.269588,0.003170
0.332000,0.270025,0.003187
0.333000,0.270459,0.003187
0.334000,0.270892,0.003213
0.335000,0.271326,0.003245
0.336000,0.271764,0.003274
0.337000,0.272209,0.003285
0.338000,0.272663,0.003308
0.339000,0.273125,0.003326
0.340000,0.273595,0.003353
0.341000,0.274071,0.003356
0.342000,0.274550,0.003383
0.343000,0.275031,0.003405
0.344000,0.275516,0.003427
0.345000,0.276004,0.003432
0.346000,0.276495,0.003457
0.347000,0.276991,0.003481
0.348000,0.277491,0.003501
0.349000,0.277999,0.003538
0.350000,0.278513,0.003563
0.351000,0.279026,0.003576
0.352000,0.279538,0.003551
0.353000,0.280052,0.003531
0.354000,0.280570,0.003511
0.355000,0.281096,0.003504
0.356000,0.281630,0.003495
0.357000,0.282175,0.003504
0.358000,0.282730,0.003525
0.359000,0.283298,0.003540
0.360000,0.283879,0.003539
0.361000,0.284470,0.003528
0.362000,0.285068,0.003484
0.363000,0.285672,0.003424
0.363000,0.319929,0.001000
0.364000,0.320618,0.000964
0.365000,0.321314,0.000932
0.366000,0.322019,0.000917
0.367000,0.322734,0.000934
0.368000,0.323461,0.000958
0.369000,0.324200,0.000973
0.370000,0.324952,0.001014
0.371000,0.325719,0.001057
0.372000,0.326503,0.001078
0.373000,0.327306,0.001067
0.374000,0.328129,0.001044
0.375000,0.328965,0.001014
0.376000,0.329814,0.000979
0.377000,0.330671,0.000942
0.378000,0.331531,0.000901
0.379000,0.332392,0.000850
0.380000,0.333258,0.000791
0.381000,0.334127,0.000735
0.382000,0.335000,0.000711
0.383000,0.335877,0.000672
0.384000,0.336754,0.000633
0.385000,0.337630,0.000603
0.386000,0.338508,0.000592
0.387000,0.339388,0.000587
0.388000,0.340267,0.000584
0.388000,0.283978,0.000334
0.389000,0.284725,0.000353
0.390000,0.285467,0.000378
0.391000,0.286204,0.000415
0.392000,0.286936,0.000430
0.393000,0.287661,0.000441
0.394000,0.288380,0.000435
0.395000,0.289091,0.000438
0.396000,0.289793,0.000460
0.397000,0.290485,0.000485
0.398000,0.291167,0.000521
0.399000,0.291837,0.000559
0.400000,0.292497,0.000579
0.401000,0.293148,0.000595
0.402000,0.293789,0.000628
0.402000,0.274633,0.001904
0.403000,0.275236,0.001878
0.404000,0.275834,0.001863
0.405000,0.276422,0.001845
0.406000,0.276996,0.001832
0.407000,0.277556,0.001827
0.408000,0.278103,0.001837
0.409000,0.278639,0.001821
0.410000,0.279166,0.001765
0.411000,0.279686,0.001715
0.412000,0.280195,0.001682
0.413000,0.280692,0.001664
0.414000,0.281179,0.001654
0.415000,0.281654,0.001651
0.416000,0.282114,0.001644
0.417000,0.282561,0.001663
0.418000,0.283001,0.001690
0.419000,0.283437,0.001731
0.420000,0.283868,0.001764
0.421000,0.284291,0.001772
0.422000,0.284706,0.001768
0.423000,0.285114,0.001780
0.424000,0.285518,0.001786
0.425000,0.285916,0.001800
0.426000,0.286308,0.001817
0.427000,0.286688,0.001842
0.428000,0.287054,0.001860
0.429000,0.287410,0.001860
0.430000,0.287760,0.001863
0.430000,0.188197,0.000071
0.431000,0.187924,0.000068
0.432000,0.187646,0.000062
0.433000,0.187367,0.000060
0.434000,0.187086,0.000073
0.435000,0.186803,0.000058
0.436000,0.186518,0.000065
0.437000,0.186233,0.000086
0.438000,0.185950,0.000118
0.439000,0.185665,0.000139
0.440000,0.185380,0.000129
0.441000,0.185096,0.000101
0.442000,0.184814,0.000086
0.443000,0.184531,0.000090
0.444000,0.184245,0.000129
0.445000,0.183953,0.000167
0.446000,0.183658,0.000173
0.447000,0.183362,0.000172
0.448000,0.183063,0.000175
0.449000,0.182765,0.000175
0.450000,0.182470,0.000178
0.451000,0.182174,0.000161
0.452000,0.181873,0.000168
0.453000,0.181564,0.000172
0.454000,0.181248,0.000150
0.455000,0.180927,0.000119
0.456000,0.180602,0.000099
0.457000,0.180272,0.000063
0.458000,0.179938,0.000065
0.459000,0.179600,0.000076
0.460000,0.179257,0.000106
0.461000,0.178909,0.000131
0.462000,0.178559,0.000173
0.463000,0.178215,0.000204
0.464000,0.177882,0.000245
0.465000,0.177560,0.000251
0.466000,0.177249,0.000257
0.467000,0.176948,0.000247
0.468000,0.176649,0.000230
0.469000,0.176354,0.000235
0.470000,0.176064,0.000248
0.471000,0.175781,0.000244
0.472000,0.175501,0.000236
0.473000,0.175222,0.000206
0.474000,0.174942,0.000174
0.475000,0.174663,0.000152
0.476000,0.174382,0.000133
0.477000,0.174100,0.000117
0.478000,0.173819,0.000098
0.479000,0.173538,0.000078
0.480000,0.173256,0.000054
0.481000,0.172976,0.000031
0.482000,0.172694,0.000006
0.482000,0.184968,0.003875
0.482000,0.154139,0.001401
0.483000,0.154028,0.001415
0.484000,0.153935,0.001415
0.485000,0.153861,0.001423
0.486000,0.153805,0.001413
0.487000,0.153765,0.001406
0.488000,0.153740,0.001378
0.489000,0.153727,0.001370
0.490000,0.153728,0.001358
0.491000,0.153742,0.001348
0.492000,0.153768,0.001348
0.493000,0.153808,0.001362
0.494000,0.153862,0.001357
0.495000,0.153925,0.001341
0.496000,0.153994,0.001328
0.497000,0.154067,0.001310
0.498000,0.154144,0.001283
0.499000,0.154221,0.001238
0.500000,0.154301,0.001233
0.501000,0.154382,0.001218
0.502000,0.154466,0.001203
0.503000,0.154548,0.001210
0.504000,0.154630,0.001228
0.504000,0.311230,0.009137
0.505000,0.312362,0.009139
0.506000,0.313492,0.009135
0.507000,0.314614,0.009139
0.508000,0.315721,0.009129
0.509000,0.316815,0.009110
0.510000,0.317899,0.009072
0.511000,0.318976,0.009031
0.512000,0.320049,0.009006
0.513000,0.321125,0.008990
0.514000,0.322201,0.008963
0.515000,0.323274,0.008926
0.516000,0.324347,0.008894
0.517000,0.325420,0.008868
0.518000,0.326493,0.008835
0.519000,0.327564,0.008800
0.520000,0.328627,0.008775
0.521000,0.329680,0.008755
0.522000,0.330727,0.008765
0.523000,0.331769,0.008785
0.524000,0.332807,0.008803
0.525000,0.333837,0.008823
0.526000,0.334857,0.008857
0.527000,0.335870,0.008910
0.528000,0.336876,0.008948
0.528000,0.173527,0.008116
0.529000,0.173593,0.008137
0.530000,0.173664,0.008168
0.531000,0.173741,0.008197
0.532000,0.173826,0.008209
0.533000,0.173922,0.008234
0.534000,0.174027,0.008247
0.535000,0.174141,0.008260
0.536000,0.174265,0.008297
0.537000,0.174402,0.008330
0.538000,0.174556,0.008357
0.539000,0.174724,0.008368
0.540000,0.174902,0.008390
0.541000,0.175089,0.008388
0.542000,0.175284,0.008393
0.543000,0.175487,0.008395
0.544000,0.175702,0.008379
0.545000,0.175929,0.008357
0.546000,0.176167,0.008342
0.547000,0.176419,0.008328
0.548000,0.176686,0.008322
0.549000,0.176973,0.008309
0.550000,0.177282,0.008301
0.551000,0.177608,0.008285
0.552000,0.177946,0.008294
0.553000,0.178291,0.008318
0.554000,0.178639,0.008345
0.555000,0.178986,0.008382
0.555000,0.324608,0.011727
0.556000,0.325512,0.011777
0.557000,0.326412,0.011817
0.558000,0.327313,0.011857
0.559000,0.328214,0.011880
0.560000,0.329114,0.011895
0.561000,0.330016,0.011910
0.562000,0.330922,0.011937
0.563000,0.331831,0.011962
0.564000,0.332743,0.011987
0.565000,0.333660,0.012009
0.566000,0.334578,0.012040
0.567000,0.335495,0.012073
0.568000,0.336414,0.012115
0.569000,0.337337,0.012161
0.570000,0.338262,0.012210
0.571000,0.339184,0.012257
0.572000,0.340103,0.012309
0.573000,0.341020,0.012377
0.574000,0.341931,0.012472
0.575000,0.342841,0.012559
0.576000,0.343749,0.012628
0.577000,0.344651,0.012703
0.578000,0.345546,0.012777
0.579000,0.346431,0.012830
0.579000,0.256764,0.008496
0.580000,0.257035,0.008528
0.581000,0.257300,0.008531
0.582000,0.257560,0.008538
0.583000,0.257814,0.008555
0.584000,0.258063,0.008592
0.585000,0.258305,0.008616
0.586000,0.258541,0.008622
0.587000,0.258776,0.008654
0.588000,0.259009,0.008677
0.589000,0.259240,0.008713
0.590000,0.259467,0.008730
0.591000,0.259687,0.008751
0.592000,0.259904,0.008784
0.593000,0.260119,0.008796
0.594000,0.260335,0.008811
0.595000,0.260550,0.008831
0.596000,0.260766,0.008866
0.597000,0.260982,0.008901
0.598000,0.261199,0.008959
0.599000,0.261416,0.009001
0.600000,0.261631,0.009044
0.601000,0.261841,0.009090
0.602000,0.262047,0.009129
0.603000,0.262252,0.009187
0.604000,0.262450,0.009223
0.605000,0.262640,0.009254
0.606000,0.262820,0.009286
0.607000,0.262992,0.009319
0.608000,0.263153,0.009348
0.608000,0.466644,0.016063
0.609000,0.468253,0.016076
0.610000,0.469856,0.016093
0.611000,0.471452,0.016083
0.612000,0.473045,0.016085
0.613000,0.474633,0.016085
0.614000,0.476220,0.016079
0.615000,0.477808,0.016087
0.616000,0.479398,0.016077
0.617000,0.480990,0.016048
0.618000,0.482584,0.015999
0.619000,0.484181,0.015950
0.620000,0.485781,0.015928
0.621000,0.487382,0.015926
0.622000,0.488984,0.015926
0.623000,0.490586,0.015913
0.624000,0.492195,0.015931
0.625000,0.493811,0.015954
0.626000,0.495437,0.015956
0.627000,0.497077,0.015951
0.628000,0.498727,0.015966
0.629000,0.500381,0.015991
0.629000,0.383530,0.011214
0.630000,0.385098,0.011233
0.631000,0.386669,0.011238
0.632000,0.388243,0.011217
0.633000,0.389823,0.011206
0.634000,0.391406,0.011205
0.635000,0.392992,0.011222
0.636000,0.394582,0.011233
0.637000,0.396178,0.011270
0.638000,0.397780,0.011343
0.639000,0.399389,0.011424
0.640000,0.401004,0.011486
0.641000,0.402629,0.011564
0.642000,0.404267,0.011625
0.643000,0.405912,0.011675
0.644000,0.407564,0.011688
0.645000,0.409223,0.011704
0.646000,0.410893,0.011712
0.647000,0.412572,0.011740
0.648000,0.414260,0.011747
0.649000,0.415957,0.011769
0.650000,0.417662,0.011786
0.651000,0.419375,0.011796
0.652000,0.421100,0.011809
0.653000,0.422832,0.011827
0.654000,0.424567,0.011834
0.655000,0.426304,0.011824
0.656000,0.428044,0.011826
0.656000,0.317666,0.010497
0.657000,0.319114,0.010485
0.658000,0.320571,0.010471
0.659000,0.322036,0.010466
0.660000,0.323506,0.010465
0.661000,0.324980,0.010471
0.662000,0.326461,0.010484
0.663000,0.327949,0.010499
0.664000,0.329440,0.010512
0.665000,0.330934,0.010512
0.666000,0.332423,0.010500
0.667000,0.333910,0.010484
0.668000,0.335398,0.010456
0.669000,0.336893,0.010423
0.670000,0.338398,0.010408
0.671000,0.339917,0.010399
0.672000,0.341449,0.010384
0.673000,0.342993,0.010402
0.674000,0.344547,0.010445
0.675000,0.346107,0.010502
0.676000,0.347680,0.010558
0.677000,0.349265,0.010591
0.678000,0.350860,0.010630
0.678000,0.234708,0.006292
0.679000,0.236991,0.006313
0.680000,0.239280,0.006329
0.681000,0.241572,0.006351
0.682000,0.243860,0.006389
0.683000,0.246145,0.006413
0.684000,0.248429,0.006440
0.685000,0.250713,0.006442
0.686000,0.252998,0.006450
0.687000,0.255282,0.006474
0.688000,0.257562,0.006445
0.689000,0.259844,0.006392
0.690000,0.262128,0.006330
0.691000,0.264411,0.006286
0.692000,0.266693,0.006258
0.693000,0.268975,0.006228
0.694000,0.271257,0.006227
0.695000,0.273543,0.006233
0.696000,0.275832,0.006218
0.697000,0.278126,0.006223
0.698000,0.280428,0.006237
0.699000,0.282738,0.006235
0.700000,0.285056,0.006247
0.701000,0.287384,0.006254
0.702000,0.289720,0.006274
0.703000,0.292063,0.006293
0.704000,0.294413,0.006339
0.704000,0.246289,0.002730
0.705000,0.248612,0.002759
0.706000,0.250939,0.002754
0.707000,0.253266,0.002746
0.708000,0.255586,0.002745
0.709000,0.257900,0.002747
0.710000,0.260213,0.002765
0.711000,0.262529,0.002773
0.712000,0.264844,0.002771
0.713000,0.267159,0.002779
0.714000,0.269476,0.002775
0.715000,0.271798,0.002780
0.716000,0.274123,0.002800
0.717000,0.276447,0.002818
0.718000,0.278773,0.002809
0.719000,0.281105,0.002822
0.720000,0.283441,0.002860
0.721000,0.285776,0.002920
0.722000,0.288116,0.002961
0.723000,0.290463,0.002976
0.724000,0.292817,0.002971
0.725000,0.295177,0.002953
0.726000,0.297545,0.002951
0.727000,0.299923,0.002937
0.728000,0.302313,0.002924
0.729000,0.304718,0.002873
0.730000,0.307135,0.002815
0.731000,0.309563,0.002783
0.732000,0.312003,0.002760
0.733000,0.314451,0.002716
0.734000,0.316906,0.002703
0.735000,0.319366,0.002693
0.736000,0.321830,0.002662
0.737000,0.324296,0.002629
0.738000,0.326766,0.002593
0.739000,0.329239,0.002551
0.740000,0.331716,0.002538
0.741000,0.334197,0.002530
0.742000,0.336685,0.002519
0.743000,0.339186,0.002515
0.743000,0.066058,0.007278
0.744000,0.065444,0.007284
0.745000,0.064820,0.007323
0.746000,0.064189,0.007366
0.747000,0.063552,0.007412
0.748000,0.062913,0.007465
0.749000,0.062271,0.007511
0.750000,0.061624,0.007521
0.751000,0.060970,0.007539
0.752000,0.060309,0.007528
0.753000,0.059647,0.007525
0.754000,0.058986,0.007544
0.755000,0.058324,0.007543
0.756000,0.057666,0.007537
0.757000,0.057009,0.007530
0.757000,0.245467,0.012906
0.758000,0.246061,0.012954
0.759000,0.246655,0.013011
0.760000,0.247248,0.013060
0.761000,0.247840,0.013098
0.762000,0.248432,0.013133
0.763000,0.249021,0.013169
0.764000,0.249605,0.013174
0.765000,0.250181,0.013182
0.766000,0.250753,0.013190
0.767000,0.251324,0.013238
0.768000,0.251889,0.013288
0.769000,0.252445,0.013313
0.770000,0.252991,0.013337
0.771000,0.253528,0.013355
0.772000,0.254062,0.013392
0.773000,0.254594,0.013429
0.774000,0.255125,0.013451
0.775000,0.255657,0.013484
0.776000,0.256193,0.013503
0.777000,0.256733,0.013534
0.778000,0.257278,0.013568
0.779000,0.257828,0.013596
0.779000,0.117801,0.006859
0.780000,0.119359,0.006911
0.781000,0.120913,0.006949
0.782000,0.122465,0.006960
0.783000,0.124011,0.006986
0.784000,0.125551,0.007016
0.785000,0.127088,0.007032
0.786000,0.128623,0.007038
0.787000,0.130156,0.007045
0.788000,0.131687,0.007066
0.789000,0.133219,0.007085
0.790000,0.134753,0.007084
0.791000,0.136290,0.007094
0.792000,0.137832,0.007134
0.793000,0.139379,0.007171
0.794000,0.140929,0.007217
0.795000,0.142487,0.007276
0.796000,0.144053,0.007320
0.797000,0.145626,0.007359
0.798000,0.147207,0.007385
0.799000,0.148798,0.007396
0.800000,0.150399,0.007415
0.801000,0.152010,0.007418
0.802000,0.153630,0.007413
0.803000,0.155263,0.007410
0.804000,0.156907,0.007409
0.805000,0.158559,0.007413
0.806000,0.160218,0.007389
0.807000,0.161879,0.007374
0.808000,0.163538,0.007349
0.809000,0.165193,0.007329
0.810000,0.166847,0.007309
0.811000,0.168504,0.007282
0.812000,0.170169,0.007273
0.813000,0.171841,0.007251
0.813000,0.449503,0.001271
0.814000,0.452561,0.001249
0.815000,0.455627,0.001220
0.816000,0.458701,0.001216
0.817000,0.461779,0.001218
0.818000,0.464858,0.001242
0.819000,0.467932,0.001265
0.820000,0.471003,0.001261
0.821000,0.474070,0.001265
0.822000,0.477135,0.001268
0.823000,0.480201,0.001243
0.824000,0.483268,0.001203
0.825000,0.486338,0.001172
0.826000,0.489410,0.001137
0.827000,0.492479,0.001116
0.828000,0.495541,0.001098
0.829000,0.498599,0.001086
0.830000,0.501651,0.001075
0.831000,0.504701,0.001070
0.832000,0.507751,0.001069
0.833000,0.510801,0.001060
