t,pos_err_mm,yaw_err_deg
0.458000,16.3499,0.0004
0.458000,18.3435,0.0023
0.459000,18.3832,0.0023
0.459000,22.5038,0.0074
0.459000,16.3483,0.0068
0.459000,14.0685,0.0080
0.460000,14.0986,0.0080
0.461000,14.1287,0.0080
0.462000,14.1588,0.0080
0.463000,14.1888,0.0080
0.464000,14.2189,0.0079
0.464000,11.1267,0.0101
0.465000,11.1499,0.0101
0.466000,11.1731,0.0101
0.467000,11.1963,0.0102
0.468000,11.2195,0.0102
0.468000,8.0706,0.0113
0.469000,8.0868,0.0113
0.470000,8.1029,0.0113
0.471000,8.1191,0.0113
0.471000,7.7693,0.0222
0.472000,7.7847,0.0222
0.473000,7.8000,0.0223
0.474000,7.8153,0.0223
0.475000,7.8306,0.0224
0.476000,7.8459,0.0225
0.476000,7.4818,0.0277
0.476000,7.1397,0.0455
0.477000,7.1534,0.0456
0.477000,5.9303,0.0450
0.478000,5.9412,0.0451
0.479000,5.9521,0.0452
0.479000,5.7348,0.0485
0.480000,5.7451,0.0486
0.481000,5.7554,0.0487
0.482000,5.7658,0.0488
0.483000,5.7761,0.0489
0.484000,5.7864,0.0490
0.485000,5.7966,0.0491
0.486000,5.8069,0.0492
0.487000,5.8172,0.0493
0.488000,5.8275,0.0494
0.489000,5.8377,0.0494
0.490000,5.8480,0.0495
0.491000,5.8582,0.0496
0.492000,5.8685,0.0497
0.493000,5.8787,0.0498
0.494000,5.8889,0.0499
0.495000,5.8992,0.0499
0.496000,5.9094,0.0500
0.497000,5.9196,0.0501
0.498000,5.9299,0.0502
0.499000,5.9401,0.0502
0.500000,5.9503,0.0503
0.501000,5.9605,0.0504
0.502000,5.9708,0.0505
0.507000,6.0219,0.0509
0.508000,6.0321,0.0510
0.509000,6.0422,0.0510
0.510000,6.0524,0.0511
0.511000,6.0626,0.0511
0.512000,6.0728,0.0512
0.513000,6.0829,0.0513
0.514000,6.0931,0.0513
0.515000,6.1032,0.0514
0.516000,6.1134,0.0515
0.517000,6.1235,0.0515
0.518000,6.1337,0.0516
0.530000,6.1924,0.0596
0.531000,6.2024,0.0597
0.532000,6.2124,0.0598
0.533000,6.2224,0.0599
0.534000,6.2324,0.0600
0.535000,6.2424,0.0601
0.536000,6.2524,0.0603
0.537000,6.2624,0.0604
0.538000,6.2724,0.0605
0.552000,5.8885,0.0582
0.553000,5.8973,0.0583
0.554000,5.9061,0.0584
0.555000,5.9150,0.0585
0.556000,5.9238,0.0586
0.557000,5.9327,0.0587
0.558000,5.9415,0.0588
0.559000,5.9503,0.0589
0.560000,5.9592,0.0590
0.561000,5.9680,0.0591
0.562000,5.9768,0.0592
0.563000,5.9856,0.0593
0.564000,5.9944,0.0594
0.565000,6.0033,0.0595
0.566000,6.0121,0.0596
0.567000,6.0209,0.0597
0.568000,6.0297,0.0598
0.569000,6.0386,0.0599
0.570000,6.0474,0.0600
0.571000,6.0562,0.0601
0.572000,6.0651,0.0602
0.573000,6.0739,0.0603
0.574000,6.0827,0.0605
0.575000,6.0916,0.0606
0.576000,6.1004,0.0608
0.577000,6.1092,0.0609
0.577000,5.4993,0.0686
0.577000,5.0724,0.0632
0.578000,5.0788,0.0634
0.579000,5.0853,0.0635
0.580000,5.0917,0.0636
0.581000,5.0981,0.0637
0.582000,5.1045,0.0638
0.583000,5.1109,0.0639
0.584000,5.1173,0.0640
0.585000,5.1237,0.0641
0.586000,5.1300,0.0642
0.587000,5.1364,0.0643
0.588000,5.1428,0.0644
0.589000,5.1492,0.0645
0.590000,5.1556,0.0646
0.591000,5.1620,0.0647
0.592000,5.1684,0.0649
0.593000,5.1748,0.0650
0.594000,5.1811,0.0651
0.595000,5.1875,0.0652
0.596000,5.1939,0.0653
0.597000,5.2003,0.0654
0.598000,5.2066,0.0655
0.599000,5.2130,0.0656
0.600000,5.2193,0.0657
0.601000,5.2257,0.0659
0.602000,5.2320,0.0660
0.603000,5.2384,0.0661
0.604000,5.2447,0.0662
0.605000,5.2511,0.0663
0.606000,5.2574,0.0664
0.607000,5.2637,0.0666
0.608000,5.2700,0.0667
0.609000,5.2764,0.0668
0.610000,5.2827,0.0668
0.611000,5.2890,0.0669
0.612000,5.2953,0.0670
0.613000,5.3016,0.0671
0.614000,5.3079,0.0672
0.615000,5.3142,0.0673
0.616000,5.3206,0.0673
0.617000,5.3269,0.0674
0.618000,5.3332,0.0674
0.619000,5.3395,0.0675
0.620000,5.3458,0.0676
0.620000,5.7248,0.0911
0.621000,5.7320,0.0912
0.622000,5.7392,0.0913
0.623000,5.7464,0.0914
0.624000,5.7536,0.0915
0.625000,5.7608,0.0917
0.626000,5.7680,0.0918
0.627000,5.7752,0.0919
0.628000,5.7824,0.0920
0.629000,5.7897,0.0922
0.630000,5.7969,0.0923
0.631000,5.8041,0.0924
0.632000,5.8113,0.0926
0.633000,5.8185,0.0927
0.634000,5.8256,0.0928
0.635000,5.8328,0.0929
0.636000,5.8400,0.0931
0.637000,5.8472,0.0932
0.642000,5.6147,0.0864
0.643000,5.6213,0.0865
0.644000,5.6278,0.0866
0.645000,5.6343,0.0868
0.646000,5.6409,0.0869
0.647000,5.6474,0.0870
0.648000,5.6540,0.0871
0.649000,5.6605,0.0873
0.650000,5.6671,0.0874
0.651000,5.6736,0.0875
0.652000,5.6802,0.0876
0.653000,5.6867,0.0878
0.653000,5.6280,0.0990
0.654000,5.6343,0.0992
0.655000,5.6407,0.0993
0.656000,5.6471,0.0994
0.657000,5.6535,0.0995
0.658000,5.6599,0.0997
0.659000,5.6663,0.0998
0.660000,5.6727,0.0999
0.661000,5.6790,0.1001
0.662000,5.6854,0.1002
0.663000,5.6918,0.1003
0.664000,5.6981,0.1005
0.665000,5.7045,0.1006
0.666000,5.7108,0.1007
0.667000,5.7172,0.1008
0.668000,5.7235,0.1010
0.669000,5.7299,0.1011
0.670000,5.7362,0.1012
0.671000,5.7425,0.1013
0.672000,5.7489,0.1014
0.673000,5.7552,0.1016
0.674000,5.7615,0.1017
0.675000,5.7678,0.1019
0.676000,5.7742,0.1021
