t,along_track_mm,cross_track_mm,speed_mps
0.458000,16.3498,-0.0542,0.0353
0.458000,18.3434,-0.0647,0.0397
0.459000,18.3831,-0.0638,0.0397
0.459000,22.5037,-0.0488,0.0486
0.459000,16.3483,0.0106,0.0351
0.459000,14.0684,0.0615,0.0301
0.460000,14.0985,0.0619,0.0301
0.461000,14.1285,0.0618,0.0301
0.462000,14.1586,0.0604,0.0301
0.463000,14.1887,0.0576,0.0301
0.464000,14.2188,0.0549,0.0301
0.464000,11.1260,0.1313,0.0232
0.465000,11.1492,0.1281,0.0232
0.466000,11.1724,0.1252,0.0232
0.467000,11.1956,0.1230,0.0232
0.468000,11.2188,0.1230,0.0232
0.468000,8.0687,0.1758,0.0162
0.469000,8.0849,0.1750,0.0162
0.470000,8.1011,0.1742,0.0162
0.471000,8.1173,0.1735,0.0162
0.471000,7.7686,0.1026,0.0153
0.472000,7.7840,0.1027,0.0153
0.473000,7.7993,0.1038,0.0153
0.474000,7.8146,0.1047,0.0153
0.475000,7.8299,0.1055,0.0153
0.476000,7.8452,0.1071,0.0153
0.476000,7.4818,-0.0035,0.0145
0.476000,7.1397,-0.0107,0.0137
0.477000,7.1534,-0.0104,0.0137
0.477000,5.9303,0.0271,0.0109
0.478000,5.9412,0.0280,0.0109
0.479000,5.9520,0.0291,0.0109
0.479000,5.7337,0.1116,0.0103
0.480000,5.7440,0.1128,0.0103
0.481000,5.7543,0.1145,0.0103
0.482000,5.7646,0.1169,0.0103
0.483000,5.7748,0.1182,0.0103
0.484000,5.7851,0.1181,0.0103
0.485000,5.7954,0.1174,0.0103
0.486000,5.8058,0.1155,0.0103
0.487000,5.8161,0.1128,0.0103
0.488000,5.8264,0.1110,0.0103
0.489000,5.8367,0.1104,0.0103
0.490000,5.8470,0.1084,0.0103
0.491000,5.8572,0.1074,0.0103
0.492000,5.8675,0.1080,0.0102
0.493000,5.8777,0.1080,0.0102
0.494000,5.8880,0.1084,0.0102
0.495000,5.8982,0.1083,0.0102
0.496000,5.9084,0.1073,0.0102
0.497000,5.9187,0.1082,0.0102
0.498000,5.9289,0.1092,0.0102
0.499000,5.9391,0.1101,0.0102
0.500000,5.9493,0.1113,0.0102
0.501000,5.9595,0.1122,0.0102
0.502000,5.9697,0.1140,0.0102
0.503000,5.9799,0.1165,0.0102
0.504000,5.9900,0.1191,0.0102
0.505000,6.0002,0.1201,0.0102
0.506000,6.0104,0.1204,0.0102
0.507000,6.0206,0.1237,0.0102
0.508000,6.0307,0.1275,0.0102
0.509000,6.0409,0.1291,0.0102
0.510000,6.0510,0.1296,0.0102
0.511000,6.0612,0.1298,0.0102
0.512000,6.0714,0.1290,0.0102
0.513000,6.0816,0.1275,0.0102
0.514000,6.0917,0.1279,0.0102
0.515000,6.1019,0.1281,0.0102
0.516000,6.1120,0.1285,0.0101
0.517000,6.1222,0.1294,0.0101
0.518000,6.1323,0.1294,0.0101
0.519000,6.1424,0.1319,0.0101
0.519000,6.0819,0.0788,0.0100
0.520000,6.0919,0.0817,0.0100
0.521000,6.1018,0.0851,0.0100
0.522000,6.1118,0.0876,0.0100
0.523000,6.1218,0.0896,0.0100
0.524000,6.1318,0.0916,0.0100
0.525000,6.1417,0.0944,0.0100
0.526000,6.1517,0.0973,0.0100
0.527000,6.1616,0.0996,0.0100
0.528000,6.1716,0.1032,0.0100
0.529000,6.1815,0.1057,0.0100
0.530000,6.1915,0.1061,0.0100
0.531000,6.2015,0.1073,0.0100
0.532000,6.2115,0.1078,0.0100
0.533000,6.2215,0.1069,0.0100
0.534000,6.2315,0.1061,0.0100
0.535000,6.2415,0.1053,0.0100
0.536000,6.2515,0.1044,0.0100
0.537000,6.2616,0.1023,0.0100
0.538000,6.2716,0.1006,0.0100
0.539000,6.2816,0.0988,0.0100
0.540000,6.2917,0.0976,0.0100
0.541000,6.3017,0.0957,0.0100
0.542000,6.3117,0.0943,0.0100
0.543000,6.3217,0.0921,0.0100
0.544000,6.3318,0.0899,0.0100
0.545000,6.3418,0.0883,0.0100
0.546000,6.3518,0.0854,0.0100
0.547000,6.3619,0.0803,0.0100
0.548000,6.3719,0.0758,0.0100
0.549000,6.3820,0.0698,0.0100
0.550000,6.3920,0.0655,0.0100
0.551000,6.4021,0.0628,0.0100
0.552000,6.4121,0.0607,0.0100
0.552000,5.8771,0.3662,0.0089
0.553000,5.8859,0.3666,0.0089
0.554000,5.8946,0.3689,0.0089
0.555000,5.9033,0.3713,0.0089
0.556000,5.9120,0.3741,0.0089
0.557000,5.9208,0.3755,0.0089
0.558000,5.9296,0.3753,0.0088
0.559000,5.9384,0.3764,0.0088
0.560000,5.9472,0.3772,0.0088
0.561000,5.9560,0.3771,0.0088
0.562000,5.9649,0.3763,0.0088
0.563000,5.9738,0.3762,0.0088
0.564000,5.9827,0.3751,0.0088
0.565000,5.9916,0.3736,0.0088
0.566000,6.0004,0.3753,0.0088
0.567000,6.0092,0.3749,0.0088
0.568000,6.0182,0.3736,0.0088
0.569000,6.0271,0.3724,0.0088
0.570000,6.0359,0.3730,0.0088
0.571000,6.0447,0.3743,0.0089
0.572000,6.0535,0.3752,0.0089
0.573000,6.0622,0.3769,0.0089
0.574000,6.0709,0.3788,0.0089
0.575000,6.0797,0.3796,0.0088
0.576000,6.0884,0.3822,0.0088
0.577000,6.0971,0.3849,0.0088
0.577000,5.4992,0.0345,0.0074
0.577000,5.0724,-0.0285,0.0064
0.578000,5.0788,-0.0258,0.0064
