t,pos_err_mm,yaw_err_deg
0.033000,0.9708,0.0096
0.034000,0.9975,0.0099
0.035000,1.0242,0.0102
0.036000,1.0511,0.0105
0.037000,1.0779,0.0108
0.038000,1.1049,0.0111
0.039000,1.1318,0.0114
0.040000,1.1589,0.0117
0.041000,1.1859,0.0120
0.042000,1.2131,0.0123
0.043000,1.2403,0.0126
0.044000,1.2675,0.0129
0.045000,1.2948,0.0132
0.046000,1.3222,0.0135
0.047000,1.3496,0.0138
0.048000,1.3770,0.0141
0.049000,1.4046,0.0143
0.050000,1.4321,0.0146
0.051000,1.4598,0.0149
0.052000,1.4874,0.0152
0.053000,1.5151,0.0154
0.054000,1.5429,0.0157
0.055000,1.5708,0.0160
0.056000,1.5986,0.0163
0.057000,1.6266,0.0166
0.058000,1.6546,0.0169
0.059000,1.6826,0.0172
0.059000,4.8587,0.0170
0.060000,4.9387,0.0173
0.061000,5.0187,0.0176
0.062000,5.0988,0.0179
0.063000,5.1789,0.0182
0.064000,5.2591,0.0185
0.065000,5.3393,0.0188
0.066000,5.4196,0.0191
0.067000,5.4999,0.0194
0.068000,5.5803,0.0197
0.069000,5.6608,0.0200
0.070000,5.7413,0.0203
0.071000,5.8218,0.0206
0.072000,5.9024,0.0209
0.073000,5.9831,0.0211
0.074000,6.0638,0.0214
0.075000,6.1446,0.0217
0.076000,6.2254,0.0220
0.077000,6.3063,0.0222
0.078000,6.3872,0.0225
0.079000,6.4683,0.0228
0.080000,6.5493,0.0230
0.081000,6.6304,0.0233
0.082000,6.7116,0.0236
0.083000,6.7929,0.0239
0.083000,4.4909,0.0230
0.084000,4.5444,0.0233
0.085000,4.5980,0.0236
0.086000,4.6516,0.0239
0.087000,4.7053,0.0242
0.088000,4.7590,0.0245
0.089000,4.8128,0.0248
0.090000,4.8666,0.0251
0.091000,4.9205,0.0254
0.092000,4.9744,0.0256
0.093000,5.0284,0.0259
0.094000,5.0825,0.0262
0.095000,5.1366,0.0265
0.096000,5.1907,0.0268
0.097000,5.2449,0.0271
0.098000,5.2992,0.0273
0.099000,5.3535,0.0276
0.100000,5.4079,0.0279
0.101000,5.4624,0.0282
0.102000,5.5168,0.0284
0.103000,5.5714,0.0287
0.104000,5.6260,0.0289
0.105000,5.6807,0.0292
0.106000,5.7354,0.0295
0.107000,5.7902,0.0297
0.108000,5.8450,0.0300
0.109000,5.8999,0.0302
0.110000,5.9548,0.0305
0.111000,6.0098,0.0307
0.112000,6.0649,0.0310
0.112000,3.8983,0.0299
0.113000,3.9336,0.0301
0.114000,3.9689,0.0304
0.115000,4.0043,0.0307
0.116000,4.0398,0.0310
0.117000,4.0753,0.0312
0.118000,4.1108,0.0315
0.119000,4.1464,0.0318
0.120000,4.1821,0.0321
0.126000,4.3972,0.0338
0.127000,4.4332,0.0341
0.128000,4.4693,0.0345
0.129000,4.5054,0.0348
0.130000,4.5416,0.0351
0.131000,4.5778,0.0354
0.132000,4.6141,0.0357
0.133000,4.6504,0.0360
0.134000,4.6867,0.0363
0.135000,4.7231,0.0366
0.136000,4.7596,0.0369
0.148000,5.2007,0.0403
0.152000,5.3494,0.0414
0.153000,5.3866,0.0416
0.154000,5.4240,0.0419
0.155000,5.4613,0.0421
0.156000,5.4988,0.0424
0.157000,5.5362,0.0426
0.158000,5.5737,0.0429
0.159000,5.6113,0.0431
0.160000,5.6489,0.0433
0.161000,5.6866,0.0436
0.162000,5.7243,0.0439
0.163000,5.7621,0.0442
0.164000,5.7999,0.0444
0.165000,5.8378,0.0447
0.166000,5.8757,0.0450
0.167000,5.9136,0.0453
0.168000,5.9516,0.0456
0.169000,5.9897,0.0459
0.170000,6.0278,0.0462
0.171000,6.0660,0.0465
0.172000,6.1042,0.0468
0.173000,6.1425,0.0471
0.174000,6.1808,0.0474
0.175000,6.2191,0.0476
0.176000,6.2576,0.0479
0.177000,6.2960,0.0482
0.178000,6.3346,0.0485
0.179000,6.3731,0.0488
0.180000,6.4118,0.0491
0.180000,4.9675,0.0479
0.181000,4.9978,0.0482
0.182000,5.0282,0.0485
0.183000,5.0586,0.0487
0.184000,5.0891,0.0490
0.185000,5.1196,0.0492
0.186000,5.1502,0.0495
0.187000,5.1809,0.0498
0.188000,5.2116,0.0501
0.189000,5.2423,0.0504
0.190000,5.2731,0.0506
0.191000,5.3040,0.0509
0.192000,5.3349,0.0512
0.193000,5.3658,0.0515
0.194000,5.3968,0.0518
0.195000,5.4279,0.0520
0.196000,5.4590,0.0523
0.197000,5.4901,0.0526
0.198000,5.5213,0.0529
0.199000,5.5526,0.0532
0.200000,5.5839,0.0534
0.201000,5.6153,0.0537
0.202000,5.6467,0.0540
0.203000,5.6781,0.0542
0.204000,5.7097,0.0545
0.205000,5.7412,0.0548
0.206000,5.7728,0.0551
0.207000,5.8045,0.0553
0.208000,5.8363,0.0556
0.209000,5.8681,0.0559
0.210000,5.8999,0.0561
0.211000,5.9318,0.0563
0.212000,5.9637,0.0566
0.213000,5.9958,0.0568
0.214000,6.0278,0.0571
0.215000,6.0599,0.0573
0.215000,4.0463,0.0562
0.216000,4.0689,0.0564
0.217000,4.0915,0.0567
0.218000,4.1141,0.0569
0.219000,4.1368,0.0572
0.220000,4.1595,0.0574
0.221000,4.1823,0.0577
0.222000,4.2052,0.0580
0.227000,4.3202,0.0592
0.228000,4.3434,0.0595
0.229000,4.3667,0.0598
0.230000,4.3900,0.0600
0.231000,4.4133,0.0603
0.232000,4.4367,0.0606
0.233000,4.4602,0.0609
0.234000,4.4837,0.0612
0.235000,4.5072,0.0614
0.236000,4.5308,0.0617
0.237000,4.5545,0.0620
0.238000,4.5782,0.0622
0.239000,4.6020,0.0625
0.240000,4.6258,0.0628
0.241000,4.6497,0.0631
0.242000,4.6736,0.0634
0.243000,4.6976,0.0636
0.244000,4.7216,0.0639
0.245000,4.7457,0.0642
0.246000,4.7698,0.0644
0.247000,4.7940,0.0647
0.248000,4.8182,0.0649
0.249000,4.8425,0.0652
0.250000,4.8669,0.0654
0.253000,4.9402,0.0662
0.254000,4.9648,0.0665
0.255000,4.9894,0.0667
0.256000,5.0140,0.0670
0.257000,5.0387,0.0673
0.258000,5.0634,0.0676
0.259000,5.0882,0.0678
0.260000,5.1131,0.0681
0.261000,5.1379,0.0684
0.262000,5.1629,0.0686
0.263000,5.1879,0.0689
0.264000,5.2129,0.0691
0.265000,5.2380,0.0694
0.266000,5.2631,0.0696
0.267000,5.2883,0.0699
0.268000,5.3135,0.0701
0.269000,5.3388,0.0704
0.270000,5.3641,0.0706
0.271000,5.3895,0.0709
0.272000,5.4150,0.0711
0.273000,5.4405,0.0714
0.274000,5.4660,0.0717
0.275000,5.4917,0.0719
0.276000,5.5173,0.0722
0.277000,5.5431,0.0724
0.277000,5.5927,0.0646
0.277000,4.3695,0.0596
0.278000,4.3898,0.0598
0.279000,4.4102,0.0601
0.280000,4.4307,0.0603
0.281000,4.4512,0.0606
0.282000,4.4717,0.0608
0.283000,4.4923,0.0610
0.284000,4.5129,0.0612
0.285000,4.5336,0.0615
0.286000,4.5543,0.0617
0.287000,4.5751,0.0619
0.288000,4.5959,0.0622
0.289000,4.6168,0.0624
0.290000,4.6377,0.0626
0.291000,4.6587,0.0628
0.292000,4.6797,0.0631
0.293000,4.7008,0.0633
0.294000,4.7219,0.0635
0.295000,4.7430,0.0637
0.296000,4.7642,0.0640
0.297000,4.7855,0.0642
0.298000,4.8068,0.0644
0.299000,4.8281,0.0646
0.300000,4.8495,0.0649
0.301000,4.8709,0.0651
0.302000,4.8924,0.0654
0.303000,4.9140,0.0656
0.303000,4.8433,0.0629
0.304000,4.8650,0.0632
0.305000,4.8869,0.0634
0.306000,4.9087,0.0637
0.307000,4.9307,0.0639
0.308000,4.9526,0.0642
0.309000,4.9747,0.0644
0.310000,4.9968,0.0647
0.311000,5.0189,0.0649
0.312000,5.0411,0.0652
0.313000,5.0633,0.0654
0.314000,5.0857,0.0656
0.315000,5.1080,0.0659
0.316000,5.1304,0.0661
0.317000,5.1529,0.0663
0.318000,5.1754,0.0665
0.319000,5.1980,0.0667
0.320000,5.2206,0.0669
0.321000,5.2433,0.0671
0.322000,5.2661,0.0673
0.323000,5.2888,0.0675
0.324000,5.3117,0.0677
0.325000,5.3346,0.0679
0.326000,5.3575,0.0681
0.327000,5.3805,0.0683
0.328000,5.4036,0.0685
0.329000,5.4267,0.0687
0.330000,5.4498,0.0689
0.331000,5.4731,0.0692
0.332000,5.4963,0.0694
0.333000,5.5196,0.0696
0.334000,5.5430,0.0698
0.335000,5.5664,0.0700
0.336000,5.5899,0.0702
0.337000,5.6134,0.0704
0.338000,5.6369,0.0707
0.339000,5.6606,0.0709
0.340000,5.6842,0.0711
0.341000,5.7080,0.0713
0.342000,5.7317,0.0715
0.343000,5.7556,0.0717
0.344000,5.7795,0.0720
0.345000,5.8034,0.0722
0.346000,5.8274,0.0724
0.347000,5.8515,0.0726
0.348000,5.8756,0.0728
0.349000,5.8997,0.0730
0.350000,5.9240,0.0732
0.351000,5.9483,0.0734
0.352000,5.9726,0.0736
0.353000,5.9970,0.0738
0.354000,6.0214,0.0741
0.355000,6.0459,0.0743
0.356000,6.0705,0.0745
0.357000,6.0951,0.0747
0.358000,6.1198,0.0749
0.359000,6.1446,0.0752
0.360000,6.1694,0.0754
0.361000,6.1942,0.0756
0.362000,6.2191,0.0758
0.363000,6.2441,0.0760
0.364000,6.2691,0.0762
0.365000,6.2942,0.0764
0.366000,6.3193,0.0766
0.367000,6.3445,0.0768
0.367000,5.1337,0.0690
0.367000,4.7964,0.0667
0.368000,4.8178,0.0669
0.369000,4.8393,0.0670
0.370000,4.8609,0.0672
0.371000,4.8825,0.0674
0.372000,4.9042,0.0676
0.373000,4.9260,0.0677
0.374000,4.9477,0.0679
0.375000,4.9696,0.0681
0.376000,4.9915,0.0683
0.377000,5.0135,0.0685
0.378000,5.0355,0.0687
0.379000,5.0575,0.0689
0.380000,5.0797,0.0691
0.381000,5.1018,0.0693
0.382000,5.1241,0.0696
0.383000,5.1464,0.0698
0.383000,5.6650,0.0467
0.384000,5.6885,0.0468
0.385000,5.7120,0.0470
0.386000,5.7356,0.0471
0.387000,5.7592,0.0473
0.388000,5.7829,0.0474
0.389000,5.8067,0.0475
0.390000,5.8305,0.0477
0.391000,5.8543,0.0478
0.392000,5.8782,0.0479
0.393000,5.9022,0.0481
0.394000,5.9262,0.0482
0.395000,5.9503,0.0483
0.396000,5.9745,0.0484
0.397000,5.9987,0.0486
0.398000,6.0229,0.0487
0.399000,6.0472,0.0489
0.400000,6.0716,0.0490
0.401000,6.0960,0.0492
0.402000,6.1204,0.0493
0.403000,6.1450,0.0495
0.404000,6.1695,0.0496
0.404000,5.6605,0.0554
0.405000,5.6839,0.0556
0.406000,5.7075,0.0557
0.407000,5.7311,0.0559
0.408000,5.7548,0.0560
0.409000,5.7785,0.0562
0.410000,5.8022,0.0564
0.411000,5.8261,0.0565
0.412000,5.8499,0.0567
0.413000,5.8739,0.0568
0.414000,5.8979,0.0570
0.415000,5.9219,0.0572
0.416000,5.9460,0.0573
0.417000,5.9702,0.0574
0.418000,5.9944,0.0576
0.419000,6.0186,0.0577
0.420000,6.0430,0.0579
0.421000,6.0673,0.0580
0.422000,6.0918,0.0582
0.423000,6.1162,0.0583
0.424000,6.1408,0.0584
0.425000,6.1654,0.0586
0.426000,6.1900,0.0587
0.427000,6.2147,0.0589
0.428000,6.2395,0.0591
0.429000,6.2643,0.0592
0.430000,6.2891,0.0594
0.431000,6.3140,0.0596
0.432000,6.3390,0.0597
0.433000,6.3640,0.0599
0.434000,6.3891,0.0600
0.435000,6.4142,0.0601
0.436000,6.4394,0.0603
0.437000,6.4646,0.0604
0.438000,6.4899,0.0605
0.439000,6.5153,0.0606
0.440000,6.5407,0.0608
0.441000,6.5661,0.0610
0.441000,5.9521,0.0608
0.442000,5.9759,0.0610
0.443000,5.9997,0.0611
0.444000,6.0237,0.0612
0.445000,6.0477,0.0614
0.446000,6.0717,0.0616
0.447000,6.0958,0.0617
0.448000,6.1200,0.0619
0.449000,6.1442,0.0620
0.450000,6.1685,0.0622
0.451000,6.1928,0.0623
0.452000,6.2172,0.0625
0.453000,6.2417,0.0626
0.454000,6.2662,0.0628
0.455000,6.2908,0.0629
0.456000,6.3154,0.0631
0.457000,6.3401,0.0632
0.458000,6.3648,0.0634
0.459000,6.3896,0.0635
0.460000,6.4145,0.0637
0.461000,6.4394,0.0638
0.462000,6.4643,0.0639
0.463000,6.4894,0.0641
0.464000,6.5144,0.0642
0.465000,6.5395,0.0644
0.466000,6.5647,0.0645
0.467000,6.5899,0.0646
0.468000,6.6152,0.0648
0.469000,6.6406,0.0649
0.470000,6.6660,0.0650
0.471000,6.6914,0.0651
0.472000,6.7170,0.0653
0.472000,6.1842,0.0543
0.473000,6.2081,0.0544
0.474000,6.2321,0.0546
0.475000,6.2562,0.0547
0.476000,6.2803,0.0548
0.477000,6.3044,0.0549
0.478000,6.3287,0.0551
0.479000,6.3530,0.0552
0.480000,6.3773,0.0553
0.481000,6.4017,0.0555
0.482000,6.4262,0.0556
0.483000,6.4508,0.0557
0.484000,6.4754,0.0559
0.485000,6.5000,0.0560
0.486000,6.5248,0.0561
0.486000,5.8184,0.0446
0.487000,5.8408,0.0447
0.488000,5.8633,0.0448
0.489000,5.8858,0.0449
0.490000,5.9084,0.0450
0.496000,6.0452,0.0457
0.497000,6.0682,0.0459
0.498000,6.0912,0.0460
0.499000,6.1143,0.0461
0.500000,6.1375,0.0462
0.501000,6.1645,0.0463
0.502000,6.1913,0.0464
0.503000,6.2180,0.0465
0.504000,6.2444,0.0467
0.505000,6.2705,0.0468
0.506000,6.2962,0.0469
0.507000,6.3215,0.0470
0.508000,6.3463,0.0471
0.509000,6.3707,0.0472
0.510000,6.3946,0.0473
0.511000,6.4246,0.0474
0.512000,6.4541,0.0475
0.513000,6.4830,0.0477
0.514000,6.5114,0.0478
0.514000,6.0273,0.0417
0.515000,6.0532,0.0418
0.516000,6.0785,0.0419
0.517000,6.1032,0.0420
0.518000,6.1274,0.0421
0.519000,6.1510,0.0422
0.520000,6.1741,0.0423
0.521000,6.2025,0.0424
0.522000,6.2304,0.0425
0.523000,6.2577,0.0426
0.524000,6.2845,0.0427
0.525000,6.3108,0.0427
0.526000,6.3365,0.0428
0.527000,6.3617,0.0429
0.528000,6.3863,0.0430
0.529000,6.4105,0.0431
0.530000,6.4341,0.0431
0.531000,6.4622,0.0432
