t,pos_err_mm,yaw_err_deg
0.052000,0.014194,0.000943
0.053000,0.014471,0.001005
0.053000,0.441178,0.001171
0.054000,0.449085,0.001249
0.055000,0.456991,0.001314
0.056000,0.464893,0.001360
0.057000,0.472787,0.001416
0.058000,0.480674,0.001455
0.059000,0.488557,0.001504
0.060000,0.496433,0.001535
0.061000,0.504305,0.001565
0.062000,0.512173,0.001601
0.063000,0.520041,0.001635
0.064000,0.527914,0.001641
0.065000,0.535793,0.001657
0.066000,0.543678,0.001677
0.067000,0.551566,0.001683
0.068000,0.559457,0.001685
0.069000,0.567351,0.001678
0.070000,0.575245,0.001672
0.071000,0.583140,0.001674
0.072000,0.591038,0.001670
0.073000,0.598939,0.001637
0.074000,0.606842,0.001594
0.075000,0.614749,0.001556
0.076000,0.622663,0.001529
0.077000,0.630586,0.001505
0.078000,0.638519,0.001478
0.079000,0.646461,0.001468
0.080000,0.654410,0.001468
0.081000,0.662367,0.001505
0.082000,0.670330,0.001532
0.083000,0.678297,0.001548
0.084000,0.686271,0.001558
0.085000,0.694253,0.001557
0.086000,0.702242,0.001551
0.087000,0.710240,0.001571
0.088000,0.718246,0.001570
0.089000,0.726258,0.001558
0.090000,0.734276,0.001527
0.091000,0.742294,0.001499
0.092000,0.750311,0.001469
0.093000,0.758325,0.001453
0.094000,0.766338,0.001429
0.095000,0.774355,0.001399
0.096000,0.782376,0.001387
0.097000,0.790403,0.001391
0.098000,0.798436,0.001411
0.099000,0.806475,0.001411
0.100000,0.814515,0.001428
0.101000,0.822557,0.001459
0.102000,0.830599,0.001493
0.103000,0.838641,0.001524
0.104000,0.846683,0.001580
0.104000,0.546159,0.001230
0.105000,0.551374,0.001293
0.105000,0.546046,0.001672
0.106000,0.551179,0.001719
0.107000,0.556311,0.001727
0.108000,0.561448,0.001729
0.109000,0.566588,0.001766
0.110000,0.571726,0.001788
0.111000,0.576860,0.001810
0.112000,0.581990,0.001818
0.113000,0.587121,0.001816
0.114000,0.592248,0.001821
0.115000,0.597367,0.001805
0.116000,0.602476,0.001780
0.117000,0.607573,0.001728
0.118000,0.612660,0.001684
0.119000,0.617738,0.001642
0.120000,0.622808,0.001612
0.121000,0.627871,0.001593
0.122000,0.632929,0.001585
0.123000,0.637983,0.001571
0.124000,0.643036,0.001539
0.125000,0.648092,0.001500
0.126000,0.653150,0.001448
0.127000,0.658213,0.001395
0.128000,0.663278,0.001334
0.129000,0.668342,0.001268
0.130000,0.673406,0.001205
0.131000,0.678474,0.001137
0.132000,0.683544,0.001090
0.133000,0.688614,0.001059
0.134000,0.693680,0.001017
0.135000,0.698740,0.000972
0.136000,0.703795,0.000911
0.137000,0.708847,0.000842
0.138000,0.713900,0.000765
0.139000,0.718959,0.000698
0.140000,0.724024,0.000657
0.140000,0.218288,0.000074
0.141000,0.219789,0.000030
0.142000,0.221298,0.000005
0.143000,0.222815,0.000026
0.144000,0.224340,0.000040
0.145000,0.225874,0.000059
0.146000,0.227414,0.000076
0.147000,0.228956,0.000082
0.148000,0.230495,0.000094
0.149000,0.232027,0.000101
0.150000,0.233553,0.000102
0.151000,0.235073,0.000106
0.152000,0.236589,0.000099
0.153000,0.238104,0.000095
0.154000,0.239623,0.000092
0.155000,0.241144,0.000079
0.156000,0.242666,0.000099
0.157000,0.244191,0.000090
0.158000,0.245720,0.000087
0.159000,0.247258,0.000072
0.160000,0.248810,0.000056
0.161000,0.250376,0.000031
0.162000,0.251954,0.000015
0.163000,0.253542,0.000008
0.164000,0.255140,0.000019
0.165000,0.256744,0.000024
0.166000,0.258352,0.000010
0.167000,0.259965,0.000013
0.168000,0.261587,0.000025
0.168000,0.206892,0.000184
0.169000,0.208159,0.000157
0.170000,0.209423,0.000119
0.171000,0.210685,0.000094
0.172000,0.211945,0.000060
0.173000,0.213200,0.000033
0.174000,0.214449,0.000002
0.175000,0.215696,0.000045
0.176000,0.216940,0.000091
0.177000,0.218183,0.000134
0.178000,0.219431,0.000178
0.179000,0.220686,0.000197
0.180000,0.221953,0.000213
0.181000,0.223234,0.000235
0.182000,0.224527,0.000250
0.183000,0.225825,0.000248
0.184000,0.227122,0.000281
0.185000,0.228419,0.000328
0.186000,0.229712,0.000371
0.187000,0.231002,0.000429
0.188000,0.232288,0.000467
0.189000,0.233570,0.000513
0.190000,0.234848,0.000565
0.191000,0.236123,0.000616
0.192000,0.237396,0.000664
0.193000,0.238668,0.000715
0.194000,0.239939,0.000768
0.195000,0.241208,0.000811
