t,pos_err_mm,yaw_err_deg
0.039000,0.010390,0.000726
0.040000,0.010659,0.000717
0.041000,0.010941,0.000708
0.042000,0.011238,0.000701
0.043000,0.011540,0.000683
0.044000,0.011845,0.000702
0.045000,0.012149,0.000714
0.046000,0.012452,0.000752
0.047000,0.012752,0.000780
0.048000,0.013050,0.000815
0.049000,0.013344,0.000849
0.050000,0.013632,0.000881
0.051000,0.013915,0.000908
0.052000,0.014194,0.000943
0.053000,0.014471,0.001005
0.054000,0.014748,0.001082
0.055000,0.015026,0.001146
0.056000,0.015299,0.001192
0.057000,0.015565,0.001248
0.058000,0.015824,0.001286
0.059000,0.016081,0.001334
0.060000,0.016333,0.001364
0.061000,0.016580,0.001394
0.062000,0.016821,0.001429
0.063000,0.017059,0.001463
0.064000,0.017298,0.001468
0.065000,0.017543,0.001484
0.066000,0.017795,0.001503
0.067000,0.018053,0.001509
0.068000,0.018315,0.001510
0.069000,0.018582,0.001502
0.070000,0.018852,0.001497
0.071000,0.019129,0.001497
0.072000,0.019412,0.001493
0.073000,0.019702,0.001459
0.074000,0.019997,0.001416
0.075000,0.020297,0.001377
0.076000,0.020602,0.001350
0.077000,0.020913,0.001325
0.078000,0.021231,0.001298
0.079000,0.021556,0.001287
0.080000,0.021885,0.001286
0.081000,0.022221,0.001323
0.082000,0.022561,0.001349
0.083000,0.022903,0.001365
0.084000,0.023246,0.001375
0.085000,0.023590,0.001372
0.086000,0.023936,0.001366
0.099000,0.028615,0.001219
0.100000,0.028994,0.001235
0.101000,0.029373,0.001266
0.102000,0.029753,0.001299
0.103000,0.030136,0.001330
0.104000,0.030522,0.001385
0.105000,0.030905,0.001447
0.106000,0.031284,0.001493
0.107000,0.031666,0.001500
0.108000,0.032055,0.001501
0.109000,0.032448,0.001537
0.110000,0.032840,0.001558
0.111000,0.033229,0.001580
0.112000,0.033618,0.001588
0.113000,0.034009,0.001584
0.114000,0.034400,0.001589
0.115000,0.034787,0.001572
0.116000,0.035166,0.001546
0.117000,0.035536,0.001493
0.118000,0.035898,0.001449
0.119000,0.036252,0.001406
0.120000,0.036602,0.001375
0.121000,0.036948,0.001355
0.122000,0.037293,0.001347
0.123000,0.037636,0.001332
0.124000,0.037983,0.001299
0.125000,0.038334,0.001259
0.126000,0.038689,0.001206
0.127000,0.039051,0.001153
0.128000,0.039417,0.001091
0.129000,0.039783,0.001024
0.130000,0.040152,0.000961
0.131000,0.040526,0.000892
0.132000,0.040904,0.000844
0.133000,0.041285,0.000812
0.134000,0.041664,0.000769
0.135000,0.042036,0.000723
0.136000,0.042405,0.000662
0.137000,0.042772,0.000592
0.138000,0.043142,0.000514
0.139000,0.043516,0.000446
0.140000,0.043897,0.000405
0.141000,0.044288,0.000361
0.142000,0.044687,0.000326
0.143000,0.045094,0.000304
0.144000,0.045510,0.000291
0.145000,0.045935,0.000271
0.146000,0.046366,0.000255
0.147000,0.046798,0.000249
0.148000,0.047227,0.000237
0.149000,0.047648,0.000230
0.150000,0.048062,0.000229
0.151000,0.048469,0.000224
0.152000,0.048869,0.000232
0.153000,0.049265,0.000236
0.153000,1.236754,0.000458
0.154000,1.244733,0.000462
0.154000,0.805233,0.000102
0.155000,0.810427,0.000115
0.155000,0.289441,0.000116
0.156000,0.291290,0.000137
0.157000,0.293142,0.000128
0.158000,0.294999,0.000125
0.159000,0.296864,0.000110
0.160000,0.298743,0.000094
0.161000,0.300635,0.000069
0.162000,0.302539,0.000053
0.163000,0.304451,0.000031
0.164000,0.306373,0.000019
0.165000,0.308300,0.000014
0.166000,0.310231,0.000029
0.167000,0.312168,0.000052
0.168000,0.314114,0.000064
0.169000,0.316067,0.000091
0.170000,0.318029,0.000129
0.171000,0.320004,0.000154
0.172000,0.321990,0.000188
0.173000,0.323980,0.000215
0.174000,0.325968,0.000250
0.175000,0.327955,0.000293
0.176000,0.329937,0.000338
0.177000,0.331916,0.000382
0.178000,0.333894,0.000425
0.179000,0.335869,0.000444
0.180000,0.337841,0.000461
0.181000,0.339814,0.000482
0.182000,0.341788,0.000498
0.183000,0.343761,0.000496
0.184000,0.345731,0.000529
0.185000,0.347695,0.000575
0.186000,0.349651,0.000619
0.187000,0.351596,0.000676
0.188000,0.353529,0.000714
0.189000,0.355450,0.000760
0.190000,0.357361,0.000813
0.191000,0.359268,0.000864
0.192000,0.361174,0.000911
0.193000,0.363077,0.000962
0.194000,0.364980,0.001015
0.195000,0.366883,0.001059
0.196000,0.368786,0.001094
0.197000,0.370693,0.001129
0.198000,0.372603,0.001147
0.199000,0.374518,0.001144
0.200000,0.376433,0.001160
0.201000,0.378345,0.001171
0.202000,0.380253,0.001177
0.203000,0.382161,0.001189
0.204000,0.384077,0.001216
0.205000,0.386001,0.001232
0.206000,0.387938,0.001269
0.207000,0.389887,0.001297
0.208000,0.391846,0.001333
0.209000,0.393812,0.001396
0.210000,0.395783,0.001431
0.211000,0.397756,0.001496
0.212000,0.399731,0.001541
0.213000,0.401708,0.001573
0.214000,0.403690,0.001593
0.215000,0.405677,0.001642
0.216000,0.407665,0.001696
0.217000,0.409655,0.001747
0.218000,0.411645,0.001787
0.219000,0.413635,0.001781
0.220000,0.415625,0.001810
0.221000,0.417614,0.001834
0.222000,0.419604,0.001861
0.223000,0.421596,0.001889
0.224000,0.423591,0.001903
0.225000,0.425586,0.001883
0.226000,0.427591,0.001851
0.227000,0.429610,0.001798
0.241000,0.458841,0.001387
0.242000,0.460994,0.001326
0.243000,0.463152,0.001288
0.244000,0.465318,0.001277
0.245000,0.467493,0.001261
0.246000,0.469679,0.001238
0.247000,0.471879,0.001235
0.248000,0.474092,0.001253
0.249000,0.476317,0.001260
0.250000,0.478551,0.001264
0.251000,0.480794,0.001273
0.252000,0.483044,0.001283
0.282000,0.551375,0.001596
0.283000,0.553635,0.001604
0.284000,0.555897,0.001608
0.285000,0.558163,0.001610
0.286000,0.560435,0.001589
0.287000,0.562712,0.001575
0.288000,0.564994,0.001576
0.289000,0.567283,0.001583
0.290000,0.569580,0.001601
0.291000,0.571884,0.001615
0.292000,0.574188,0.001623
0.293000,0.576491,0.001631
0.294000,0.578797,0.001634
0.295000,0.581107,0.001618
0.296000,0.583420,0.001620
0.297000,0.585737,0.001640
0.298000,0.588054,0.001644
0.299000,0.590366,0.001651
0.300000,0.592668,0.001656
0.301000,0.594961,0.001651
0.302000,0.597241,0.001644
0.303000,0.599512,0.001615
0.304000,0.601773,0.001606
0.305000,0.604030,0.001598
0.306000,0.606287,0.001592
0.307000,0.608548,0.001608
0.308000,0.610816,0.001622
0.309000,0.613087,0.001625
0.310000,0.615364,0.001625
0.311000,0.617645,0.001628
0.312000,0.619929,0.001625
0.313000,0.622221,0.001649
0.314000,0.624522,0.001650
0.315000,0.626830,0.001639
0.316000,0.629148,0.001625
0.317000,0.631475,0.001598
0.318000,0.633804,0.001580
0.319000,0.636129,0.001561
0.320000,0.638449,0.001529
0.321000,0.640765,0.001511
0.322000,0.643079,0.001496
0.323000,0.645391,0.001480
0.324000,0.647699,0.001468
0.325000,0.650000,0.001462
0.326000,0.652296,0.001445
0.327000,0.654587,0.001435
0.328000,0.656878,0.001418
0.329000,0.659171,0.001408
0.330000,0.661469,0.001395
0.331000,0.663770,0.001372
0.332000,0.666076,0.001367
0.333000,0.668383,0.001378
0.334000,0.670690,0.001363
0.335000,0.673002,0.001342
0.336000,0.675318,0.001324
0.337000,0.677642,0.001324
0.338000,0.679969,0.001313
0.339000,0.682299,0.001306
0.340000,0.684634,0.001290
0.341000,0.686976,0.001298
0.342000,0.689327,0.001282
0.343000,0.691683,0.001272
0.344000,0.694046,0.001261
0.345000,0.696420,0.001267
0.346000,0.698806,0.001253
0.347000,0.701206,0.001240
0.348000,0.703620,0.001232
0.349000,0.706050,0.001206
0.350000,0.708495,0.001192
0.351000,0.710951,0.001190
0.352000,0.713415,0.001227
0.353000,0.715889,0.001257
0.354000,0.718368,0.001289
0.355000,0.720856,0.001307
0.356000,0.723352,0.001328
0.357000,0.725856,0.001330
0.358000,0.728368,0.001320
0.358000,0.708118,0.000878
0.358000,0.149713,0.000870
0.359000,0.150624,0.000866
0.360000,0.151543,0.000878
0.361000,0.152469,0.000900
0.362000,0.153403,0.000955
0.363000,0.154342,0.001026
0.364000,0.155285,0.001067
0.364000,0.324112,0.001814
0.365000,0.324908,0.001852
