t,pos_err_mm,yaw_err_deg
0.096000,0.027501,0.001197
0.097000,0.027864,0.001200
0.097000,0.790403,0.001391
0.098000,0.798436,0.001411
0.098000,0.514863,0.001063
0.099000,0.520078,0.001062
0.101000,0.525490,0.001488
0.102000,0.530629,0.001506
0.103000,0.535767,0.001537
0.104000,0.540907,0.001571
0.105000,0.546047,0.001602
0.106000,0.551188,0.001658
0.107000,0.556326,0.001721
0.108000,0.561460,0.001768
0.126000,0.197465,0.000876
0.127000,0.198948,0.000882
0.128000,0.200438,0.000883
0.129000,0.201932,0.000920
0.130000,0.203423,0.000941
0.131000,0.204910,0.000962
0.132000,0.206396,0.000970
0.133000,0.207883,0.000967
0.134000,0.209367,0.000971
0.135000,0.210845,0.000955
0.136000,0.212314,0.000928
0.137000,0.213773,0.000875
0.138000,0.215222,0.000831
0.139000,0.216663,0.000788
0.140000,0.218097,0.000757
0.141000,0.219526,0.000737
0.142000,0.220951,0.000729
0.143000,0.222374,0.000714
0.144000,0.223798,0.000681
0.145000,0.225225,0.000641
0.146000,0.226655,0.000589
0.147000,0.228091,0.000535
0.148000,0.229531,0.000473
0.149000,0.230969,0.000406
0.150000,0.232410,0.000343
0.151000,0.233855,0.000274
0.152000,0.235302,0.000226
0.153000,0.236752,0.000194
0.154000,0.238198,0.000152
0.155000,0.239638,0.000106
0.156000,0.241073,0.000045
0.157000,0.242506,0.000026
0.158000,0.243941,0.000103
0.159000,0.245381,0.000172
0.160000,0.246828,0.000213
0.161000,0.248285,0.000256
0.162000,0.249751,0.000292
0.163000,0.251223,0.000313
0.164000,0.252705,0.000327
0.165000,0.254197,0.000346
0.166000,0.255694,0.000362
0.167000,0.257193,0.000369
0.168000,0.258690,0.000380
0.169000,0.260180,0.000387
0.170000,0.261663,0.000389
0.171000,0.263141,0.000393
0.172000,0.264614,0.000386
0.173000,0.266086,0.000381
0.174000,0.267562,0.000378
0.175000,0.269040,0.000365
0.176000,0.270518,0.000386
0.177000,0.272000,0.000377
0.178000,0.273486,0.000374
0.179000,0.274981,0.000359
0.180000,0.276490,0.000343
0.181000,0.278013,0.000317
0.182000,0.279549,0.000302
0.183000,0.281094,0.000279
0.184000,0.282648,0.000267
0.185000,0.284209,0.000262
0.186000,0.285775,0.000277
0.187000,0.287346,0.000300
0.188000,0.288925,0.000312
0.189000,0.290511,0.000338
0.190000,0.292106,0.000376
0.191000,0.293712,0.000401
0.284000,0.351606,0.001361
0.285000,0.352832,0.001363
0.286000,0.354051,0.001342
0.287000,0.355264,0.001328
0.288000,0.356471,0.001329
0.289000,0.357671,0.001336
0.290000,0.358864,0.001354
0.291000,0.360053,0.001368
0.292000,0.361234,0.001377
0.293000,0.362407,0.001385
0.294000,0.363577,0.001387
0.295000,0.364743,0.001371
0.296000,0.365905,0.001373
0.297000,0.367063,0.001394
0.298000,0.368215,0.001397
0.299000,0.369360,0.001404
0.300000,0.370499,0.001410
