t,pos_err_mm,yaw_err_deg
0.065000,0.017543,0.001484
0.066000,0.017795,0.001503
0.067000,0.018053,0.001509
0.067000,0.551566,0.001683
0.068000,0.559457,0.001685
0.069000,0.567351,0.001678
0.070000,0.575245,0.001672
0.071000,0.583140,0.001674
0.072000,0.591038,0.001670
0.073000,0.598939,0.001637
0.074000,0.606842,0.001594
0.075000,0.614749,0.001556
0.076000,0.622663,0.001529
0.077000,0.630586,0.001505
0.078000,0.638519,0.001478
0.079000,0.646461,0.001468
0.080000,0.654410,0.001468
0.081000,0.662367,0.001505
0.082000,0.670330,0.001532
0.083000,0.678297,0.001548
0.084000,0.686271,0.001558
0.085000,0.694253,0.001557
0.086000,0.702242,0.001551
0.087000,0.710240,0.001571
0.088000,0.718246,0.001570
0.089000,0.726258,0.001558
0.090000,0.734276,0.001527
0.091000,0.742294,0.001499
0.092000,0.750311,0.001469
0.093000,0.758325,0.001453
0.094000,0.766338,0.001429
0.095000,0.774354,0.001399
0.095000,0.499256,0.001051
0.096000,0.504451,0.001039
0.097000,0.509652,0.001043
0.098000,0.514861,0.001063
0.099000,0.520075,0.001062
0.100000,0.525290,0.001079
0.101000,0.530505,0.001110
0.102000,0.535721,0.001144
0.103000,0.540938,0.001175
0.104000,0.546157,0.001230
0.105000,0.551372,0.001293
0.106000,0.556583,0.001339
0.107000,0.561794,0.001346
0.108000,0.567012,0.001348
0.109000,0.572232,0.001385
0.110000,0.577450,0.001406
0.124000,0.649975,0.001151
0.125000,0.655123,0.001111
0.126000,0.660275,0.001060
0.127000,0.665432,0.001006
0.128000,0.670592,0.000945
0.129000,0.675751,0.000878
0.143000,0.748038,0.000163
0.146000,0.763650,0.000115
0.147000,0.768863,0.000109
0.148000,0.774073,0.000098
0.149000,0.779276,0.000091
0.150000,0.784473,0.000090
0.151000,0.789665,0.000086
0.152000,0.794852,0.000094
0.153000,0.800038,0.000099
0.154000,0.805229,0.000102
0.155000,0.810423,0.000115
0.156000,0.815618,0.000095
0.157000,0.820815,0.000104
0.158000,0.826017,0.000108
0.159000,0.831228,0.000123
0.159000,0.821011,0.000526
0.160000,0.826148,0.000542
0.161000,0.831299,0.000569
0.162000,0.836462,0.000585
0.163000,0.841636,0.000609
0.164000,0.846819,0.000621
0.165000,0.852010,0.000627
0.166000,0.857205,0.000613
0.167000,0.862405,0.000591
0.168000,0.867613,0.000580
0.169000,0.872827,0.000554
0.170000,0.878047,0.000517
0.171000,0.883276,0.000493
0.172000,0.888514,0.000459
0.173000,0.893753,0.000434
0.174000,0.898990,0.000399
0.175000,0.904224,0.000357
0.176000,0.909454,0.000313
0.177000,0.914681,0.000270
0.178000,0.919909,0.000228
0.179000,0.925136,0.000209
0.180000,0.930367,0.000194
0.181000,0.935601,0.000173
0.182000,0.940840,0.000159
0.183000,0.946081,0.000161
0.184000,0.951318,0.000130
0.185000,0.956551,0.000084
0.186000,0.961777,0.000041
0.187000,0.966993,0.000016
0.188000,0.972199,0.000052
0.189000,0.977394,0.000098
0.190000,0.982580,0.000149
0.191000,0.987762,0.000199
0.192000,0.992942,0.000246
0.193000,0.998120,0.000296
0.194000,1.003298,0.000348
0.195000,1.008475,0.000391
0.196000,1.013651,0.000425
0.197000,1.018830,0.000459
0.198000,1.024011,0.000477
0.199000,1.029195,0.000473
0.200000,1.034379,0.000488
0.200000,0.313575,0.001118
0.200000,0.247532,0.000913
0.201000,0.248788,0.000923
0.202000,0.250043,0.000929
