t,pos_err_mm,yaw_err_deg
0.028000,0.007868,0.000448
0.029000,0.008074,0.000485
0.030000,0.008287,0.000531
0.031000,0.008505,0.000589
0.032000,0.008729,0.000622
0.033000,0.008957,0.000650
0.034000,0.009185,0.000676
0.035000,0.009413,0.000701
0.036000,0.009646,0.000719
0.037000,0.009886,0.000737
0.038000,0.010133,0.000736
0.039000,0.010390,0.000726
0.040000,0.010659,0.000717
0.041000,0.010941,0.000708
0.042000,0.011238,0.000701
0.043000,0.011540,0.000683
0.044000,0.011845,0.000702
0.045000,0.012149,0.000714
0.046000,0.012452,0.000752
0.047000,0.012752,0.000780
0.048000,0.013050,0.000815
0.049000,0.013344,0.000849
0.050000,0.013632,0.000881
0.051000,0.013915,0.000908
0.052000,0.014194,0.000943
0.053000,0.014471,0.001005
0.054000,0.014748,0.001082
0.055000,0.015026,0.001146
0.056000,0.015299,0.001192
0.057000,0.015565,0.001248
0.058000,0.015824,0.001286
0.059000,0.016081,0.001334
0.060000,0.016333,0.001364
0.061000,0.016580,0.001394
0.062000,0.016821,0.001429
0.063000,0.017059,0.001463
0.064000,0.017298,0.001468
0.065000,0.017543,0.001484
0.066000,0.017795,0.001503
0.067000,0.018053,0.001509
0.068000,0.018315,0.001510
0.069000,0.018582,0.001502
0.070000,0.018852,0.001497
0.071000,0.019129,0.001497
0.072000,0.019412,0.001493
0.072000,0.591038,0.001670
0.073000,0.598939,0.001637
0.074000,0.606843,0.001594
0.075000,0.614749,0.001556
0.076000,0.622663,0.001529
0.077000,0.630586,0.001505
0.078000,0.638520,0.001478
0.079000,0.646461,0.001468
0.080000,0.654410,0.001468
0.081000,0.662367,0.001505
0.082000,0.670330,0.001532
0.083000,0.678297,0.001548
0.084000,0.686271,0.001558
0.085000,0.694253,0.001557
0.086000,0.702242,0.001551
0.086000,0.452522,0.001205
0.087000,0.457705,0.001225
0.088000,0.462894,0.001224
0.089000,0.468089,0.001212
0.090000,0.473289,0.001180
0.091000,0.478489,0.001152
0.092000,0.483684,0.001122
0.093000,0.488875,0.001105
0.094000,0.494065,0.001082
0.095000,0.499257,0.001051
0.096000,0.504452,0.001039
0.097000,0.509653,0.001043
0.098000,0.514862,0.001063
0.099000,0.520076,0.001062
0.100000,0.525291,0.001079
0.101000,0.530506,0.001110
0.102000,0.535722,0.001144
0.103000,0.540939,0.001175
0.104000,0.546157,0.001230
0.105000,0.551373,0.001293
0.106000,0.556584,0.001339
0.107000,0.561795,0.001346
0.108000,0.567012,0.001348
0.109000,0.572233,0.001385
0.110000,0.577451,0.001406
0.111000,0.582666,0.001428
0.112000,0.587878,0.001436
0.113000,0.593091,0.001433
0.114000,0.598302,0.001437
0.115000,0.603506,0.001422
0.115000,0.597393,0.001805
0.116000,0.602502,0.001780
0.117000,0.607600,0.001728
0.118000,0.612687,0.001684
0.119000,0.617765,0.001642
0.120000,0.622836,0.001612
0.121000,0.627899,0.001593
0.122000,0.632956,0.001585
0.123000,0.638011,0.001571
0.124000,0.643064,0.001539
0.125000,0.648120,0.001500
0.126000,0.653179,0.001448
0.127000,0.658242,0.001395
0.128000,0.663307,0.001334
0.129000,0.668371,0.001268
0.130000,0.673436,0.001205
0.131000,0.678504,0.001137
0.132000,0.683574,0.001090
0.133000,0.688644,0.001059
0.134000,0.693711,0.001017
0.135000,0.698771,0.000972
0.136000,0.703825,0.000911
0.137000,0.708878,0.000842
0.138000,0.713932,0.000765
0.139000,0.718990,0.000698
0.139000,0.216817,0.000115
0.140000,0.218309,0.000074
0.141000,0.219810,0.000030
0.142000,0.221319,0.000005
0.143000,0.222836,0.000026
0.144000,0.224361,0.000040
0.145000,0.225895,0.000059
0.146000,0.227436,0.000076
0.147000,0.228978,0.000082
0.148000,0.230517,0.000094
0.149000,0.232049,0.000101
0.150000,0.233575,0.000102
0.151000,0.235096,0.000106
0.152000,0.236612,0.000099
0.153000,0.238126,0.000095
0.154000,0.239645,0.000091
0.155000,0.241167,0.000079
0.156000,0.242689,0.000099
0.157000,0.244214,0.000090
0.158000,0.245743,0.000087
0.159000,0.247281,0.000072
0.160000,0.248833,0.000056
0.161000,0.250400,0.000031
0.162000,0.251978,0.000015
0.163000,0.253566,0.000008
