t,pos_err_mm,yaw_err_deg
0.034000,0.009185,0.000676
0.035000,0.009413,0.000701
0.036000,0.009646,0.000719
0.037000,0.009886,0.000737
0.038000,0.010133,0.000736
0.039000,0.010390,0.000726
0.040000,0.010659,0.000717
0.041000,0.010941,0.000708
0.042000,0.011238,0.000701
0.043000,0.011540,0.000683
0.044000,0.011845,0.000702
0.045000,0.012149,0.000714
0.046000,0.012452,0.000752
0.047000,0.012752,0.000780
0.048000,0.013050,0.000815
0.049000,0.013344,0.000849
0.050000,0.013632,0.000881
0.051000,0.013915,0.000908
0.052000,0.014194,0.000943
0.053000,0.014471,0.001005
0.053000,0.441178,0.001171
0.054000,0.449085,0.001249
0.055000,0.456991,0.001314
0.056000,0.464893,0.001360
0.057000,0.472787,0.001416
0.058000,0.480675,0.001455
0.059000,0.488557,0.001504
0.060000,0.496433,0.001535
0.061000,0.504305,0.001565
0.062000,0.512173,0.001601
0.063000,0.520041,0.001635
0.064000,0.527914,0.001641
0.065000,0.535794,0.001657
0.066000,0.543679,0.001677
0.067000,0.551567,0.001683
0.068000,0.559457,0.001685
0.069000,0.567351,0.001678
0.070000,0.575245,0.001672
0.071000,0.583140,0.001674
0.072000,0.591038,0.001670
0.073000,0.598939,0.001637
0.074000,0.606843,0.001594
0.075000,0.614749,0.001556
0.076000,0.622663,0.001529
0.077000,0.630586,0.001505
0.078000,0.638520,0.001478
0.079000,0.646461,0.001468
0.080000,0.654410,0.001468
0.081000,0.662367,0.001505
0.082000,0.670330,0.001532
0.083000,0.678297,0.001548
0.084000,0.686271,0.001558
0.085000,0.694253,0.001557
0.086000,0.702242,0.001551
0.087000,0.710241,0.001571
0.088000,0.718246,0.001570
0.089000,0.726259,0.001558
0.090000,0.734276,0.001527
0.091000,0.742295,0.001499
0.092000,0.750311,0.001469
0.093000,0.758325,0.001453
0.094000,0.766338,0.001429
0.095000,0.774355,0.001399
0.096000,0.782376,0.001387
0.097000,0.790403,0.001391
0.098000,0.798437,0.001411
0.099000,0.806475,0.001411
0.100000,0.814516,0.001428
0.100000,0.525291,0.001079
0.101000,0.530506,0.001110
0.102000,0.535722,0.001144
0.103000,0.540939,0.001175
0.104000,0.546157,0.001230
0.105000,0.551373,0.001293
0.106000,0.556584,0.001339
0.107000,0.561795,0.001346
0.108000,0.567012,0.001348
0.109000,0.572233,0.001385
0.110000,0.577451,0.001406
0.111000,0.582666,0.001428
0.112000,0.587878,0.001436
0.113000,0.593091,0.001433
0.114000,0.598302,0.001437
0.115000,0.603506,0.001422
0.116000,0.608701,0.001395
0.117000,0.613885,0.001343
0.118000,0.619059,0.001299
0.119000,0.624224,0.001257
0.120000,0.629383,0.001226
0.121000,0.634535,0.001206
0.122000,0.639684,0.001198
0.123000,0.644829,0.001184
0.124000,0.649975,0.001151
0.124000,0.643064,0.001539
0.125000,0.648120,0.001500
0.126000,0.653179,0.001448
0.127000,0.658242,0.001395
0.128000,0.663307,0.001334
0.129000,0.668371,0.001268
0.130000,0.673436,0.001205
0.131000,0.678504,0.001137
0.132000,0.683574,0.001090
0.133000,0.688644,0.001059
0.134000,0.693711,0.001017
0.135000,0.698771,0.000972
0.136000,0.703825,0.000911
0.137000,0.708878,0.000842
0.138000,0.713932,0.000765
0.139000,0.718990,0.000698
0.140000,0.724056,0.000657
0.141000,0.729131,0.000615
0.142000,0.734215,0.000580
0.143000,0.739305,0.000559
0.144000,0.744404,0.000547
0.145000,0.749512,0.000528
0.146000,0.754626,0.000512
0.147000,0.759743,0.000507
0.148000,0.764858,0.000496
0.149000,0.769965,0.000490
0.150000,0.775067,0.000489
0.151000,0.780165,0.000485
0.152000,0.785260,0.000494
0.153000,0.790355,0.000499
0.154000,0.795456,0.000503
0.155000,0.800561,0.000516
0.156000,0.805667,0.000496
0.157000,0.810776,0.000506
0.158000,0.815889,0.000510
0.159000,0.821012,0.000526
0.160000,0.826148,0.000543
0.161000,0.831300,0.000569
0.162000,0.836463,0.000585
0.163000,0.841637,0.000609
0.163000,0.253566,0.000008
0.164000,0.255164,0.000019
0.164000,0.201878,0.000229
0.165000,0.203135,0.000233
0.166000,0.204398,0.000219
0.167000,0.205662,0.000196
0.168000,0.206929,0.000184
0.169000,0.208196,0.000157
0.170000,0.209460,0.000119
0.171000,0.210723,0.000094
0.172000,0.211983,0.000060
0.173000,0.213237,0.000033
0.174000,0.214487,0.000002
0.175000,0.215734,0.000045
0.176000,0.216978,0.000091
0.177000,0.218222,0.000134
0.178000,0.219469,0.000178
0.179000,0.220725,0.000197
0.180000,0.221993,0.000213
0.181000,0.223274,0.000235
0.182000,0.224566,0.000250
0.183000,0.225865,0.000248
0.184000,0.227162,0.000281
0.185000,0.228459,0.000328
0.186000,0.229753,0.000371
0.187000,0.231043,0.000429
0.188000,0.232329,0.000467
0.189000,0.233611,0.000513
0.190000,0.234889,0.000565
0.191000,0.236165,0.000616
0.192000,0.237438,0.000664
0.193000,0.238710,0.000715
0.194000,0.239981,0.000768
0.195000,0.241250,0.000811
0.196000,0.242517,0.000846
0.197000,0.243782,0.000882
0.198000,0.245045,0.000900
0.199000,0.246306,0.000897
0.200000,0.247565,0.000913
0.201000,0.248821,0.000923
0.202000,0.250077,0.000929
0.203000,0.251336,0.000942
0.204000,0.252601,0.000968
0.205000,0.253872,0.000984
0.206000,0.255150,0.001022
0.207000,0.256436,0.001049
0.208000,0.257725,0.001086
0.209000,0.259014,0.001148
0.210000,0.260302,0.001183
0.211000,0.261586,0.001249
0.212000,0.262867,0.001294
0.213000,0.264147,0.001325
0.214000,0.265430,0.001346
0.215000,0.266717,0.001395
0.216000,0.268009,0.001449
0.217000,0.269303,0.001499
0.218000,0.270597,0.001539
0.219000,0.271888,0.001533
0.220000,0.273172,0.001563
0.221000,0.274447,0.001587
0.222000,0.275713,0.001614
0.223000,0.276972,0.001642
0.224000,0.278224,0.001656
0.225000,0.279469,0.001635
0.226000,0.280714,0.001604
0.226000,0.148121,0.001673
0.227000,0.148848,0.001619
0.227000,0.130313,0.001837
0.227000,0.284233,0.001263
