t,pos_err_mm,yaw_err_deg
0.192000,0.068190,0.000539
0.193000,0.068649,0.000590
0.193000,1.559820,0.000345
0.194000,1.567898,0.000398
0.194000,1.016604,0.000766
0.195000,1.021865,0.000809
0.195000,1.008431,0.000391
0.196000,1.013608,0.000425
0.196000,0.307186,0.001051
0.197000,0.308773,0.001087
0.197000,0.243728,0.000882
0.198000,0.244991,0.000900
0.198000,0.129021,0.000982
0.199000,0.129656,0.000979
0.201000,0.114531,0.001185
0.202000,0.115098,0.001202
0.203000,0.115665,0.001214
0.204000,0.116227,0.001221
0.205000,0.116786,0.001234
0.206000,0.117345,0.001261
0.207000,0.117908,0.001279
0.208000,0.118475,0.001317
0.209000,0.119046,0.001345
0.210000,0.119624,0.001383
0.211000,0.120208,0.001446
0.212000,0.120798,0.001482
0.213000,0.121396,0.001549
0.214000,0.121999,0.001595
0.215000,0.122605,0.001627
0.216000,0.123213,0.001649
0.217000,0.123820,0.001699
0.218000,0.124424,0.001754
0.219000,0.125027,0.001805
0.220000,0.125631,0.001846
0.221000,0.126239,0.001841
0.222000,0.126854,0.001871
0.223000,0.127477,0.001896
0.224000,0.128111,0.001925
0.225000,0.128757,0.001953
0.226000,0.129413,0.001968
0.227000,0.130077,0.001949
0.228000,0.130750,0.001918
0.229000,0.131433,0.001866
0.230000,0.132123,0.001837
0.231000,0.132822,0.001803
0.232000,0.133533,0.001769
0.233000,0.134255,0.001749
0.234000,0.134991,0.001733
0.235000,0.135743,0.001710
0.236000,0.136515,0.001689
0.237000,0.137303,0.001657
0.238000,0.138105,0.001659
0.239000,0.138919,0.001632
0.240000,0.139745,0.001603
0.239000,0.356931,0.000950
0.240000,0.358426,0.000893
0.241000,0.140582,0.001570
0.241000,0.359925,0.000845
0.242000,0.361429,0.000784
0.243000,0.362938,0.000746
0.244000,0.364454,0.000734
0.245000,0.365979,0.000717
0.246000,0.367508,0.000694
0.247000,0.369040,0.000690
0.248000,0.370573,0.000708
0.249000,0.372107,0.000715
0.250000,0.373641,0.000719
0.251000,0.375177,0.000727
0.252000,0.376714,0.000737
0.253000,0.378249,0.000715
0.254000,0.379780,0.000691
0.255000,0.381303,0.000682
0.255000,0.618444,0.001841
0.256000,0.621225,0.001855
0.257000,0.623997,0.001870
0.258000,0.626763,0.001881
0.259000,0.629526,0.001885
0.260000,0.632286,0.001901
0.261000,0.635042,0.001903
0.262000,0.637796,0.001875
