t,pos_err_mm,yaw_err_deg
0.065000,0.017543,0.001484
0.066000,0.017795,0.001503
0.067000,0.018053,0.001509
0.068000,0.018315,0.001510
0.069000,0.018582,0.001502
0.070000,0.018852,0.001497
0.071000,0.019129,0.001497
0.072000,0.019412,0.001493
0.073000,0.019702,0.001459
0.074000,0.019997,0.001416
0.075000,0.020297,0.001377
0.076000,0.020602,0.001350
0.077000,0.020913,0.001325
0.078000,0.021231,0.001298
0.079000,0.021556,0.001287
0.080000,0.021885,0.001286
0.081000,0.022221,0.001323
0.082000,0.022561,0.001349
0.083000,0.022903,0.001365
0.084000,0.023246,0.001375
0.085000,0.023590,0.001372
0.086000,0.023936,0.001366
0.087000,0.024284,0.001386
0.088000,0.024638,0.001384
0.089000,0.024997,0.001372
0.090000,0.025360,0.001340
0.090000,0.734276,0.001527
0.091000,0.742294,0.001499
0.092000,0.750311,0.001469
0.093000,0.758325,0.001453
0.094000,0.766338,0.001429
0.095000,0.774354,0.001399
0.096000,0.782376,0.001387
0.097000,0.790403,0.001391
0.098000,0.798436,0.001411
0.099000,0.806475,0.001411
0.100000,0.814515,0.001428
0.101000,0.822557,0.001459
0.102000,0.830599,0.001493
0.103000,0.838640,0.001524
0.104000,0.846683,0.001580
0.105000,0.854722,0.001642
0.106000,0.862755,0.001689
0.107000,0.870786,0.001696
0.108000,0.878820,0.001698
0.108000,0.567014,0.001348
0.109000,0.572235,0.001385
0.110000,0.577453,0.001406
0.114000,0.598304,0.001437
0.115000,0.603508,0.001422
0.116000,0.608703,0.001395
0.117000,0.613887,0.001343
0.118000,0.619060,0.001299
0.119000,0.624226,0.001257
0.120000,0.629385,0.001226
0.121000,0.634537,0.001206
0.122000,0.639685,0.001198
0.123000,0.644831,0.001184
0.124000,0.649977,0.001151
0.125000,0.655126,0.001111
0.126000,0.660278,0.001060
0.127000,0.665435,0.001006
0.128000,0.670595,0.000945
0.129000,0.675754,0.000878
0.130000,0.680914,0.000815
0.131000,0.686077,0.000747
0.132000,0.691244,0.000699
0.133000,0.696411,0.000667
0.134000,0.701574,0.000625
0.134000,0.693741,0.001017
0.135000,0.698801,0.000972
0.136000,0.703856,0.000911
0.137000,0.708908,0.000842
0.138000,0.713962,0.000765
0.139000,0.719021,0.000698
0.140000,0.724087,0.000657
0.141000,0.729162,0.000615
0.142000,0.734246,0.000580
0.143000,0.739337,0.000559
0.144000,0.744436,0.000547
0.145000,0.749544,0.000528
0.146000,0.754659,0.000512
0.147000,0.759776,0.000507
0.148000,0.764891,0.000496
0.149000,0.769999,0.000490
0.150000,0.775101,0.000489
0.151000,0.780199,0.000485
0.152000,0.785294,0.000494
0.153000,0.790389,0.000499
0.154000,0.795491,0.000503
0.155000,0.800596,0.000516
0.156000,0.805702,0.000496
0.157000,0.810811,0.000506
0.158000,0.815924,0.000510
0.159000,0.821047,0.000526
0.160000,0.826184,0.000542
0.161000,0.831336,0.000569
0.162000,0.836499,0.000585
0.163000,0.841673,0.000609
0.164000,0.846856,0.000621
0.165000,0.852047,0.000627
0.166000,0.857242,0.000613
0.167000,0.862443,0.000591
0.168000,0.867651,0.000580
0.169000,0.872865,0.000554
0.170000,0.878085,0.000517
0.171000,0.883315,0.000493
0.172000,0.888553,0.000459
0.173000,0.893793,0.000434
0.174000,0.899029,0.000399
0.175000,0.904263,0.000357
0.176000,0.909494,0.000313
0.177000,0.914721,0.000270
0.178000,0.919949,0.000228
0.179000,0.925177,0.000209
