t,pos_err_mm,yaw_err_deg
0.056000,1.5986,0.0163
0.056000,4.6201,0.0161
0.057000,4.6999,0.0164
0.058000,4.7798,0.0167
0.059000,4.8597,0.0170
0.060000,4.9397,0.0173
0.061000,5.0197,0.0176
0.062000,5.0998,0.0179
0.063000,5.1799,0.0182
0.064000,5.2601,0.0185
0.065000,5.3404,0.0188
0.066000,5.4207,0.0191
0.067000,5.5010,0.0194
0.068000,5.5814,0.0197
0.069000,5.6619,0.0200
0.070000,5.7424,0.0203
0.071000,5.8230,0.0206
0.072000,5.9036,0.0209
0.073000,5.9843,0.0211
0.074000,6.0650,0.0214
0.075000,6.1458,0.0217
0.076000,6.2267,0.0220
0.077000,6.3076,0.0222
0.078000,6.3885,0.0225
0.079000,6.4696,0.0228
0.080000,6.5506,0.0230
0.081000,6.6318,0.0233
0.082000,6.7130,0.0236
0.083000,6.7942,0.0239
0.084000,6.8755,0.0242
0.085000,6.9569,0.0245
0.086000,7.0383,0.0248
0.087000,7.1198,0.0251
0.088000,7.2014,0.0254
0.089000,7.2830,0.0257
0.090000,7.3646,0.0260
0.091000,7.4464,0.0263
0.092000,7.5282,0.0266
0.092000,4.9752,0.0256
0.093000,5.0292,0.0259
0.094000,5.0832,0.0262
0.095000,5.1373,0.0265
0.096000,5.1915,0.0268
0.097000,5.2457,0.0271
0.098000,5.3000,0.0273
0.099000,5.3543,0.0276
0.100000,5.4087,0.0279
0.101000,5.4631,0.0282
0.102000,5.5176,0.0284
0.103000,5.5722,0.0287
0.104000,5.6268,0.0289
0.105000,5.6815,0.0292
0.106000,5.7362,0.0295
0.107000,5.7910,0.0297
0.108000,5.8458,0.0300
0.109000,5.9007,0.0302
0.110000,5.9557,0.0305
0.111000,6.0107,0.0307
0.112000,6.0657,0.0310
0.113000,6.1208,0.0312
0.114000,6.1760,0.0315
0.115000,6.2312,0.0318
0.116000,6.2865,0.0321
0.117000,6.3419,0.0323
0.118000,6.3973,0.0326
0.119000,6.4527,0.0329
0.120000,6.5082,0.0332
0.121000,6.5638,0.0335
0.122000,6.6195,0.0338
0.123000,6.6752,0.0341
0.124000,6.7309,0.0344
0.138000,7.5171,0.0387
0.144000,7.8572,0.0404
0.144000,5.0534,0.0392
0.145000,5.0903,0.0395
0.146000,5.1272,0.0397
0.147000,5.1642,0.0400
0.148000,5.2012,0.0403
0.149000,5.2383,0.0406
0.149000,3.9480,0.0395
0.150000,3.9764,0.0398
0.151000,4.0048,0.0401
0.152000,4.0332,0.0403
0.153000,4.0617,0.0406
0.154000,4.0903,0.0408
0.155000,4.1189,0.0411
0.155000,5.0737,0.0418
0.156000,5.1090,0.0420
0.157000,5.1443,0.0423
0.158000,5.1797,0.0425
0.159000,5.2151,0.0428
0.160000,5.2506,0.0430
0.161000,5.2862,0.0432
0.162000,5.3218,0.0435
0.163000,5.3574,0.0438
0.164000,5.3931,0.0441
0.165000,5.4289,0.0444
0.166000,5.4647,0.0447
0.167000,5.5005,0.0449
0.168000,5.5364,0.0453
0.169000,5.5724,0.0456
0.170000,5.6084,0.0458
0.171000,5.6445,0.0461
0.172000,5.6807,0.0464
0.173000,5.7168,0.0467
0.174000,5.7531,0.0470
0.175000,5.7894,0.0473
0.176000,5.8258,0.0476
0.177000,5.8622,0.0478
0.178000,5.8987,0.0481
0.179000,5.9352,0.0484
0.180000,5.9718,0.0487
0.181000,6.0084,0.0489
0.182000,6.0451,0.0492
0.183000,6.0819,0.0495
0.184000,6.1187,0.0497
0.185000,6.1556,0.0500
0.186000,6.1925,0.0503
0.187000,6.2295,0.0506
0.188000,6.2665,0.0508
0.189000,6.3036,0.0511
0.190000,6.3408,0.0514
0.191000,6.3780,0.0517
0.191000,5.1242,0.0487
0.192000,5.1545,0.0489
0.193000,5.1848,0.0492
0.194000,5.2152,0.0495
0.195000,5.2456,0.0498
0.196000,5.2761,0.0500
0.197000,5.3067,0.0503
0.198000,5.3373,0.0506
0.199000,5.3680,0.0508
0.200000,5.3987,0.0511
0.201000,5.4295,0.0514
0.202000,5.4603,0.0516
0.203000,5.4912,0.0519
0.204000,5.5221,0.0522
0.205000,5.5531,0.0524
0.205000,4.1553,0.0506
0.206000,4.1791,0.0509
0.207000,4.2029,0.0512
0.208000,4.2268,0.0514
0.209000,4.2508,0.0517
0.210000,4.2749,0.0519
0.211000,4.2990,0.0521
0.212000,4.3231,0.0523
0.213000,4.3473,0.0526
0.214000,4.3716,0.0528
0.215000,4.3959,0.0530
0.216000,4.4203,0.0533
0.217000,4.4447,0.0535
0.218000,4.4692,0.0538
0.219000,4.4938,0.0540
0.220000,4.5184,0.0542
0.221000,4.5431,0.0545
0.222000,4.5678,0.0548
0.227000,4.6922,0.0560
0.228000,4.7172,0.0562
0.229000,4.7424,0.0565
0.230000,4.7675,0.0567
0.231000,4.7928,0.0570
0.232000,4.8181,0.0573
0.233000,4.8434,0.0576
0.234000,4.8688,0.0578
0.235000,4.8943,0.0581
0.236000,4.9198,0.0583
0.237000,4.9453,0.0586
0.238000,4.9710,0.0589
0.239000,4.9966,0.0591
0.240000,5.0224,0.0594
0.241000,5.0481,0.0597
0.242000,5.0740,0.0599
0.243000,5.0999,0.0602
0.244000,5.1258,0.0605
0.261000,5.5751,0.0647
0.262000,5.6020,0.0650
0.263000,5.6289,0.0652
0.264000,5.6559,0.0655
0.265000,5.6830,0.0657
0.266000,5.7101,0.0660
0.266000,6.2268,0.0598
0.267000,6.2555,0.0600
0.268000,6.2841,0.0602
0.269000,6.3129,0.0604
0.270000,6.3416,0.0606
0.271000,6.3705,0.0609
0.272000,6.3993,0.0611
0.273000,6.4283,0.0613
0.274000,6.4573,0.0616
0.275000,6.4863,0.0618
0.276000,6.5154,0.0620
0.277000,6.5445,0.0622
0.278000,6.5737,0.0625
0.279000,6.6030,0.0627
0.280000,6.6323,0.0630
0.281000,6.6616,0.0632
0.282000,6.6910,0.0634
0.283000,6.7204,0.0637
0.284000,6.7499,0.0639
0.285000,6.7795,0.0641
0.286000,6.8091,0.0644
0.287000,6.8387,0.0646
0.288000,6.8684,0.0649
0.289000,6.8981,0.0651
0.290000,6.9279,0.0653
0.291000,6.9577,0.0656
0.292000,6.9876,0.0658
0.292000,5.6703,0.0607
0.293000,5.6952,0.0610
0.294000,5.7201,0.0612
0.295000,5.7451,0.0614
0.296000,5.7701,0.0616
0.297000,5.7951,0.0618
0.298000,5.8202,0.0621
0.299000,5.8454,0.0623
0.300000,5.8706,0.0625
0.301000,5.8959,0.0628
0.302000,5.9212,0.0630
0.303000,5.9465,0.0632
0.304000,5.9719,0.0635
0.305000,5.9974,0.0637
0.306000,6.0229,0.0640
0.307000,6.0485,0.0643
0.308000,6.0741,0.0645
0.308000,5.7202,0.0618
0.309000,5.7448,0.0621
0.310000,5.7693,0.0623
0.311000,5.7940,0.0626
0.312000,5.8187,0.0628
0.313000,5.8434,0.0630
0.314000,5.8682,0.0632
0.315000,5.8930,0.0634
0.316000,5.9179,0.0637
0.317000,5.9429,0.0639
0.318000,5.9679,0.0641
0.319000,5.9930,0.0643
0.320000,6.0181,0.0645
0.321000,6.0433,0.0647
0.322000,6.0685,0.0649
0.323000,6.0938,0.0651
0.324000,6.1191,0.0653
0.325000,6.1445,0.0655
0.326000,6.1699,0.0656
0.327000,6.1954,0.0658
0.328000,6.2209,0.0660
0.329000,6.2465,0.0662
0.330000,6.2721,0.0664
0.331000,6.2978,0.0666
0.332000,6.3236,0.0669
