t,pos_err_mm,yaw_err_deg
0.333000,1.761757,0.001307
0.334000,1.810869,0.001296
0.335000,1.859981,0.001279
0.336000,1.909091,0.001265
0.337000,1.958194,0.001270
0.338000,2.007289,0.001262
0.339000,2.056377,0.001260
0.340000,2.105457,0.001248
0.341000,2.154533,0.001259
0.342000,2.203608,0.001247
0.343000,2.252682,0.001241
0.344000,2.301755,0.001234
0.345000,2.350827,0.001244
0.346000,2.399898,0.001234
0.347000,2.448969,0.001225
0.348000,2.498039,0.001221
0.349000,2.547105,0.001198
0.350000,2.596171,0.001188
0.351000,2.645239,0.001190
0.352000,2.694311,0.001231
0.353000,2.743384,0.001265
0.354000,2.792454,0.001301
0.355000,2.841519,0.001322
0.355000,7.377513,0.003491
0.356000,7.507704,0.003524
0.357000,7.637888,0.003538
0.358000,7.768062,0.003540
0.359000,7.898226,0.003548
0.360000,8.028379,0.003572
0.361000,8.158523,0.003607
0.362000,8.288663,0.003674
0.363000,8.418797,0.003758
0.364000,8.548926,0.003811
0.365000,8.679048,0.003860
0.366000,8.809161,0.003893
0.367000,8.939264,0.003893
0.368000,9.069354,0.003887
0.369000,9.199432,0.003889
0.370000,9.329495,0.003865
0.371000,9.459543,0.003840
0.372000,9.589573,0.003836
0.373000,9.719583,0.003864
0.374000,9.849572,0.003905
0.375000,9.979546,0.003952
0.376000,10.109507,0.004005
0.377000,10.239458,0.004060
0.378000,10.369405,0.004118
0.379000,10.499349,0.004186
0.380000,10.629289,0.004263
0.380000,17.013667,0.008053
0.381000,17.223277,0.008143
0.382000,17.432884,0.008201
0.383000,17.642487,0.008274
0.384000,17.852090,0.008348
0.385000,18.061694,0.008413
0.386000,18.271298,0.008458
0.387000,18.480902,0.008497
0.388000,18.690509,0.008534
0.389000,18.900119,0.008586
0.390000,19.109733,0.008644
0.391000,19.319351,0.008713
0.392000,19.528972,0.008760
0.393000,19.738598,0.008804
0.394000,19.948229,0.008830
0.395000,20.157866,0.008866
0.396000,20.367511,0.008920
0.397000,20.577164,0.008978
0.398000,20.786826,0.009046
0.399000,20.996499,0.009117
0.400000,21.206181,0.009170
0.401000,21.415870,0.009219
0.402000,21.625566,0.009285
0.403000,21.835266,0.009349
0.404000,22.044971,0.009403
0.405000,22.254687,0.009459
0.406000,22.464418,0.009509
0.406000,26.441648,0.017899
0.407000,26.689187,0.017984
0.408000,26.936737,0.018054
0.409000,27.184296,0.018149
0.410000,27.431859,0.018285
0.411000,27.679423,0.018416
0.412000,27.926989,0.018528
0.413000,28.174559,0.018625
0.414000,28.422135,0.018716
0.415000,28.669716,0.018798
0.416000,28.917303,0.018885
0.417000,29.164896,0.018946
0.418000,29.412493,0.018999
0.419000,29.660091,0.019038
0.420000,29.907689,0.019084
0.421000,30.155288,0.019156
0.422000,30.402886,0.019240
0.423000,30.650484,0.019307
0.424000,30.898080,0.019381
0.425000,31.145671,0.019447
0.426000,31.393260,0.019510
0.427000,31.640852,0.019564
0.428000,31.888449,0.019626
0.429000,32.136049,0.019706
0.430000,32.383649,0.019783
0.430000,30.968747,0.032872
0.431000,31.205315,0.033008
0.432000,31.441884,0.033140
0.433000,31.678450,0.033277
0.434000,31.915011,0.033428
0.435000,32.151571,0.033552
0.436000,32.388131,0.033698
0.437000,32.624690,0.033858
0.438000,32.861248,0.034028
0.439000,33.097808,0.034188
0.440000,33.334371,0.034316
0.441000,33.570931,0.034427
0.442000,33.807491,0.034551
0.443000,34.044051,0.034693
0.444000,34.280613,0.034871
0.445000,34.517180,0.035047
0.446000,34.753750,0.035193
0.447000,34.990321,0.035330
0.448000,35.226894,0.035472
0.449000,35.463465,0.035610
0.450000,35.700034,0.035752
0.451000,35.936605,0.035873
0.452000,36.173183,0.036019
0.453000,36.409771,0.036162
0.454000,36.646369,0.036279
0.455000,36.882975,0.036386
0.455000,34.078081,0.049669
0.456000,34.296339,0.049848
0.457000,34.514606,0.050012
0.458000,34.732880,0.050213
0.459000,34.951162,0.050423
0.460000,35.169454,0.050652
0.461000,35.387757,0.050876
0.462000,35.606066,0.051118
0.463000,35.824375,0.051348
0.464000,36.042676,0.051588
0.465000,36.260969,0.051793
0.466000,36.479254,0.051998
0.467000,36.697534,0.052188
0.468000,36.915812,0.052370
0.469000,37.134086,0.052574
0.470000,37.352354,0.052786
0.471000,37.570614,0.052981
0.472000,37.788869,0.053172
0.473000,38.007121,0.053342
0.474000,38.225370,0.053509
0.475000,38.443615,0.053687
0.476000,38.661859,0.053866
0.477000,38.880099,0.054050
0.478000,39.098334,0.054230
0.479000,39.316565,0.054410
0.480000,39.534790,0.054584
0.480000,36.359987,0.066859
0.481000,36.560195,0.067088
0.482000,36.760399,0.067303
0.483000,36.960599,0.067543
0.484000,37.160790,0.067797
0.485000,37.360969,0.068044
0.486000,37.561136,0.068307
0.487000,37.761290,0.068569
0.488000,37.961433,0.068852
0.489000,38.161567,0.069114
0.490000,38.361693,0.069380
0.491000,38.561808,0.069644
0.492000,38.761918,0.069899
0.493000,38.962021,0.070140
0.494000,39.162118,0.070398
