t,pos_err_mm,yaw_err_deg
0.030000,1.496820,0.000902
0.031000,1.539840,0.000848
0.032000,1.582856,0.000819
0.033000,1.625871,0.000794
0.034000,1.668884,0.000771
0.035000,1.711892,0.000750
0.036000,1.754893,0.000736
0.037000,1.797885,0.000721
0.038000,1.840869,0.000725
0.039000,1.883849,0.000738
0.040000,1.926825,0.000751
0.041000,1.969800,0.000763
0.042000,2.012774,0.000774
0.043000,2.055744,0.000796
0.044000,2.098706,0.000779
0.045000,2.141660,0.000771
0.046000,2.184606,0.000736
0.047000,2.227550,0.000712
0.048000,2.270494,0.000681
0.049000,2.313443,0.000650
0.050000,2.356399,0.000621
0.051000,2.399360,0.000597
0.052000,2.442327,0.000567
0.053000,2.485294,0.000508
0.054000,2.528261,0.000434
0.055000,2.571225,0.000373
0.055000,7.238028,0.002235
0.056000,7.361654,0.002200
0.057000,7.485278,0.002156
0.058000,7.608899,0.002128
0.059000,7.732515,0.002091
0.060000,7.856128,0.002072
0.061000,7.979740,0.002053
0.062000,8.103355,0.002029
0.063000,8.226976,0.002006
0.064000,8.350604,0.002012
0.065000,8.474235,0.002007
0.066000,8.597865,0.001999
0.067000,8.721492,0.002004
0.068000,8.845117,0.002014
0.069000,8.968741,0.002032
0.070000,9.092359,0.002049
0.071000,9.215971,0.002059
0.072000,9.339578,0.002074
0.073000,9.463179,0.002119
0.074000,9.586776,0.002173
0.075000,9.710373,0.002223
0.076000,9.833976,0.002262
0.077000,9.957587,0.002297
0.078000,10.081204,0.002335
0.079000,10.204827,0.002357
0.080000,10.328458,0.002369
0.080000,16.257726,0.005773
0.081000,16.453636,0.005762
0.082000,16.649548,0.005761
0.083000,16.845466,0.005771
0.084000,17.041395,0.005787
0.085000,17.237338,0.005815
0.086000,17.433293,0.005847
0.087000,17.629259,0.005853
0.088000,17.825232,0.005881
0.089000,18.021209,0.005918
0.090000,18.217189,0.005976
0.091000,18.413172,0.006030
0.092000,18.609160,0.006086
0.093000,18.805150,0.006129
0.094000,19.001140,0.006179
0.095000,19.197135,0.006235
0.096000,19.393136,0.006273
0.097000,19.589137,0.006295
0.098000,19.785137,0.006302
0.099000,19.981139,0.006328
0.100000,20.177144,0.006337
0.101000,20.373152,0.006332
0.102000,20.569158,0.006325
0.103000,20.765158,0.006320
0.104000,20.961157,0.006290
0.105000,21.157154,0.006254
0.106000,21.353146,0.006233
0.106000,24.724766,0.010858
0.107000,24.952085,0.010901
0.108000,25.179398,0.010950
0.109000,25.406711,0.010963
0.110000,25.634019,0.010992
0.111000,25.861320,0.011020
0.112000,26.088612,0.011062
0.113000,26.315895,0.011115
0.114000,26.543167,0.011160
0.115000,26.770425,0.011226
0.116000,26.997671,0.011302
0.117000,27.224905,0.011405
0.118000,27.452132,0.011499
0.119000,27.679351,0.011591
0.120000,27.906558,0.011672
0.121000,28.133751,0.011742
0.122000,28.360932,0.011800
0.123000,28.588101,0.011864
0.124000,28.815263,0.011947
0.125000,29.042417,0.012037
0.126000,29.269567,0.012139
0.127000,29.496713,0.012242
0.128000,29.723854,0.012354
0.129000,29.950989,0.012470
0.130000,30.178122,0.012583
0.131000,30.405252,0.012702
0.132000,30.632377,0.012800
0.133000,30.859496,0.012881
0.133000,30.438311,0.021072
0.134000,30.662267,0.021201
0.135000,30.886221,0.021333
0.136000,31.110173,0.021481
0.137000,31.334124,0.021637
0.138000,31.558075,0.021801
0.139000,31.782029,0.021956
0.140000,32.005986,0.022083
0.141000,32.229945,0.022213
0.142000,32.453908,0.022335
0.143000,32.677873,0.022443
0.144000,32.901836,0.022542
0.145000,33.125801,0.022648
0.146000,33.349771,0.022751
0.147000,33.573747,0.022844
0.148000,33.797727,0.022941
0.149000,34.021710,0.023035
0.150000,34.245699,0.023123
0.151000,34.469697,0.023213
0.152000,34.693706,0.023292
0.153000,34.917731,0.023374
0.154000,35.141772,0.023458
0.155000,35.365824,0.023531
0.155000,33.190592,0.032536
0.156000,33.400706,0.032685
0.157000,33.610821,0.032804
0.158000,33.820937,0.032929
0.159000,34.031055,0.033042
0.160000,34.241179,0.033155
0.161000,34.451310,0.033257
0.162000,34.661444,0.033370
0.163000,34.871583,0.033475
0.164000,35.081727,0.033592
0.165000,35.291877,0.033715
0.166000,35.502030,0.033858
0.167000,35.712182,0.034009
0.168000,35.922331,0.034149
0.169000,36.132475,0.034303
0.170000,36.342609,0.034469
0.171000,36.552733,0.034622
0.172000,36.762846,0.034785
0.173000,36.972949,0.034939
0.174000,37.183048,0.035103
0.175000,37.393145,0.035274
0.176000,37.603241,0.035447
0.177000,37.813339,0.035619
0.178000,38.023443,0.035790
0.179000,38.233558,0.035937
0.180000,38.443691,0.036082
0.180000,35.392915,0.046509
0.181000,35.586012,0.046701
0.182000,35.779123,0.046888
0.183000,35.972241,0.047057
0.184000,36.165361,0.047261
0.185000,36.358483,0.047479
0.186000,36.551608,0.047694
0.187000,36.744736,0.047923
0.188000,36.937867,0.048132
0.189000,37.131001,0.048349
0.190000,37.324137,0.048573
0.191000,37.517273,0.048795
0.192000,37.710409,0.049014
0.193000,37.903543,0.049236
0.194000,38.096676,0.049460
0.195000,38.289808,0.049675
0.196000,38.482936,0.049881
0.197000,38.676060,0.050088
0.198000,38.869178,0.050277
0.199000,39.062292,0.050445
0.200000,39.255403,0.050633
0.201000,39.448512,0.050814
0.202000,39.641624,0.050991
0.203000,39.834740,0.051175
0.204000,40.027859,0.051373
0.205000,40.220978,0.051560
0.206000,40.414098,0.051769
0.206000,37.020018,0.063231
0.207000,37.196559,0.063476
0.208000,37.373097,0.063729
0.209000,37.549631,0.064008
0.210000,37.726160,0.064260
0.211000,37.902682,0.064542
0.212000,38.079199,0.064804
0.213000,38.255714,0.065053
0.214000,38.432229,0.065290
0.215000,38.608746,0.065556
0.216000,38.785267,0.065826
0.217000,38.961790,0.066094
0.218000,39.138313,0.066350
0.219000,39.314830,0.066561
0.220000,39.491341,0.066807
0.221000,39.667841,0.067048
0.222000,39.844330,0.067292
0.223000,40.020808,0.067537
0.224000,40.197275,0.067767
0.225000,40.373734,0.067964
0.226000,40.550186,0.068149
0.227000,40.726635,0.068312
0.228000,40.903080,0.068500
0.229000,41.079519,0.068682
0.230000,41.255947,0.068864
0.231000,41.432366,0.069059
0.232000,41.608774,0.069259
0.232000,38.262045,0.081803
0.233000,38.423830,0.082043
0.234000,38.585601,0.082283
0.235000,38.747358,0.082514
0.236000,38.909104,0.082778
0.237000,39.070842,0.083013
0.238000,39.232572,0.083246
0.239000,39.394295,0.083476
0.240000,39.556011,0.083682
0.241000,39.717717,0.083898
0.242000,39.879414,0.084100
0.243000,40.041099,0.084325
0.244000,40.202768,0.084577
0.245000,40.364419,0.084823
0.246000,40.526054,0.085064
0.247000,40.687676,0.085323
0.248000,40.849285,0.085604
0.249000,41.010884,0.085875
0.250000,41.172474,0.086142
0.251000,41.334056,0.086413
0.252000,41.495632,0.086687
0.253000,41.657203,0.086929
0.254000,41.818776,0.087168
0.255000,41.980355,0.087423
0.256000,42.141942,0.087681
0.256000,38.800203,0.101774
0.257000,38.948556,0.102079
0.258000,39.096915,0.102388
0.259000,39.245277,0.102703
0.260000,39.393641,0.103007
0.261000,39.542008,0.103325
