t,pos_err_mm,yaw_err_deg
0.090000,2.464281,0.001504
0.091000,2.518465,0.001537
0.092000,2.572654,0.001572
0.093000,2.626844,0.001593
0.094000,2.681035,0.001622
0.095000,2.735230,0.001657
0.096000,2.789432,0.001674
0.097000,2.843633,0.001675
0.098000,2.897834,0.001660
0.099000,2.952035,0.001665
0.100000,3.006240,0.001653
0.101000,3.060448,0.001627
0.102000,3.114654,0.001598
0.103000,3.168854,0.001572
0.104000,3.223052,0.001521
0.105000,3.277250,0.001464
0.106000,3.331441,0.001422
0.106000,8.326040,0.003261
0.107000,8.463743,0.003268
0.108000,8.601440,0.003280
0.109000,8.739136,0.003256
0.110000,8.876828,0.003249
0.111000,9.014513,0.003240
0.112000,9.152188,0.003245
0.113000,9.289855,0.003262
0.114000,9.427509,0.003271
0.115000,9.565151,0.003300
0.116000,9.702780,0.003339
0.117000,9.840398,0.003405
0.118000,9.978008,0.003462
0.119000,10.115610,0.003519
0.120000,10.253200,0.003563
0.121000,10.390777,0.003596
0.122000,10.528340,0.003617
0.123000,10.665893,0.003645
0.124000,10.803437,0.003691
0.125000,10.940975,0.003744
0.126000,11.078507,0.003810
0.127000,11.216036,0.003876
0.128000,11.353560,0.003952
0.129000,11.491078,0.004031
0.130000,11.628593,0.004108
0.131000,11.766106,0.004190
0.132000,11.903613,0.004251
0.133000,12.041114,0.004296
0.133000,18.589521,0.008745
0.134000,18.803152,0.008820
0.135000,19.016781,0.008898
0.136000,19.230408,0.008991
0.137000,19.444034,0.009093
0.138000,19.657660,0.009203
0.139000,19.871289,0.009303
0.140000,20.084921,0.009377
0.141000,20.298555,0.009452
0.142000,20.512193,0.009520
0.143000,20.725832,0.009573
0.144000,20.939470,0.009618
0.145000,21.153108,0.009670
0.146000,21.366753,0.009718
0.147000,21.580404,0.009757
0.148000,21.794058,0.009800
0.149000,22.007715,0.009839
0.150000,22.221378,0.009873
0.151000,22.435050,0.009909
0.152000,22.648735,0.009934
0.153000,22.862434,0.009962
0.154000,23.076149,0.009991
0.155000,23.289876,0.010010
0.156000,23.503608,0.010062
0.157000,23.717341,0.010086
0.158000,23.931075,0.010114
0.159000,24.144811,0.010131
0.160000,24.358553,0.010148
0.161000,24.572301,0.010154
0.162000,24.786053,0.010171
0.163000,24.999809,0.010180
0.164000,25.213570,0.010200
0.165000,25.427337,0.010227
0.166000,25.641107,0.010274
0.167000,25.854876,0.010329
0.167000,29.838536,0.020006
0.168000,30.085729,0.020095
0.169000,30.332917,0.020200
0.170000,30.580096,0.020316
0.171000,30.827264,0.020419
0.172000,31.074421,0.020531
0.173000,31.321569,0.020635
0.174000,31.568712,0.020749
0.175000,31.815853,0.020869
0.176000,32.062994,0.020993
0.177000,32.310136,0.021114
0.178000,32.557284,0.021236
0.179000,32.804444,0.021332
0.180000,33.051621,0.021427
0.181000,33.298815,0.021526
0.181000,31.429606,0.034966
0.182000,31.662669,0.035122
0.183000,31.895738,0.035261
0.184000,32.128810,0.035434
0.185000,32.361885,0.035622
0.186000,32.594961,0.035806
0.187000,32.828042,0.036004
0.188000,33.061125,0.036183
0.189000,33.294212,0.036370
0.190000,33.527301,0.036563
0.191000,33.760389,0.036755
0.192000,33.993477,0.036943
0.193000,34.226564,0.037135
0.194000,34.459650,0.037329
0.195000,34.692734,0.037513
0.196000,34.925815,0.037689
0.197000,35.158892,0.037865
0.198000,35.391963,0.038024
0.199000,35.625030,0.038161
0.200000,35.858094,0.038318
0.201000,36.091156,0.038469
0.202000,36.324222,0.038616
0.203000,36.557291,0.038769
0.204000,36.790363,0.038937
0.205000,37.023435,0.039094
0.206000,37.256508,0.039272
0.207000,37.489582,0.039440
0.207000,34.433005,0.052041
0.208000,34.646684,0.052275
0.209000,34.860360,0.052536
0.210000,35.074030,0.052768
0.211000,35.287694,0.053032
0.212000,35.501353,0.053275
0.213000,35.715010,0.053504
0.214000,35.928666,0.053723
0.215000,36.142326,0.053970
0.216000,36.355988,0.054222
0.217000,36.569653,0.054470
0.218000,36.783318,0.054708
0.219000,36.996978,0.054900
0.220000,37.210631,0.055127
0.221000,37.424274,0.055349
0.222000,37.637905,0.055575
0.223000,37.851526,0.055801
0.224000,38.065136,0.056012
0.225000,38.278737,0.056190
0.226000,38.492332,0.056356
0.227000,38.705923,0.056501
0.228000,38.919512,0.056669
0.229000,39.133093,0.056832
0.230000,39.346664,0.056995
0.231000,39.560226,0.057172
0.232000,39.773777,0.057353
0.232000,36.558910,0.070143
0.233000,36.754694,0.070372
0.234000,36.950461,0.070602
0.235000,37.146216,0.070822
0.236000,37.341960,0.071075
0.237000,37.537696,0.071300
0.238000,37.733424,0.071521
0.239000,37.929145,0.071740
0.240000,38.124858,0.071936
0.241000,38.320563,0.072141
0.242000,38.516258,0.072333
0.243000,38.711941,0.072547
0.244000,38.907609,0.072788
0.245000,39.103259,0.073024
0.246000,39.298892,0.073254
0.247000,39.494513,0.073503
0.248000,39.690121,0.073773
0.249000,39.885719,0.074033
0.250000,40.081308,0.074289
0.251000,40.276889,0.074550
0.252000,40.472463,0.074813
0.253000,40.668034,0.075044
0.254000,40.863607,0.075272
0.255000,41.059184,0.075516
0.256000,41.254771,0.075764
0.256000,37.974324,0.089004
0.257000,38.153843,0.089303
0.258000,38.333368,0.089605
0.259000,38.512896,0.089914
0.260000,38.692426,0.090211
0.261000,38.871959,0.090522
0.262000,39.051495,0.090863
0.263000,39.231032,0.091201
0.264000,39.410572,0.091535
0.265000,39.590115,0.091869
0.266000,39.769659,0.092215
0.267000,39.949202,0.092545
0.268000,40.128746,0.092872
0.269000,40.308294,0.093190
0.270000,40.487847,0.093495
0.271000,40.667402,0.093809
0.272000,40.846961,0.094122
0.273000,41.026524,0.094454
0.274000,41.206092,0.094790
0.275000,41.385665,0.095109
0.276000,41.565246,0.095408
0.277000,41.744831,0.095710
0.278000,41.924415,0.096021
0.279000,42.103996,0.096324
0.280000,42.283573,0.096628
0.281000,42.463146,0.096940
0.281000,39.346741,0.113337
0.282000,39.512681,0.113719
0.283000,39.678614,0.114090
0.284000,39.844537,0.114457
0.285000,40.010448,0.114823
0.286000,40.176346,0.115165
0.287000,40.342234,0.115514
0.288000,40.508108,0.115878
0.289000,40.673968,0.116248
0.290000,40.839812,0.116629
0.291000,41.005646,0.117007
0.292000,41.171469,0.117379
0.293000,41.337283,0.117750
0.294000,41.503089,0.118115
0.295000,41.668888,0.118463
0.296000,41.834678,0.118828
0.297000,42.000458,0.119211
0.298000,42.166231,0.119578
0.299000,42.332000,0.119948
0.300000,42.497767,0.120317
0.301000,42.663529,0.120675
0.302000,42.829282,0.121032
0.303000,42.995027,0.121366
0.304000,43.160763,0.121719
0.305000,43.326486,0.122075
0.306000,43.492192,0.122433
0.306000,40.370943,0.138710
0.307000,40.524144,0.139144
0.308000,40.677331,0.139577
0.309000,40.830507,0.139997
0.310000,40.983673,0.140416
0.311000,41.136835,0.140837
0.312000,41.289994,0.141252
0.313000,41.443153,0.141695
0.314000,41.596315,0.142114
0.315000,41.749484,0.142521
0.316000,41.902660,0.142926
0.317000,42.055848,0.143317
0.318000,42.209051,0.143718
0.319000,42.362266,0.144117
0.320000,42.515492,0.144503
0.321000,42.668729,0.144904
0.322000,42.821975,0.145307
0.323000,42.975230,0.145709
0.324000,43.128495,0.146116
0.325000,43.281775,0.146528
0.326000,43.435068,0.146929
0.327000,43.588372,0.147337
0.328000,43.741689,0.147739
0.329000,43.895019,0.148147
0.330000,44.048359,0.148553
0.331000,44.201709,0.148948
0.332000,44.355064,0.149361
0.332000,41.255670,0.169280
0.333000,41.397919,0.169772
0.334000,41.540169,0.170238
0.335000,41.682419,0.170698
0.336000,41.824665,0.171161
0.337000,41.966905,0.171643
0.338000,42.109136,0.172113
0.339000,42.251359,0.172587
0.340000,42.393573,0.173052
0.341000,42.535784,0.173541
0.342000,42.677993,0.174007
0.343000,42.820200,0.174478
0.344000,42.962405,0.174948
0.345000,43.104609,0.175435
0.346000,43.246812,0.175903
0.347000,43.389014,0.176371
0.348000,43.531214,0.176844
0.349000,43.673411,0.177299
0.350000,43.815605,0.177766
0.351000,43.957802,0.178245
0.352000,44.100003,0.178763
0.353000,44.242203,0.179275
0.354000,44.384400,0.179788
0.355000,44.526592,0.180286
0.355000,41.765963,0.205034
0.356000,41.898779,0.205607
0.357000,42.031586,0.206162
0.358000,42.164384,0.206705
0.359000,42.297170,0.207254
0.360000,42.429945,0.207819
0.361000,42.562710,0.208394
0.362000,42.695469,0.209002
0.363000,42.828223,0.209626
0.364000,42.960970,0.210220
0.365000,43.093710,0.210810
0.366000,43.226440,0.211383
0.367000,43.359158,0.211924
0.368000,43.491864,0.212459
0.369000,43.624555,0.213002
0.370000,43.757232,0.213519
0.371000,43.889892,0.214034
0.372000,44.022534,0.214571
0.373000,44.155154,0.215139
0.374000,44.287753,0.215721
0.375000,44.420336,0.216309
0.376000,44.552905,0.216903
0.377000,44.685463,0.217498
0.378000,44.818017,0.218097
0.379000,44.950567,0.218706
0.380000,45.083111,0.219323
0.381000,45.215652,0.219937
0.382000,45.348187,0.220519
0.382000,42.663458,0.251220
0.383000,42.787528,0.251899
0.384000,42.911597,0.252580
0.385000,43.035666,0.253251
0.386000,43.159733,0.253902
0.387000,43.283800,0.254548
0.388000,43.407867,0.255192
0.389000,43.531938,0.255851
0.390000,43.656010,0.256515
0.391000,43.780086,0.257191
0.392000,43.904164,0.257845
0.393000,44.028246,0.258495
0.394000,44.152331,0.259129
0.395000,44.276421,0.259771
0.396000,44.400518,0.260432
0.397000,44.524622,0.261096
0.398000,44.648735,0.261771
0.399000,44.772856,0.262449
0.400000,44.896985,0.263108
0.401000,45.021121,0.263763
0.402000,45.145262,0.264436
0.403000,45.269406,0.265107
0.404000,45.393554,0.265767
0.405000,45.517712,0.266430
0.405000,42.940720,0.297087
0.406000,43.057414,0.297823
0.407000,43.174125,0.298553
0.408000,43.290845,0.299267
0.409000,43.407572,0.300006
0.410000,43.524303,0.300786
0.411000,43.641033,0.301561
0.412000,43.757764,0.302318
0.413000,43.874498,0.303059
0.414000,43.991237,0.303794
0.415000,44.107979,0.304521
0.416000,44.224725,0.305252
0.417000,44.341478,0.305957
0.418000,44.458232,0.306654
0.419000,44.574986,0.307337
0.420000,44.691738,0.308027
0.421000,44.808491,0.308744
0.422000,44.925242,0.309472
0.423000,45.041991,0.310183
0.424000,45.158736,0.310901
0.425000,45.275476,0.311611
0.426000,45.392212,0.312318
0.427000,45.508949,0.313017
0.428000,45.625691,0.313723
0.429000,45.742435,0.314448
0.430000,45.859178,0.315168
0.431000,45.975919,0.315885
0.432000,46.092660,0.316598
0.432000,43.544220,0.349263
0.433000,43.653920,0.350060
0.434000,43.763614,0.350872
0.435000,43.873305,0.351656
0.436000,43.982994,0.352462
0.437000,44.092680,0.353282
0.438000,44.202363,0.354113
0.439000,44.312047,0.354933
0.440000,44.421731,0.355722
0.441000,44.531411,0.356493
0.442000,44.641088,0.357277
0.443000,44.750763,0.358080
0.444000,44.860439,0.358918
0.445000,44.970117,0.359755
0.446000,45.079797,0.360560
0.447000,45.189476,0.361358
0.448000,45.299154,0.362160
0.449000,45.408829,0.362959
0.450000,45.518500,0.363761
0.451000,45.628171,0.364543
0.452000,45.737847,0.365349
0.453000,45.847531,0.366152
0.454000,45.957223,0.366929
0.455000,46.066922,0.367697
0.456000,46.176624,0.368476
0.457000,46.286332,0.369239
0.457000,43.930451,0.388715
0.458000,44.034056,0.389561
0.459000,44.137668,0.390417
0.460000,44.241287,0.391291
0.461000,44.344913,0.392161
0.462000,44.448545,0.393048
0.463000,44.552172,0.393923
0.464000,44.655791,0.394808
0.465000,44.759398,0.395659
0.466000,44.862995,0.396509
0.467000,44.966585,0.397344
0.468000,45.070170,0.398171
0.469000,45.173749,0.399021
0.470000,45.277319,0.399878
0.471000,45.380880,0.400719
0.472000,45.484433,0.401555
0.473000,45.587980,0.402370
0.474000,45.691523,0.403183
0.475000,45.795059,0.404005
0.476000,45.898591,0.404830
0.477000,46.002118,0.405659
0.478000,46.105638,0.406484
0.479000,46.209151,0.407309
0.480000,46.312655,0.408129
0.481000,46.416150,0.408951
0.482000,46.519638,0.409758
0.483000,46.623120,0.410592
