t,pos_err_mm,yaw_err_deg
0.050000,0.2553,0.0012
0.067000,0.2842,0.0016
0.104000,0.3485,0.0016
0.131000,0.3956,0.0013
0.132000,0.3973,0.0013
0.133000,0.3990,0.0012
0.134000,0.4007,0.0012
0.135000,0.4025,0.0012
0.160000,0.4460,0.0010
0.161000,0.4477,0.0010
0.162000,0.4495,0.0010
0.163000,0.4513,0.0010
0.164000,0.4531,0.0010
0.192000,0.5037,0.0005
0.200000,0.8138,0.0004
0.205000,0.8263,0.0004
0.209000,0.8364,0.0003
0.213000,0.8465,0.0002
0.216000,0.8541,0.0001
0.219000,0.8617,0.0001
0.221000,0.8668,0.0000
0.222000,0.8693,0.0000
0.223000,0.8718,0.0000
0.224000,0.8743,0.0000
0.225000,0.8769,0.0000
0.225000,0.9720,0.0004
0.226000,0.9746,0.0004
0.227000,0.9772,0.0005
0.228000,0.9798,0.0005
0.229000,0.9824,0.0005
0.230000,0.9850,0.0005
0.231000,0.9876,0.0006
0.232000,0.9902,0.0006
0.233000,0.9928,0.0006
0.234000,0.9954,0.0006
0.235000,0.9980,0.0006
0.236000,1.0006,0.0006
0.237000,1.0032,0.0007
0.238000,1.0058,0.0007
0.239000,1.0084,0.0007
0.241000,1.0137,0.0008
0.253000,1.0452,0.0009
0.254000,1.0479,0.0009
0.255000,1.0505,0.0009
0.256000,1.0532,0.0009
0.257000,1.0558,0.0010
0.258000,1.0585,0.0010
0.259000,1.0612,0.0010
0.260000,1.0638,0.0010
0.261000,1.0665,0.0010
0.262000,1.0692,0.0009
0.263000,1.0718,0.0009
0.264000,1.0745,0.0009
0.268000,1.0852,0.0008
0.269000,1.0878,0.0008
0.269000,1.1586,0.0012
0.270000,1.1613,0.0012
0.274000,1.1721,0.0011
0.289000,1.2128,0.0012
0.301000,1.2451,0.0012
0.309000,1.2664,0.0012
0.310000,1.2690,0.0012
0.311000,1.2717,0.0012
0.312000,1.2743,0.0012
0.313000,1.2770,0.0012
0.314000,1.2796,0.0012
0.315000,1.2823,0.0012
0.316000,1.2849,0.0013
0.317000,1.2876,0.0013
0.318000,1.2903,0.0013
0.319000,1.2930,0.0013
0.320000,1.2956,0.0013
0.321000,1.2983,0.0013
0.322000,1.3010,0.0014
0.323000,1.3037,0.0014
0.324000,1.3064,0.0014
0.325000,1.3090,0.0014
0.326000,1.3117,0.0014
0.327000,1.3144,0.0014
0.328000,1.3171,0.0014
0.329000,1.3198,0.0014
0.330000,1.3225,0.0015
0.338000,1.3441,0.0015
0.343000,1.3576,0.0016
0.344000,1.3603,0.0016
0.345000,1.3631,0.0016
0.346000,1.3658,0.0016
0.347000,1.3685,0.0016
0.348000,1.3712,0.0016
0.349000,1.3740,0.0016
0.351000,1.3795,0.0017
0.352000,1.3822,0.0016
0.353000,1.3850,0.0016
0.354000,1.3877,0.0016
0.355000,1.3905,0.0016
0.356000,1.3932,0.0016
0.357000,1.3960,0.0016
0.358000,1.3988,0.0016
0.359000,1.4015,0.0016
0.360000,1.4043,0.0016
0.360000,1.3587,0.0019
0.361000,1.3613,0.0019
0.362000,1.3639,0.0019
0.363000,1.3664,0.0019
0.364000,1.3690,0.0018
0.365000,1.3715,0.0018
0.366000,1.3741,0.0018
0.367000,1.3766,0.0018
0.368000,1.3792,0.0018
0.369000,1.3817,0.0018
0.370000,1.3843,0.0019
0.371000,1.3868,0.0019
0.372000,1.3893,0.0019
0.373000,1.3919,0.0019
0.374000,1.3944,0.0019
0.375000,1.3969,0.0019
0.376000,1.3994,0.0019
0.377000,1.4019,0.0018
0.378000,1.4045,0.0018
0.379000,1.4070,0.0018
0.380000,1.4095,0.0017
0.381000,1.4120,0.0017
0.382000,1.4145,0.0017
0.383000,1.4170,0.0017
0.384000,1.4196,0.0016
0.385000,1.4221,0.0016
0.386000,1.4246,0.0016
0.387000,1.4271,0.0016
0.388000,1.4296,0.0016
0.389000,1.4321,0.0016
0.390000,1.4346,0.0016
0.391000,1.4371,0.0016
0.392000,1.4396,0.0016
0.393000,1.4420,0.0016
0.394000,1.4445,0.0016
0.395000,1.4470,0.0016
0.396000,1.4495,0.0015
0.397000,1.4520,0.0015
0.398000,1.4545,0.0015
0.398000,1.9519,0.0044
0.399000,1.9555,0.0044
0.400000,1.9590,0.0044
0.401000,1.9626,0.0044
0.402000,1.9661,0.0044
0.403000,1.9696,0.0043
0.404000,1.9732,0.0043
0.405000,1.9767,0.0043
0.406000,1.9802,0.0043
0.407000,1.9837,0.0043
0.408000,1.9873,0.0043
0.409000,1.9908,0.0043
0.410000,1.9943,0.0043
0.414000,2.6646,0.0070
0.415000,2.6695,0.0070
0.422000,2.7036,0.0072
0.423000,2.7085,0.0072
0.424000,2.7133,0.0072
0.425000,2.7181,0.0072
0.426000,2.7230,0.0073
0.427000,2.7278,0.0073
0.428000,2.7326,0.0073
0.429000,2.7374,0.0073
0.430000,2.7423,0.0073
0.431000,2.7471,0.0073
0.432000,2.7519,0.0074
0.433000,2.7567,0.0074
0.438000,2.7806,0.0074
0.439000,2.7854,0.0074
0.440000,2.7902,0.0074
0.441000,2.7949,0.0075
0.442000,2.7997,0.0075
0.443000,2.8045,0.0075
0.444000,2.8093,0.0075
0.445000,2.8141,0.0075
0.446000,2.8189,0.0075
0.447000,2.8236,0.0075
0.448000,2.8284,0.0075
0.449000,2.8332,0.0075
0.450000,2.8380,0.0075
0.451000,2.8428,0.0076
0.454000,3.1459,0.0212
0.457000,3.1614,0.0214
0.458000,3.1666,0.0214
0.459000,3.1718,0.0215
0.460000,3.1770,0.0215
0.461000,3.1822,0.0215
0.462000,3.1874,0.0215
0.463000,3.1926,0.0216
0.464000,3.1979,0.0216
0.465000,3.2031,0.0216
0.466000,3.2083,0.0217
0.467000,3.2135,0.0217
