t,pos_err_mm,yaw_err_deg
0.052000,0.7421,0.0012
0.053000,0.7531,0.0012
0.054000,0.7641,0.0013
0.055000,0.7751,0.0013
0.056000,0.7861,0.0014
0.057000,0.7971,0.0014
0.057000,1.1471,0.0015
0.078000,1.4165,0.0016
0.087000,1.5323,0.0016
0.088000,1.5452,0.0016
0.089000,1.5581,0.0016
0.090000,1.5710,0.0016
0.091000,1.5839,0.0016
0.109000,1.8160,0.0018
0.110000,1.8289,0.0018
0.110000,1.9692,0.0022
0.111000,1.9828,0.0022
0.112000,1.9964,0.0022
0.113000,2.0100,0.0022
0.114000,2.0236,0.0023
0.115000,2.0372,0.0023
0.116000,2.0508,0.0022
0.117000,2.0644,0.0022
0.118000,2.0779,0.0022
0.119000,2.0915,0.0022
0.126000,2.1865,0.0021
0.127000,2.2000,0.0020
0.128000,2.2136,0.0020
0.129000,2.2271,0.0020
0.130000,2.2407,0.0019
0.131000,2.2543,0.0019
0.162000,1.7152,0.0021
0.163000,1.7219,0.0021
0.164000,1.7285,0.0021
0.165000,1.7351,0.0021
0.179000,1.8279,0.0019
0.180000,1.8345,0.0019
0.181000,1.8411,0.0019
0.182000,1.8478,0.0019
0.183000,1.8544,0.0019
0.184000,1.8610,0.0019
0.185000,1.8677,0.0019
0.186000,1.8743,0.0019
0.187000,1.8809,0.0018
0.188000,1.8876,0.0018
0.189000,1.8942,0.0018
0.190000,1.9008,0.0018
0.191000,1.9074,0.0018
0.192000,1.9140,0.0017
0.193000,1.9207,0.0017
0.194000,1.9273,0.0017
0.195000,1.9339,0.0017
0.196000,1.9405,0.0016
0.197000,1.9471,0.0016
0.198000,1.9537,0.0016
0.199000,1.9603,0.0016
0.200000,1.9670,0.0016
0.201000,1.9736,0.0016
0.202000,1.9802,0.0016
0.206000,2.0066,0.0016
0.207000,2.0133,0.0016
0.208000,2.0199,0.0016
0.209000,2.0265,0.0015
0.210000,2.0331,0.0015
0.211000,2.0398,0.0015
0.217000,2.4206,0.0036
0.219000,2.4349,0.0036
0.220000,2.4421,0.0036
0.221000,2.4492,0.0036
0.236000,2.3206,0.0114
0.237000,2.3265,0.0114
0.238000,2.3324,0.0115
0.242000,2.3559,0.0118
0.264000,2.4855,0.0126
0.265000,2.4914,0.0126
0.266000,2.4973,0.0127
0.282000,2.9162,0.0267
0.283000,2.9230,0.0267
0.284000,2.9298,0.0268
0.285000,2.9366,0.0269
0.286000,2.9434,0.0270
0.287000,2.9501,0.0271
0.288000,2.9569,0.0272
0.289000,2.9637,0.0272
0.290000,2.9705,0.0273
0.291000,2.9773,0.0274
0.292000,2.9841,0.0274
0.293000,2.9909,0.0275
0.294000,2.9977,0.0276
0.322000,3.0384,0.0316
0.323000,3.0445,0.0317
0.324000,3.0506,0.0318
0.325000,3.0567,0.0319
0.326000,3.0627,0.0320
0.327000,3.0688,0.0321
0.328000,3.0749,0.0322
0.329000,3.0810,0.0323
0.330000,3.0871,0.0324
0.330000,3.1540,0.0378
0.331000,3.1601,0.0379
0.332000,3.1662,0.0380
0.333000,3.1723,0.0381
0.334000,3.1784,0.0382
0.340000,3.2150,0.0388
0.341000,3.2211,0.0389
0.347000,3.2578,0.0396
0.355000,3.3068,0.0403
0.373000,3.4171,0.0420
0.374000,3.4232,0.0421
0.375000,3.4293,0.0421
0.376000,3.4353,0.0422
0.377000,3.4414,0.0423
0.385000,3.3267,0.0430
0.386000,3.3322,0.0431
0.387000,3.3377,0.0432
0.388000,3.3432,0.0433
0.389000,3.3488,0.0433
0.390000,3.3543,0.0434
0.391000,3.3598,0.0435
0.392000,3.3653,0.0436
0.393000,3.3708,0.0437
0.394000,3.3763,0.0438
0.395000,3.3818,0.0439
0.396000,3.3873,0.0439
0.397000,3.3928,0.0440
0.399000,3.4038,0.0442
0.412000,3.4749,0.0452
0.415000,3.4912,0.0455
0.419000,3.5129,0.0459
0.420000,3.5183,0.0460
0.421000,3.5237,0.0461
0.422000,3.5291,0.0462
0.423000,3.5345,0.0463
0.424000,3.5399,0.0464
0.425000,3.5452,0.0465
0.426000,3.5506,0.0466
0.427000,3.5560,0.0467
0.428000,3.5613,0.0468
0.429000,3.5667,0.0469
0.430000,3.5720,0.0470
0.431000,3.5774,0.0471
0.432000,3.5827,0.0472
0.433000,3.5880,0.0473
0.434000,3.5933,0.0474
0.435000,3.5986,0.0475
0.436000,3.6039,0.0476
0.501000,4.0003,0.0548
0.536000,4.1716,0.0578
0.539000,4.1862,0.0582
0.540000,4.1910,0.0583
0.541000,4.1959,0.0583
0.542000,4.2007,0.0584
0.543000,4.2056,0.0585
0.544000,4.2104,0.0586
0.545000,4.2152,0.0587
0.546000,4.2201,0.0587
0.547000,4.2249,0.0588
0.548000,4.2297,0.0589
0.551000,4.2442,0.0591
0.557000,4.2732,0.0598
0.563000,4.3020,0.0603
0.568000,4.3261,0.0609
0.571000,4.3405,0.0612
0.577000,4.3693,0.0620
0.599000,3.9923,0.0549
0.603000,4.0064,0.0554
0.637000,4.1251,0.0577
0.638000,4.1286,0.0578
0.640000,4.1355,0.0581
0.641000,4.1389,0.0582
0.642000,4.1423,0.0583
0.643000,4.1458,0.0584
0.653000,4.1800,0.0592
0.655000,4.1869,0.0593
0.656000,4.1903,0.0594
0.657000,4.1938,0.0595
0.658000,4.1972,0.0595
0.659000,4.2006,0.0596
0.660000,4.2040,0.0597
0.661000,4.2074,0.0597
0.662000,4.2109,0.0598
0.663000,4.2143,0.0599
0.664000,4.2177,0.0600
0.665000,4.2211,0.0600
0.666000,4.2245,0.0601
0.667000,4.2279,0.0602
0.668000,4.2312,0.0602
0.669000,4.2346,0.0603
0.670000,4.2380,0.0603
0.671000,4.2414,0.0604
0.672000,4.2448,0.0605
0.673000,4.2481,0.0605
0.674000,4.2515,0.0606
0.676000,4.2582,0.0608
0.686000,4.2918,0.0617
0.687000,4.2951,0.0618
0.688000,4.2985,0.0619
0.689000,4.3018,0.0619
0.697000,4.3281,0.0624
0.698000,4.3314,0.0625
0.699000,4.3346,0.0626
0.700000,4.3379,0.0627
0.701000,4.3412,0.0627
0.702000,4.3444,0.0628
0.702000,3.8985,0.0609
0.703000,3.9009,0.0610
0.703000,3.8125,0.0491
0.704000,3.8146,0.0492
0.705000,3.8167,0.0493
0.706000,3.8188,0.0493
0.707000,3.8209,0.0494
0.708000,3.8230,0.0495
0.709000,3.8251,0.0495
0.710000,3.8272,0.0496
0.711000,3.8292,0.0497
0.712000,3.8313,0.0497
0.713000,3.8333,0.0498
0.714000,3.8354,0.0498
0.715000,3.8374,0.0499
0.716000,3.8395,0.0500
0.717000,3.8415,0.0500
0.718000,3.8435,0.0501
0.719000,3.8455,0.0502
0.720000,3.8475,0.0502
0.747000,3.9003,0.0517
0.748000,3.9022,0.0518
0.749000,3.9041,0.0519
0.750000,3.9060,0.0519
0.751000,3.9079,0.0520
0.752000,3.9098,0.0521
0.753000,3.9117,0.0521
0.754000,3.9136,0.0522
0.755000,3.9155,0.0522
0.756000,3.9174,0.0523
0.757000,3.9192,0.0523
0.758000,3.9211,0.0524
0.759000,3.9230,0.0525
0.760000,3.9248,0.0526
0.761000,3.9267,0.0527
0.762000,3.9286,0.0527
0.763000,3.9304,0.0528
0.764000,3.9323,0.0529
0.765000,3.9342,0.0529
0.766000,3.9360,0.0530
0.767000,3.9379,0.0531
0.770000,3.9435,0.0533
0.771000,3.9454,0.0533
0.772000,3.9473,0.0534
0.773000,3.9492,0.0535
0.774000,3.9510,0.0536
0.775000,3.9529,0.0536
0.776000,3.9548,0.0537
0.808000,4.3011,0.0436
0.824000,4.3433,0.0442
0.825000,4.3459,0.0442
0.826000,4.3485,0.0442
0.827000,4.3511,0.0443
0.828000,4.3537,0.0443
0.829000,4.3563,0.0443
0.830000,4.3589,0.0444
0.831000,4.3616,0.0444
0.832000,4.3642,0.0445
0.833000,4.3668,0.0445
0.834000,4.3694,0.0446
0.835000,4.3720,0.0446
0.836000,4.3746,0.0447
0.837000,4.3772,0.0447
0.838000,4.3798,0.0447
0.839000,4.3824,0.0448
0.840000,4.3850,0.0448
0.841000,4.3876,0.0449
0.842000,4.3902,0.0449
0.843000,4.3928,0.0449
0.844000,4.3954,0.0450
0.845000,4.3981,0.0450
0.846000,4.4007,0.0451
0.847000,4.4033,0.0451
0.848000,4.4059,0.0452
0.849000,4.4085,0.0452
0.849000,4.7130,0.0476
0.850000,4.7163,0.0477
0.894000,4.1771,0.0621
0.908000,4.1984,0.0633
0.909000,4.1999,0.0633
0.910000,4.2014,0.0634
0.911000,4.2028,0.0635
0.912000,4.2043,0.0635
0.913000,4.2058,0.0636
0.930000,4.2299,0.0647
0.931000,4.2313,0.0648
0.957000,4.2657,0.0664
0.958000,4.2669,0.0664
0.959000,4.2682,0.0665
0.960000,4.2694,0.0666
0.961000,4.2707,0.0667
0.967000,4.2780,0.0670
0.968000,4.2793,0.0671
0.969000,4.2805,0.0671
0.970000,4.2817,0.0672
0.971000,4.2829,0.0673
0.972000,4.2841,0.0673
0.973000,4.2852,0.0674
0.974000,4.2864,0.0674
0.975000,4.2876,0.0675
0.976000,4.2888,0.0675
0.977000,4.2899,0.0676
0.978000,4.2911,0.0676
1.044000,3.7386,0.0731
1.053000,3.7322,0.0738
1.054000,3.7315,0.0739
1.055000,3.7307,0.0740
1.056000,3.7300,0.0740
1.057000,3.7292,0.0741
1.058000,3.7285,0.0742
1.059000,3.7277,0.0743
1.060000,3.7269,0.0743
